problema,n_gens,M,theta_min,theta_max,sat_lb,sat_ub,viola,theta_med_ini,theta_med_fim,lnL_ini,lnL_fim,lnL_max,comps
BBOB_F1,200,2,0.001,0.27207758524624714,391,0,0,0.002231942590801779,0.001000163149163574,423.3332265099757,2128.4775645227555,2139.477286289599,400
BBOB_F17,200,2,0.001,67.43347406822707,174,0,0,2.1593999307127305,2.756654442379245,360.1782174722913,1222.2880344918185,1574.4559691181378,400
BBOB_F22,200,2,0.006389557886345002,4.46932784581103,0,0,0,0.19635150811178986,0.5500072081408618,282.6556247499817,1100.623031290159,1107.0905615170166,400
BBOB_F37,200,2,0.001,21.815925090673375,4,0,0,0.5372808718975466,0.8441158258768396,259.5019312745736,969.45261446873,1079.1070679808613,400
BBOB_F49,200,2,0.001,1000.0,4,162,0,450.28627819098153,500.5829364544979,228.5218115318171,818.1938578248529,986.4903853828843,400
BBOB_F5,200,2,0.001,75.62348435042621,194,0,0,0.09494616097466387,2.580019576695446,347.3517963302813,1848.7839235260392,2587.7209729461565,400
BBOB_F55,200,2,0.001,1000.0,29,68,0,751.6546905867708,111.42910817550428,177.6534998998763,585.4666215985075,823.6451632704157,400
DTLZ1,140,3,0.001,1000.0,53,68,0,6.62553566887622,44.555909341447986,146.1051208650697,471.9814051539522,493.4367620652907,420
DTLZ2,240,3,0.001,101.62929432466717,62,0,0,1.1430818811594812,0.32217716151416853,321.38586194372465,1008.3866146429955,1336.4673466801135,720
DTLZ3,240,3,0.001,617.1697154959472,97,0,0,1.317838494090546,4.648080129627645,278.71227704558464,818.1021692100869,907.9016152375848,720
DTLZ4,240,3,0.000999999999999999,1000.0,545,448,0,42.92480135624126,184.0922293892866,295.22274614172477,637.8536134119137,1242.0019603299397,720
DTLZ7,440,3,0.001,5.390309231554792,1195,0,0,0.07832803497498665,0.06186406452643133,1788.0270169067135,5549.8255306359,5571.383484235207,1320
MMF1,40,2,0.001,1000.0,13,7,0,859.1856294408017,1.0000000003493659,26.754393109280905,-232.96682349957058,144.8954352636415,80
MMF11_L,40,2,0.001,1000.0,21,1,0,165.6411837117228,0.5039708686086735,118.615189251896,381.17360672440225,782.9348035361686,80
MMF16_20,400,3,0.001,835.2683360521673,475,0,0,0.8513291552318549,1.8833617143023993,605.9106043408135,2313.180628500939,3519.7248758708356,1200
MMF4,40,2,0.001,1000.0,3,5,0,777.7360461624248,1.0000778541840838,28.382263722038182,-240.377093160667,86.10555543125763,80
WFG1,440,2,0.001,1000.0,20,11,0,3.2401160809583245,65.07583035134961,755.8302846944042,1273.526148363184,1300.5283310163911,880
WFG2,440,2,0.001,1000.0,98,12,0,101.34020915986267,2.703860723766346,536.4619594634012,1998.3665925462788,2112.496493678854,880
WFG4,440,2,0.001,313.75017194285516,17,0,0,1.0174153101052603,1.7343950333113822,586.6672241029462,1758.3187300214217,1814.6020179530142,880
WFG5,440,2,0.001,1000.0,220,1,0,1.4294760931637291,2.381629404367028,697.6298669377718,2144.0903895181837,2246.891989892702,880
WFG9,440,2,0.001,1000.0,6,49,0,2.117150082240009,447.1691933337599,358.10514796759935,1061.6153118698153,1086.5607678587598,880
ZDT1,600,2,0.000999999999999999,807.9840255271513,1001,0,0,0.059069424439198465,0.033645389301088485,1988.3826258684323,5635.989574119218,7450.395420440816,1200
ZDT3,600,2,0.001,103.33612919470932,1200,0,0,0.5908715496026963,1.2332187791535856,1764.8083993565197,6743.52194845811,7967.815030451387,1200
ZDT4,200,2,0.001,1000.0,233,204,0,353.4388006050661,188.27309641277898,507.96077976137326,1437.5635993265853,2584.931532563233,400
ZDT6,200,2,0.000999999999999999,1000.000000000001,205,97,0,350.0022785243063,135.76590522039237,271.0708732721303,1484.0335572875729,2294.9246552465293,400
