problema,D,M,maxfe,init,man_maxfe,man_fe_final,man_status,man_n_geracoes,man_cache_hits,man_fallback,footer_n,footer_termino,footer_status,footer_cp_init,n_real,u1_len_ok,u1_fe_dense,u1_sid_unique,n_init,u2_init_ok,n_opt,doe_hash,sonda_x_hash,n_gens_jsonl,n_rows_timing,u3_fit_por_iter,n_blocos_sonda,sonda_manifest_blocos,u4_cadencia_ok,sonda_S,sonda_k,sonda_n_falhas,sonda_linhas_ok,u7_viol,u7_viol_em_sonda,u7_ok,u8_fe_treino_max_monot,fe_treino_max_ini,fe_treino_max_fim,guards,cache_hit_guard,c0,u10_ledger,u10_pop_gens,u10_pop_offby1,u10_pop_sz_ok,u10_dup_ultima_pop,c9_ga_pop_decl,c9_ga_pop_esp,c9_ga_pop_ok,c9_ga_gens,c9_ga_gens_ok,c9_pool_rows_ok,c9_aval_aquis_iter,espaco_modelo,transf_tipo,pred_tipo,modelo_flag,sonda_espaco,pred_classe_null,pred_score_null,sigma_null_online,sigma_null_sonda,rsid_online_notna,rsid_sonda_notna,c8_dmin_max,c8_dmax_max,c8_drange_max,c8_ok,c8_range0_total,c8_range_min,c19_nfront_min,c19_nfront_max,c19_nfront_eq1,c19_nfront_calc_ok,c19_nfront1_calc_ok,n_gens,nfront_mediana,c11_dedup_total,c11_dedup_max,c11_ntreino_ok,c11_namostra_cresce,c15_assinatura_mais1,c13_eim_nan_total,c12_mindist_min,c12_mindist_lt1e8,c12_mindist_mediana,c18_stall_max,c18_stall_gt0,c5_theta_min_global,c5_theta_max_global,c5_viola_lb,c5_viola_ub,c5_sat_lb,c5_sat_ub,c5_ncomp,lnL_min,lnL_max,eim_best_min,eim_best_max,eim_best_ultimo,eim_best_monot_desc,eim_ybest_ident,eim_med_pool_razao_ini,eim_med_pool_razao_fim,eim_med_pool_decai,s_best_zeros,s_best_min,s_best_med,du_ubest,ds_sbest,df_best_vs_normmin,u11_err_mediana,u11_err_rel_mediana,u11_otimista_frac,u11_cob2sigma_infill,fe_iter_soma,lote_unicos,fe_ultimo,tempo_total_s,tempo_fit_s,tempo_busca_s,tempo_aval_real_s,tempo_pred_sonda_s
BBOB_F1,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,f875df0bb019,ec78b789a109,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,200,0,3.535656079183728e-08,3.06945234424019e-08,0.0,True,0,188.36045140657308,3,11,0,200,200,200,10.0,0,0,True,True,True,0,0.35371490416751583,0,5.958979409017614,0,0,0.001,0.27207758524624714,0,0,391,0,400,323.49489583627053,2139.477286289599,0.0,0.23977381384696117,0.0,5,True,0.999999956376982,0.0,0.0,0,5.808046779869409e-06,0.0003716502373301978,5.2912669494277833e-08,5.8537860199743835e-08,0.9985744340745019,0.014035582506402022,0.00013170386219604226,0.5575,0.9825,200,1,309,239.577298,95.28235063329339,117.77597627043724,0.14521499999999993,9.747947000000002
BBOB_F17,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,d15aed2c60ef,7870969e81b8,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,202,0,4.740769083691006e-08,4.528266515950974e-08,0.0,True,0,829.0760770071961,4,11,0,200,200,200,7.0,0,0,True,True,True,0,3.0381525991866396,0,6.148651736714216,0,0,0.001,67.43347406822707,0,0,174,0,400,242.23507047278434,1574.4559691181378,0.015011709317028917,0.2731937833954133,0.01965979297937956,97,True,0.9999999845836994,0.9999999802496063,0.07196281207364492,0,0.0003052967666878138,0.01639347585085125,5.870058130335817e-08,5.8328491921337575e-08,0.46703734385142986,926.6360464979894,0.2485656775177909,0.7475247524752475,0.8861386138613861,200,1,309,303.791654,138.37978813052177,135.81288877129555,0.21381399999999987,11.779140000000002
BBOB_F22,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,f363ce9265e2,35098edbafa5,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,201,0,5.7059718353214895e-08,4.9756541766065964e-08,0.0,True,0,2044.6575205153238,3,7,0,200,200,200,4.0,0,0,True,True,True,0,1.6870838157672883,0,4.642904911104395,0,0,0.006389557886345002,4.46932784581103,0,0,0,0,400,273.468292407821,1107.0905615170166,0.0034344578932520094,0.18264449768074442,0.005489178406715641,91,True,0.9999999991249406,0.9949792986468675,0.037219663553935786,0,0.002478706088515397,0.019392280805070466,5.698524669005028e-08,5.8197327406810995e-08,0.5486467886479088,1550.4170533348645,0.39391819018541263,0.7786069651741293,0.8681592039800995,200,1,309,293.271302,136.52456288039684,128.6782575249672,0.18491099999999985,11.277382
BBOB_F37,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,6ff27d4d787c,6854c778f307,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,202,0,3.264728441850217e-08,2.5942757819606306e-08,0.0,True,0,2407.9559178479726,2,7,0,200,200,200,5.0,0,0,True,True,True,0,2.8169256695004665,0,5.703462777424473,0,0,0.001,21.815925090673375,0,0,4,0,400,231.77237789316797,1079.1070679808613,0.010386021315660342,0.23362504738407022,0.01165423520876046,98,True,0.999999999626457,0.9999998863675571,0.057521777755830485,0,0.003432330002451675,0.03923748819124595,5.6516249007240475e-08,5.537784357939543e-08,0.443879970816584,111.73624314504745,0.13647360019004184,0.7202970297029703,0.9306930693069307,200,1,309,297.131504,136.69200375676155,131.93648210167885,0.19959600000000005,11.466844000000002
BBOB_F49,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,95bec03708fd,b05414b87c93,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,203,0,4.428037204996407e-08,2.5326017631940795e-08,0.0,True,0,52.17004090693372,5,12,0,200,200,200,9.0,0,0,True,True,True,0,1.067102592242849,0,4.900680769837319,0,0,0.001,1000.0,0,0,4,162,400,210.43695653189462,986.4903853828843,0.008800469939583368,0.15542388558122447,0.016228919243059907,99,True,0.9999999901124502,0.9999999997582383,0.10441715144947522,0,0.0014946195484190833,0.0773174805097914,5.510700225892425e-08,5.714324089985623e-08,0.190384040417362,10.547117490379712,0.10742350771729778,0.9113300492610837,0.9211822660098522,200,1,309,417.771627,145.93278561532497,240.33868926763535,0.6504260000000007,13.532489999999997
BBOB_F5,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,9c1c6f9e8c0a,6ee21c7cf617,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,201,0,4.69508501860692e-08,1.3954880614099067e-08,0.0,True,0,149.7269138645361,2,61,0,200,200,200,42.0,0,0,True,True,True,0,0.29687697309645145,0,1.6063886810645518,0,0,0.001,75.62348435042621,0,0,194,0,400,289.6174105499069,2587.7209729461565,3.781592234380194e-07,0.35677878245668165,0.002013652055306489,92,True,0.999999999545497,0.9999936152949168,0.005643943246237371,0,1.6591088005061325e-06,0.0005323940497835076,5.7143461260477695e-08,5.8401651046751e-08,0.9999674923053994,0.17038262561339756,0.0006073738195694403,0.6592039800995025,0.8507462686567164,200,1,309,283.085076,115.58340285718441,140.0725652575493,0.15462899999999996,10.539682
BBOB_F55,10,2,309,109,309,309,ok,201,1,False,1,normal,ok,True,309,True,True,True,109,True,200,156cb913846b,77bb776d4850,200,200,True,101,101,True,2000,2,0,True,0,0,True,True,108,307,"{""cache_hit"": 1}",1,1,True,201,True,True,0,100,100,True,200,True,True,20000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,209,0,4.332643467961773e-08,2.198200378000701e-08,0.0,True,0,24.81664684985016,3,11,0,200,200,200,7.0,0,0,True,True,True,0,0.20645786091244725,0,1.6412165839778463,0,0,0.001,1000.0,0,0,29,68,400,174.91341979667007,823.6451632704157,0.010268538249165352,0.5513175321814526,0.21874455603291923,101,True,0.99999999999999,0.999999985710219,21.302404256505508,0,0.007833612630788628,0.07054368859602295,5.7168193572605176e-08,5.769724979497811e-08,0.5810249578512229,7.359642886190937,0.2100963384273364,0.7368421052631579,0.5454545454545454,200,1,309,348.415791,166.04970821738243,152.04936563968658,1.1069999999999998,12.027070000000004
DTLZ1,7,3,216,76,216,216,ok,141,1,False,1,normal,ok,True,216,True,True,True,76,True,140,721bacf39910,90705f4ed8a5,140,140,True,71,71,True,2000,2,0,True,0,0,True,True,75,214,"{""cache_hit"": 1}",1,1,True,141,True,True,0,70,70,True,200,True,True,14000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,141,0,3.188427914430907e-08,4.369906628113646e-08,0.0,True,0,247.46115525305342,15,29,0,140,140,140,21.0,0,0,True,True,True,0,0.1648149298657534,0,0.4727451293931215,0,0,0.001,1000.0,0,0,53,68,420,141.21499107283006,493.4367620652907,0.06338973853661507,0.31880791360525923,0.2752226748739251,67,True,0.999999999998398,0.9999999999991095,0.8632868355171869,0,0.002891484175507447,0.12121005118367467,5.674048062370339e-08,5.545474800630988e-08,0.9999999999920351,23.148633705535733,1.0690389741843227,0.7328605200945626,0.7990543735224587,140,1,216,188.376229,66.88792598247528,98.39376187324524,0.10441399999999999,11.368123
DTLZ2,12,3,371,131,371,371,ok,241,1,False,1,normal,ok,True,371,True,True,True,131,True,240,e9e359a6a4af,1bfc9edf738f,240,240,True,121,121,True,2000,2,0,True,0,0,True,True,130,369,"{""cache_hit"": 1}",1,1,True,241,True,True,0,120,120,True,200,True,True,24000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,242,0,4.32659004827005e-08,3.704242248151289e-08,0.0,True,0,1.9178808446482136,25,59,0,240,240,240,47.0,0,0,True,True,True,0,0.32904573134817966,0,0.8807991498560661,0,0,0.001,101.62929432466717,0,0,62,0,720,302.94871261669044,1336.4673466801135,0.052805318209469446,0.33046965911513276,0.0935963080482365,115,True,0.9999999967440408,0.9999999927342986,0.3219969577592677,0,0.0017099622565533948,0.05287962321990952,5.66544605422112e-08,5.661749955387003e-08,0.9999999997788822,0.14633708075774277,122.63858873481871,0.6955922865013774,0.7768595041322314,240,1,371,813.778135,395.46445220708847,376.0255193710327,0.1739189999999999,19.377687000000012
DTLZ3,12,3,371,131,371,371,ok,241,1,False,1,normal,ok,True,371,True,True,True,131,True,240,b41f7d771c68,516dce80de45,240,240,True,121,121,True,2000,2,0,True,0,0,True,True,130,369,"{""cache_hit"": 1}",1,1,True,241,True,True,0,120,120,True,200,True,True,24000,transformado,minmax,valor,OK-Forrester,cru,True,True,0,0,240,0,4.713908314099597e-08,4.373977334835013e-08,0.0,True,0,1332.0883787707164,8,21,0,240,240,240,15.0,0,0,True,True,True,0,0.46723999525387855,0,0.8464584297722098,0,0,0.001,617.1697154959472,0,0,97,0,720,263.2719225035347,907.9016152375848,0.0514590442316775,0.3646717469649387,0.11364852487904423,128,True,0.9999999998703434,0.9999999999840625,0.396300457913865,0,0.02037812479509225,0.1010792201435576,5.871404070472047e-08,5.7190282525706686e-08,0.9999999636382529,85.4360452410767,1.4965744060799957,0.6166666666666667,0.8708333333333333,240,1,371,802.034141,403.26439076662064,355.51894122362137,0.17972699999999991,19.90436299999999
