problema,M,D,n_gens,n_dup_f32,n_f_zero_exato,min_abs_f_naonulo,n_linhas,n_gens_discordantes
BBOB_F1,2,10,200,0,0,0.007964198477566242,309,0
BBOB_F17,2,10,200,0,0,4.66022253036499,309,0
BBOB_F22,2,10,200,0,0,85.9834976196289,309,0
BBOB_F37,2,10,200,0,0,94.64835357666016,309,0
BBOB_F49,2,10,200,0,0,33.726959228515625,309,0
BBOB_F5,2,10,200,0,0,5.617491478915326e-05,309,0
BBOB_F55,2,10,200,0,0,1.5223898887634277,309,0
DTLZ1,3,7,140,0,0,1.5390788763144426e-15,216,0
DTLZ2,3,12,240,0,0,7.883143263027947e-28,371,0
DTLZ3,3,12,240,0,0,2.417041217389366e-25,371,0
DTLZ4,3,12,240,0,228,1.401298464324817e-45,371,240
DTLZ7,3,22,440,0,0,1.9086217117403673e-14,681,0
MMF1,2,2,40,0,0,0.0016209034947678447,61,0
MMF11_L,2,2,40,0,0,0.10000000149011612,61,38
MMF16_20,3,20,400,0,0,1.1900014086913276e-23,619,0
MMF4,2,2,40,0,0,3.5237925910536205e-09,61,0
WFG1,2,22,440,0,0,0.9698909521102905,681,0
WFG2,2,22,440,0,0,0.2898733615875244,681,0
WFG4,2,22,440,0,0,0.3839139938354492,681,0
WFG5,2,22,440,51,0,0.12885743379592896,681,0
WFG9,2,22,440,0,0,0.22891534864902496,681,0
ZDT1,2,30,600,2,0,9.67213071786932e-13,929,0
ZDT3,2,30,600,1,0,2.449919336410672e-13,929,0
ZDT4,2,10,200,0,0,8.808747934091303e-15,309,0
ZDT6,2,10,200,19,0,0.007633896544575691,309,185
