problema,n_trans,subidas,range_mudou,frente_mudou,subida_com_range,subida_com_frente,subida_sem_nada,saltos_gt100pct,salto_grande_com_range,salto_grande_com_frente,salto_grande_sem_nada
BBOB_F1,199,5,4,10,1,1,4,4,0,0,4
BBOB_F17,199,97,8,20,4,9,87,3,0,0,3
BBOB_F22,199,91,9,15,3,6,83,15,0,1,14
BBOB_F37,199,98,14,9,6,4,90,3,0,0,3
BBOB_F49,199,99,7,13,3,7,91,7,0,2,5
BBOB_F5,199,92,12,66,4,18,73,65,0,6,59
BBOB_F55,199,101,24,45,13,29,70,34,6,6,27
DTLZ1,139,67,13,39,8,20,45,3,0,1,2
DTLZ2,239,115,22,81,11,31,82,8,0,2,6
DTLZ3,239,128,12,47,6,22,104,12,0,0,12
DTLZ4,239,120,14,24,7,9,108,29,2,3,25
DTLZ7,439,203,32,83,18,38,157,11,1,2,9
MMF1,39,14,4,8,0,3,11,10,0,2,8
MMF11_L,39,20,6,19,3,13,7,7,1,6,1
MMF16_20,399,197,16,191,8,92,102,67,1,36,31
MMF4,39,14,7,8,2,2,10,7,2,1,4
WFG1,439,217,4,114,3,55,162,26,1,13,13
WFG2,439,224,9,27,2,9,214,48,0,0,48
WFG4,439,205,17,37,8,18,181,3,0,0,3
WFG5,439,215,5,126,1,60,154,68,0,22,46
WFG9,439,222,9,16,4,8,212,21,0,1,20
ZDT1,599,283,18,31,6,11,268,86,5,6,76
ZDT3,599,286,12,20,5,5,277,7,2,0,5
ZDT4,199,92,9,25,4,11,80,42,2,5,36
ZDT6,199,87,12,21,2,9,76,41,2,5,34
