label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,n_pares,hit_tppm_g51i,hit_ngps_g51i,hit_tppm_it1_g51i,hit_tppm_final_g51i,erro_rel_g51i,hit_tppm_g51i_1,hit_ngps_g51i_1,hit_tppm_it1_g51i_1,hit_tppm_final_g51i_1,erro_rel_g51i_1
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,100,4,8,5,5,2,1,0.0,8,8,2,2,0.0
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,100,4,8,6,6,2,1,0.0,8,8,2,2,0.0
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,12,12,12,3,3,0.0,12,12,3,3,0.0
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,12,11,11,3,3,0.0,12,12,3,3,0.0
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,12,11,11,3,3,0.0,12,12,3,3,0.0
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,12,12,12,3,3,0.0,12,12,3,3,0.0
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,12,12,12,3,3,0.0,12,12,3,3,0.0
MMF1,off,small,lhs,MMF1,2,2,61,20,4,8,8,8,2,2,0.0,8,8,2,2,0.0
MMF11_L,off,small,lhs,MMF11_L,2,2,61,20,4,8,8,8,2,2,0.0,8,8,2,2,0.0
MMF16_20,off,small,lhs,MMF16_20,20,3,619,200,4,12,12,12,3,3,0.0,12,12,3,3,0.0
MMF4,off,small,lhs,MMF4,2,2,61,20,4,8,7,7,2,2,0.0,8,8,2,2,0.0
WFG1,off,small,lhs,WFG1,22,2,681,220,4,8,4,4,2,1,0.24392935982339956,8,8,2,2,0.0
WFG2,off,small,lhs,WFG2,22,2,681,220,4,8,8,8,2,2,0.0,8,8,2,2,0.0
WFG4,off,small,lhs,WFG4,22,2,681,220,4,8,6,6,2,0,0.0,8,8,2,2,0.0
WFG5,off,small,lhs,WFG5,22,2,681,220,4,8,8,8,2,2,0.0,8,8,2,2,0.0
WFG9,off,small,lhs,WFG9,22,2,681,220,4,8,8,8,2,2,0.0,8,8,2,2,0.0
ZDT1,off,small,lhs,ZDT1,30,2,929,300,4,8,8,8,2,2,0.0,8,8,2,2,0.0
ZDT3,off,small,lhs,ZDT3,30,2,929,300,4,8,8,8,2,2,0.0,8,8,2,2,0.0
ZDT4,off,small,lhs,ZDT4,10,2,309,100,4,8,6,6,2,1,0.0,8,8,2,2,0.0
ZDT6,off,small,lhs,ZDT6,10,2,309,100,4,8,8,8,2,2,0.0,8,8,2,2,0.0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,99,297,10,236,3,0,0.019502868068833654,297,297,3,3,0.0
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,44,132,13,103,3,0,0.022961853212191508,132,132,3,3,0.0
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,6,12,2,2,2,0,1.592274678111588,12,12,2,2,0.0
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,18,36,21,33,2,1,0.0,36,36,2,2,0.0
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,50,100,46,51,1,1,0.020892843077414645,98,100,2,2,0.0
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,56,168,16,129,2,0,0.0198671713529397,163,164,3,2,0.0
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,8,16,10,14,2,0,0.0,16,16,2,2,0.0
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,61,122,58,89,1,1,0.0010237510237510238,122,122,2,2,0.0
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,30,60,33,40,2,1,0.0,60,60,2,2,0.0
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,14,42,32,42,2,3,0.0,42,42,3,3,0.0
