label,exp,tier,dist,problema,M,N,it,logged,early,V_51i,P_51i,51i_lag1,51i_lag2,51i_lag3,51i-1_lag1,51i-1_lag2,51i-1_lag3,51i-50_lag1,51i-50_lag2,51i-50_lag3
BBOB_F1,off,small,lhs,BBOB_F1,2,309,1,1.0,False,9.0,10.0,,,,,,,,,
BBOB_F1,off,small,lhs,BBOB_F1,2,309,2,1.0,False,71.0,38.0,62.0,,,43.0,,,14.0,,
BBOB_F1,off,small,lhs,BBOB_F1,2,309,3,1.0,False,55.0,28.0,-16.0,46.0,,45.0,88.0,,47.0,61.0,
BBOB_F1,off,small,lhs,BBOB_F1,2,309,4,1.0,False,100.0,50.0,45.0,29.0,91.0,12.0,57.0,100.0,-2.0,45.0,59.0
BBOB_F17,off,small,lhs,BBOB_F17,2,309,1,1.0,False,4.0,3.0,,,,,,,,,
BBOB_F17,off,small,lhs,BBOB_F17,2,309,2,1.0,False,41.0,21.0,37.0,,,19.0,,,4.0,,
BBOB_F17,off,small,lhs,BBOB_F17,2,309,3,1.0,False,86.0,43.0,45.0,82.0,,70.0,89.0,,51.0,55.0,
BBOB_F17,off,small,lhs,BBOB_F17,2,309,4,1.0,False,84.0,42.0,-2.0,43.0,80.0,-5.0,65.0,84.0,25.0,76.0,80.0
BBOB_F22,off,small,lhs,BBOB_F22,2,309,1,1.0,False,7.0,5.0,,,,,,,,,
BBOB_F22,off,small,lhs,BBOB_F22,2,309,2,1.0,False,48.0,24.0,41.0,,,45.0,,,11.0,,
BBOB_F22,off,small,lhs,BBOB_F22,2,309,3,1.0,False,86.0,43.0,38.0,79.0,,55.0,100.0,,29.0,40.0,
BBOB_F22,off,small,lhs,BBOB_F22,2,309,4,1.0,False,84.0,42.0,-2.0,36.0,77.0,-24.0,31.0,76.0,44.0,73.0,84.0
BBOB_F37,off,small,lhs,BBOB_F37,2,309,1,1.0,False,5.0,7.0,,,,,,,,,
BBOB_F37,off,small,lhs,BBOB_F37,2,309,2,1.0,False,74.0,37.0,69.0,,,42.0,,,7.0,,
BBOB_F37,off,small,lhs,BBOB_F37,2,309,3,1.0,False,96.0,48.0,22.0,91.0,,55.0,97.0,,61.0,68.0,
BBOB_F37,off,small,lhs,BBOB_F37,2,309,4,1.0,False,98.0,49.0,2.0,24.0,93.0,1.0,56.0,98.0,-14.0,47.0,54.0
BBOB_F49,off,small,lhs,BBOB_F49,2,309,1,1.0,False,3.0,5.0,,,,,,,,,
BBOB_F49,off,small,lhs,BBOB_F49,2,309,2,1.0,False,68.0,34.0,65.0,,,38.0,,,5.0,,
BBOB_F49,off,small,lhs,BBOB_F49,2,309,3,1.0,False,88.0,44.0,20.0,85.0,,45.0,83.0,,49.0,54.0,
BBOB_F49,off,small,lhs,BBOB_F49,2,309,4,1.0,False,74.0,37.0,-14.0,6.0,71.0,-9.0,36.0,74.0,8.0,57.0,62.0
BBOB_F5,off,small,lhs,BBOB_F5,2,309,1,1.0,False,6.0,5.0,,,,,,,,,
BBOB_F5,off,small,lhs,BBOB_F5,2,309,2,1.0,False,62.0,31.0,56.0,,,69.0,,,8.0,,
BBOB_F5,off,small,lhs,BBOB_F5,2,309,3,1.0,False,98.0,49.0,36.0,92.0,,31.0,100.0,,54.0,62.0,
BBOB_F5,off,small,lhs,BBOB_F5,2,309,4,1.0,False,100.0,50.0,2.0,38.0,94.0,0.0,31.0,100.0,-2.0,52.0,60.0
BBOB_F55,off,small,lhs,BBOB_F55,2,309,1,1.0,False,5.0,6.0,,,,,,,,,
BBOB_F55,off,small,lhs,BBOB_F55,2,309,2,1.0,False,100.0,50.0,95.0,,,100.0,,,9.0,,
BBOB_F55,off,small,lhs,BBOB_F55,2,309,3,1.0,False,100.0,50.0,0.0,95.0,,0.0,100.0,,85.0,94.0,
BBOB_F55,off,small,lhs,BBOB_F55,2,309,4,1.0,False,100.0,50.0,0.0,0.0,95.0,0.0,0.0,100.0,6.0,91.0,100.0
DTLZ1,off,small,lhs,DTLZ1,3,216,1,1.0,False,11.0,10.0,,,,,,,,,
DTLZ1,off,small,lhs,DTLZ1,3,216,2,1.0,False,49.0,20.0,38.0,,,24.0,,,15.0,,
DTLZ1,off,small,lhs,DTLZ1,3,216,3,1.0,False,279.0,93.0,230.0,268.0,,237.0,261.0,,31.0,46.0,
DTLZ1,off,small,lhs,DTLZ1,3,216,4,1.0,False,309.0,103.0,30.0,260.0,298.0,48.0,285.0,309.0,197.0,228.0,243.0
DTLZ2,off,small,lhs,DTLZ2,3,371,1,1.0,False,21.0,11.0,,,,,,,,,
DTLZ2,off,small,lhs,DTLZ2,3,371,2,1.0,False,188.0,64.0,167.0,,,190.0,,,30.0,,
DTLZ2,off,small,lhs,DTLZ2,3,371,3,1.0,False,171.0,57.0,-17.0,150.0,,2.0,192.0,,131.0,161.0,
DTLZ2,off,small,lhs,DTLZ2,3,371,4,1.0,False,285.0,95.0,114.0,97.0,264.0,93.0,95.0,285.0,1.0,132.0,162.0
DTLZ3,off,small,lhs,DTLZ3,3,371,1,1.0,False,15.0,7.0,,,,,,,,,
DTLZ3,off,small,lhs,DTLZ3,3,371,2,1.0,False,80.0,27.0,65.0,,,70.0,,,17.0,,
