label,tier,dist,problema,D,M,N,I_eff,I_max,I_frac,cobertura_frac,prof_max,max_folhas,teto_folhas,pop_max,pop_ultima,F2_nan_sonda_b0,F2_nan_build,F2_nan_final,U12_razao_fantasia,fit_total,busca_total,tempo_total_s
DTLZ4,small,lhs,DTLZ4,12,3,371,4,4,1.0,0.3234501347708894,2.0,3.0,3,100,99,0.6763333333333333,0.0435509614653796,0.0007070643111927,0.797979797979798,0.674166,6.7302409999999995,61.6287
DTLZ7,small,lhs,DTLZ7,22,3,681,4,4,1.0,0.775330396475771,2.0,3.0,3,93,79,0.2265333333333333,0.0803691480259137,0.0001657994082236,0.7974683544303798,6.595657,6.058196,64.6921
MMF1,small,lhs,MMF1,2,2,61,4,4,1.0,1.0,2.0,3.0,3,50,50,0.0,0.1656720871251678,0.0,0.18,0.2361309999999999,2.200739,23.5358
MMF11_L,small,lhs,MMF11_L,2,2,61,4,4,1.0,1.0,2.0,3.0,3,50,50,0.0,0.0708512042230287,0.0,0.98,0.185188,2.207473,23.8357
MMF16_20,small,lhs,MMF16_20,20,3,619,4,4,1.0,1.0,1.0,2.0,3,105,93,0.0,0.0747140760433109,0.0,0.989247311827957,13.701131,6.941452999999999,82.1077
MMF4,small,lhs,MMF4,2,2,61,4,4,1.0,1.0,2.0,3.0,3,50,50,0.0,0.2008308265291505,0.0,0.5,0.218799,2.105822,23.0457
WFG1,small,lhs,WFG1,22,2,681,4,4,1.0,0.671071953010279,2.0,3.0,3,50,50,0.32735,0.0606337599024984,0.0,0.44,0.25479,1.979706,23.4275
WFG2,small,lhs,WFG2,22,2,681,4,4,1.0,0.4185022026431718,1.0,2.0,3,50,34,0.5814,0.0258647076828895,0.0002701520570149,0.0588235294117647,0.202952,2.709535,22.2685
WFG4,small,lhs,WFG4,22,2,681,4,4,1.0,0.6461086637298091,2.0,3.0,3,50,50,0.3532,0.1191687871077184,0.0001336183858898,0.1,0.2419339999999999,1.023425,13.7805
WFG5,small,lhs,WFG5,22,2,681,4,4,1.0,0.3230543318649045,2.0,3.0,3,50,50,0.677025,0.0491688674848531,0.0005307855626326,0.02,0.135867,2.595191,25.1219
WFG9,small,lhs,WFG9,22,2,681,4,4,1.0,0.3362701908957415,2.0,3.0,3,50,50,0.6411,0.0443169968717414,9.452242544543692e-05,0.04,0.142075,1.598828,21.468
ZDT1,small,lhs,ZDT1,30,2,929,4,4,1.0,0.8385360602798708,2.0,3.0,3,50,50,0.161525,0.0559971098265896,0.0001109363023921,1.0,8.508309,2.4202260000000004,36.5796
ZDT3,small,lhs,ZDT3,30,2,929,4,4,1.0,1.0,1.0,2.0,3,50,50,0.0,0.0327498588368153,0.0,0.8,22.806765,2.547859,52.4
ZDT4,small,lhs,ZDT4,10,2,309,4,4,1.0,0.6666666666666666,2.0,3.0,3,50,50,0.33375,0.0768281101614434,0.0030872483221476,0.98,0.6440670000000001,1.967832,20.9691
ZDT6,small,lhs,ZDT6,10,2,309,4,4,1.0,0.4352750809061488,2.0,3.0,3,50,50,0.56425,0.0307640750670241,0.0297567464076261,0.04,0.34734,2.848103,24.2345
swap_big-lhs_DTLZ2,big,lhs,DTLZ2,12,3,50000,99,417,0.237410071942446,0.2563,21.0,327.0,416,105,105,0.7451,0.2834337517221817,0.0584647236821149,0.961904761904762,59.30189499999998,203.3092599999999,326.9654
swap_big-lhs_MMF16_20,big,lhs,MMF16_20,20,3,50000,44,250,0.176,0.1963466666666666,12.0,189.0,250,105,105,0.8034,0.3719758693224019,0.0598216442291801,0.9523809523809524,126.12067399999998,81.43816299999997,267.9907
swap_big-lhs_WFG9,big,lhs,WFG9,22,2,50000,6,228,0.0263157894736842,0.00479,17.0,173.0,227,50,50,0.994875,0.1776753325272067,0.0356230576014304,0.98,1.73033,4.741562,28.1593
swap_big-lhs_ZDT1,big,lhs,ZDT1,30,2,50000,18,167,0.1077844311377245,0.07526,9.0,128.0,166,50,50,0.9249,0.2296456994361818,0.0632227198697068,0.56,29.185917000000003,15.288338,68.7139
