label,exp,tier,dist,problema,M,N,I_eff,sentinela_ok,sentinela_viol,es_iff_zero,hit_51i_lag1,hit_51i_lag2,hit_51i_lag3,hit_51i-1_lag1,hit_51i-1_lag2,hit_51i-1_lag3,hit_51i-50_lag1,hit_51i-50_lag2,hit_51i-50_lag3,n_pos5
ZDT1,off,small,lhs,ZDT1,2,929,4,True,0,True,0,0,0,0,0,0,0,0,0,0
ZDT3,off,small,lhs,ZDT3,2,929,4,True,0,True,0,0,0,0,0,0,0,0,0,0
ZDT4,off,small,lhs,ZDT4,2,309,4,True,0,True,0,0,0,0,0,0,0,0,0,0
ZDT6,off,small,lhs,ZDT6,2,309,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,50000,99,True,0,True,1,1,1,3,0,2,1,3,2,94
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,3,50000,44,True,0,True,1,1,0,2,0,0,1,0,0,39
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,2,50000,6,True,0,True,0,0,0,0,0,0,0,0,0,1
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,2,50000,18,True,0,True,1,0,0,2,0,0,0,1,0,13
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,2,50000,50,True,0,True,1,1,1,2,1,1,0,1,1,45
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,3,50000,56,True,0,True,1,1,1,2,0,3,1,2,1,51
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,2,50000,8,True,0,True,1,0,0,1,0,0,0,0,0,3
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,2,50000,61,True,0,True,1,2,4,2,1,2,2,3,0,56
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,2,50000,30,True,0,True,1,2,1,2,0,0,1,1,1,25
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,3,2000,14,True,0,True,2,0,0,2,0,0,0,0,0,9
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,3,2000,10,True,0,True,1,0,0,1,0,0,0,0,0,5
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,2,2000,6,True,0,True,0,0,0,0,0,0,0,0,0,1
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,2,2000,6,True,0,True,1,1,0,0,0,0,0,0,0,1
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,2,2000,7,True,0,True,0,0,0,0,0,0,0,0,0,2
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,3,2000,14,True,0,True,1,1,0,1,1,0,0,0,0,9
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,3,2000,10,True,0,True,0,0,0,0,0,0,0,0,0,5
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,2,2000,8,True,0,True,0,0,1,0,0,1,0,0,0,3
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,2,2000,7,True,0,True,0,0,0,0,0,0,0,0,0,2
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,2,2000,10,True,0,True,0,1,1,0,0,1,0,0,0,5
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,3,371,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,3,619,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,2,681,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,2,929,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,2,309,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,3,371,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,3,619,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,2,681,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,2,929,4,True,0,True,0,0,0,0,0,0,0,0,0,0
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,2,309,4,True,0,True,0,0,0,0,0,0,0,0,0,0
