exp,problema,n_cp,viol_igd,viol_hv,igd_ini,igd_fim,ganho,nd_ini,nd_fim
off,BBOB_F17,20,0,0,1.0484758371376217,0.07688428143559754,13.637063617689945,1,8
off,BBOB_F1,20,0,0,1.7981601100531468,0.3862484203788069,4.655449744725507,1,7
off,BBOB_F22,20,0,0,6.117291717128747,1.0748151779345663,5.691482445274104,1,4
off,BBOB_F37,20,0,0,3.732544275253174,0.5034143939497656,7.414456797644992,1,3
off,BBOB_F49,20,0,0,0.766233799424952,0.33490728311011936,2.2878982872791394,1,7
off,BBOB_F55,20,0,0,1.334162437112581,0.9561693927609834,1.3953201673399367,1,4
off,BBOB_F5,20,0,0,1.2009416230132166,0.5185289806592093,2.316054970517659,1,10
off,DTLZ1,20,0,0,295.62565819339676,75.32352791621113,3.924745247225365,1,35
off,DTLZ2,20,0,0,1.46168043334013,0.43823498936540817,3.3353804894874672,1,66
off,DTLZ3,20,0,0,1107.330374782449,398.39091750128574,2.7795070774395234,1,33
off,DTLZ4,20,0,0,1.2805424022294085,0.7908760920109282,1.6191441556583481,1,8
off,DTLZ7,20,0,0,3.7621243726910434,2.470206215881323,1.5230001238373485,1,49
off,MMF11_L,20,0,0,1.0394598152741863,0.0419580102470012,24.773810987580802,1,12
off,MMF16_20,20,0,0,0.7890681052400935,0.05278457747014157,14.948838146643162,1,100
off,MMF1,20,0,0,5.515756018745245,0.05628669750862405,97.99395350740093,1,12
off,MMF4,20,0,0,0.41911009709170205,0.026473216830344454,15.831476007528657,1,18
off,WFG1,20,0,0,1.1172351427542682,0.9910113107849866,1.1273687097166416,1,36
off,WFG2,20,0,0,0.49314120533003564,0.22507756207467056,2.19098341382618,1,11
off,WFG4,20,0,0,0.5896731205180017,0.12921276875995394,4.563582424376895,1,42
off,WFG5,20,0,0,0.6289590219861829,0.21468466239930986,2.9296877334270377,1,38
off,WFG9,20,0,0,0.5270746544536238,0.23334643557595364,2.2587645410253647,1,26
off,ZDT1,20,0,0,3.699115009423101,1.9840097985661822,1.8644640828368906,1,14
off,ZDT3,20,0,0,2.3226093209544376,1.1889574991333902,1.953483890422783,1,18
off,ZDT4,20,0,0,157.4260204697004,76.27288000105129,2.0639842165069755,1,9
off,ZDT6,20,0,0,8.876870480131139,7.603936122087763,1.1674046622177403,1,9
sweep-big-lhs,DTLZ2,20,0,0,1.426724138299859,0.1738949906720046,8.204515453759692,1,300
sweep-big-lhs,MMF16_20,20,0,0,1.0423719782486731,0.007557079855307071,137.93316971722246,1,2272
sweep-big-lhs,WFG9,20,0,0,0.678165348258946,0.12532885266740024,5.411087182443714,1,29
sweep-big-lhs,ZDT1,20,0,0,4.773913642650191,1.6368310031755808,2.9165586632880385,1,24
sweep-big-lhs,ZDT4,20,0,0,157.96160920105524,44.295186937957276,3.5661122600590116,1,12
sweep-big-mvns,DTLZ2,20,0,0,1.5572953975213017,0.19188619223746595,8.115724114187923,1,123
sweep-big-mvns,WFG9,20,0,0,0.7577957105850855,0.14335658531070294,5.2860892922545695,1,34
sweep-big-mvns,ZDT1,20,0,0,2.3897588631252744,0.8512256172199212,2.807432970509228,1,24
sweep-big-mvns,ZDT4,20,0,0,169.45996043140133,45.51466063840079,3.723195077245675,1,5
sweep-medium-lhs,DTLZ2,20,0,0,1.710211044194282,0.30629440849929035,5.583552937102488,1,114
sweep-medium-lhs,MMF16_20,20,0,0,0.5645013969690066,0.0279673218909566,20.184320800181496,1,218
sweep-medium-lhs,WFG9,20,0,0,0.581764368291702,0.184433786563433,3.1543264340647994,1,24
sweep-medium-lhs,ZDT1,20,0,0,3.1121094538418155,1.7391326680113817,1.7894606381009275,1,22
sweep-medium-lhs,ZDT4,20,0,0,143.88646151745633,36.384983926101,3.954556138040189,1,7
sweep-medium-mvns,DTLZ2,20,0,0,1.4125543492366734,0.3503483729551524,4.031856455681307,1,60
sweep-medium-mvns,MMF16_20,20,0,0,1.088487810020938,0.028946233176537835,37.60378089205763,1,187
sweep-medium-mvns,WFG9,20,0,0,0.729600669442115,0.17733311516515338,4.114294551035352,1,15
sweep-medium-mvns,ZDT1,20,0,0,1.5864692668237312,0.8020462495052066,1.9780271621523646,1,14
sweep-medium-mvns,ZDT4,20,0,0,124.2697396319447,55.05241586105082,2.257298570613041,1,2
sweep-small-lhs,DTLZ2,20,0,0,1.46168043334013,0.43823498936540817,3.3353804894874672,1,66
sweep-small-lhs,MMF16_20,20,0,0,0.7890681052400935,0.05278457747014157,14.948838146643162,1,100
sweep-small-lhs,WFG9,20,0,0,0.5270746544536238,0.23334643557595364,2.2587645410253647,1,26
sweep-small-lhs,ZDT1,20,0,0,3.699115009423101,1.9840097985661822,1.8644640828368906,1,14
sweep-small-lhs,ZDT4,20,0,0,157.4260204697004,76.27288000105129,2.0639842165069755,1,9
sweep-small-mvns,DTLZ2,20,0,0,1.3072058373936355,0.3485157318681744,3.7507800017707216,1,35
sweep-small-mvns,MMF16_20,20,0,0,0.889348985298819,0.05556964920868195,16.004221692295136,1,86
sweep-small-mvns,WFG9,20,0,0,0.5923864865504458,0.21089944808818695,2.8088574527835712,1,12
sweep-small-mvns,ZDT1,20,0,0,2.3722610593963336,1.0563288256978143,2.245760033888321,1,7
sweep-small-mvns,ZDT4,20,0,0,149.39045259086794,85.7324210159935,1.7425199337716002,1,1
