label,exp,tier,dist,problema,D,M,N,Nmin,I_eff,I_max,k,iteracao,geracao,n_gps,n_folhas,prof_max,tp,tp_frac,delta_total_point,early_stop,n_front1,f_best,tempo_fit_s,tempo_busca_s,motivo
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,4,4,2,3,153,"[1, 2]","[3, 2]",2.0,"[100.0, 309.0]",0.6618122977346278,1.0,False,5,"[51.71100608137681, 1620.7728192148218]",0.000288,0.964756,construcao treed-GP: +GP na folha de maior impureza
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,100,4,4,3,4,204,"[1, 2]","[3, 2]",2.0,"[100.0, 309.0]",0.6618122977346278,1.0,False,9,"[49.776612155488124, 1620.896246196533]",0.000248,0.978484,construcao treed-GP: +GP na folha de maior impureza
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,4,0,1,51,"[1, 1]","[2, 3]",2.0,"[121.0, 101.0]",0.3592233009708738,1.0,False,2,"[73.45436618167378, 76.01932743284283]",0.345483,0.05543,construcao treed-GP: +GP na folha de maior impureza
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,4,1,2,102,"[1, 1]","[2, 3]",2.0,"[121.0, 101.0]",0.3592233009708738,1.0,False,41,"[70.81617608201577, 75.36042872238863]",0.000224,0.77312,construcao treed-GP: +GP na folha de maior impureza
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,4,2,3,153,"[1, 1]","[2, 3]",2.0,"[121.0, 101.0]",0.3592233009708738,1.0,False,45,"[70.80413828126393, 75.33754116456726]",0.00021,0.934708,construcao treed-GP: +GP na folha de maior impureza
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,100,4,4,3,4,204,"[1, 1]","[2, 3]",2.0,"[121.0, 101.0]",0.3592233009708738,1.0,False,49,"[70.80271026828973, 75.3366517069228]",0.000293,1.118379,construcao treed-GP: +GP na folha de maior impureza
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,4,0,1,51,"[1, 1, 1]","[3, 3, 2]",2.0,"[71.0, 70.0, 95.0]",0.36419753086419754,1.0,False,1,"[20.555177251764107, 19.99859480625568, 74.04353316712775]",0.422704,0.092599,construcao treed-GP: +GP na folha de maior impureza
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,4,1,2,102,"[2, 2, 2]","[3, 3, 2]",2.0,"[142.0, 141.0, 216.0]",0.7700617283950618,1.0,False,10,"[20.555177251764107, -1.5173359190567624, 29.42016520487153]",0.203473,0.333997,construcao treed-GP: +GP na folha de maior impureza
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,4,2,3,153,"[3, 3, 2]","[3, 3, 2]",2.0,"[216.0, 216.0, 216.0]",1.0,1.0,False,79,"[0.516484352882685, -0.5892392872974, 4.458158102276323]",0.105271,2.240438,construcao treed-GP: +GP na folha de maior impureza
DTLZ1,off,small,lhs,DTLZ1,7,3,216,70,4,4,3,4,204,"[3, 3, 2]","[3, 3, 2]",2.0,"[216.0, 216.0, 216.0]",1.0,1.0,False,85,"[-0.4435810290078033, -1.7892580759868792, 4.457640222373913]",0.00038,3.038741,construcao treed-GP: +GP na folha de maior impureza
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,4,0,1,51,"[1, 1, 1]","[2, 3, 2]",2.0,"[228.0, 125.0, 229.0]",0.522911051212938,1.0,False,10,"[0.02402029668292016, 0.29741278062056486, 0.5334423998958557]",0.690405,0.095786,construcao treed-GP: +GP na folha de maior impureza
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,4,1,2,102,"[2, 2, 2]","[2, 3, 2]",2.0,"[371.0, 245.0, 371.0]",0.8867924528301887,1.0,False,51,"[-0.28556460772961145, 0.29741278062056486, 0.49366872501559556]",0.722475,1.44983,construcao treed-GP: +GP na folha de maior impureza
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,4,2,3,153,"[2, 3, 2]","[2, 3, 2]",2.0,"[371.0, 371.0, 371.0]",1.0,1.0,False,53,"[-0.300574615645246, -0.13959070157949327, 0.05707238174464635]",0.264945,1.888902,construcao treed-GP: +GP na folha de maior impureza
DTLZ2,off,small,lhs,DTLZ2,12,3,371,120,4,4,3,4,204,"[2, 3, 2]","[2, 3, 2]",2.0,"[371.0, 371.0, 371.0]",1.0,1.0,False,88,"[-0.3088266328602458, -0.15369311784675688, -0.0545078655638207]",0.000355,3.155785,construcao treed-GP: +GP na folha de maior impureza
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,4,0,1,51,"[1, 1, 1]","[2, 2, 2]",1.0,"[236.0, 181.0, 219.0]",0.5714285714285714,1.0,False,5,"[174.95859814153476, 248.96816969076406, 342.71090155944466]",0.705033,0.091985,construcao treed-GP: +GP na folha de maior impureza
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,4,1,2,102,"[1, 2, 2]","[2, 2, 2]",1.0,"[236.0, 371.0, 371.0]",0.8787061994609164,1.0,False,20,"[41.86624009890774, 35.70067213551491, 619.2388814315802]",0.557325,0.791452,construcao treed-GP: +GP na folha de maior impureza
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,4,2,3,153,"[2, 2, 2]","[2, 2, 2]",1.0,"[371.0, 371.0, 371.0]",1.0,1.0,False,52,"[46.93172816054626, -8.388657801039244, 6.228489499690227]",0.170532,1.930387,construcao treed-GP: +GP na folha de maior impureza
DTLZ3,off,small,lhs,DTLZ3,12,3,371,120,4,4,3,4,204,"[2, 2, 2]","[2, 2, 2]",1.0,"[371.0, 371.0, 371.0]",1.0,1.0,False,63,"[-2.7182375317338483, -26.52829632672956, 6.225002654517425]",0.000355,2.794489,construcao treed-GP: +GP na folha de maior impureza
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,4,0,1,51,"[1, 1, 1]","[3, 2, 2]",2.0,"[120.0, 120.0, 120.0]",0.32345013477088946,1.0,False,2,"[1.1336856833347917, -0.0001579395029693842, 2.8989314665696376e-19]",0.673282,0.10596,construcao treed-GP: +GP na folha de maior impureza
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,4,1,2,102,"[1, 1, 1]","[3, 2, 2]",2.0,"[120.0, 120.0, 120.0]",0.32345013477088946,1.0,False,36,"[0.1355639696817299, 0.003126386785879731, -0.009791404586940526]",0.0003,1.752772,construcao treed-GP: +GP na folha de maior impureza
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,4,2,3,153,"[1, 1, 1]","[3, 2, 2]",2.0,"[120.0, 120.0, 120.0]",0.32345013477088946,1.0,False,48,"[0.054938793288632826, 0.013533266261219978, -0.004854227267325948]",0.000295,2.387637,construcao treed-GP: +GP na folha de maior impureza
DTLZ4,off,small,lhs,DTLZ4,12,3,371,120,4,4,3,4,204,"[1, 1, 1]","[3, 2, 2]",2.0,"[120.0, 120.0, 120.0]",0.32345013477088946,1.0,False,68,"[0.041912414069820714, 0.014405285706743598, -0.004735249719716724]",0.000289,2.483872,construcao treed-GP: +GP na folha de maior impureza
DTLZ7,off,small,lhs,DTLZ7,22,3,681,220,4,4,0,1,51,"[1, 1, 1]","[2, 2, 3]",2.0,"[341.0, 341.0, 222.0]",0.44248653940283894,1.0,False,5,"[0.24961305391628824, 0.02681352429499384, 15.452207147688569]",4.591422,0.091386,construcao treed-GP: +GP na folha de maior impureza
