problema,dist,big,medium,small
DTLZ2,lhs,0.1738949906720046,0.3062944084992903,0.4382349893654081
DTLZ2,mvns,0.1918861922374659,0.3503483729551524,0.3485157318681744
MMF16_20,lhs,0.007557079855307,0.0279673218909566,0.0527845774701415
MMF16_20,mvns,,0.0289462331765378,0.0555696492086819
WFG9,lhs,0.1253288526674002,0.184433786563433,0.2333464355759536
WFG9,mvns,0.1433565853107029,0.1773331151651533,0.2108994480881869
ZDT1,lhs,1.6368310031755808,1.7391326680113817,1.9840097985661824
ZDT1,mvns,0.8512256172199212,0.8020462495052066,1.0563288256978145
ZDT4,lhs,44.29518693795728,36.384983926101,76.27288000105129
ZDT4,mvns,45.51466063840079,55.05241586105082,85.7324210159935
