exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan,nan_share
off,c311,MMF1,blk0,treedGP_build,60,0,0.000233,0.999998,0.972,20000,0,0.0
off,c311,MMF1,blk0,treedGP_build,60,1,0.744562,0.258776,0.9288,20000,0,0.0
off,c311,MMF1,blk1,treedGP_final,60,0,0.000233,0.999998,0.972,20000,0,0.0
off,c311,MMF1,blk1,treedGP_final,60,1,0.744562,0.258776,0.9288,20000,0,0.0
off,c311,MMF4,blk0,treedGP_build,60,0,0.000283,0.999997,0.9667,20000,0,0.0
off,c311,MMF4,blk0,treedGP_build,60,1,0.27167,0.711078,0.9129,20000,0,0.0
off,c311,MMF4,blk1,treedGP_final,60,0,0.000283,0.999997,0.9667,20000,0,0.0
off,c311,MMF4,blk1,treedGP_final,60,1,0.27167,0.711078,0.9129,20000,0,0.0
off,c311,MMF11_L,blk0,treedGP_build,60,0,2e-06,1.0,1.0,20000,0,0.0
off,c311,MMF11_L,blk0,treedGP_build,60,1,0.117333,0.971721,0.9393,20000,0,0.0
off,c311,MMF11_L,blk1,treedGP_final,60,0,2e-06,1.0,1.0,20000,0,0.0
off,c311,MMF11_L,blk1,treedGP_final,60,1,0.117333,0.971721,0.9393,20000,0,0.0
off,c311,MMF16_20,blk0,treedGP_build,618,0,0.031985,0.995408,0.9082,20000,0,0.0
off,c311,MMF16_20,blk0,treedGP_build,618,1,0.096041,0.982088,0.8685,20000,0,0.0
off,c311,MMF16_20,blk0,treedGP_build,618,2,8.2e-05,1.0,0.9997,20000,0,0.0
off,c311,MMF16_20,blk1,treedGP_final,618,0,0.031985,0.995408,0.9082,20000,0,0.0
off,c311,MMF16_20,blk1,treedGP_final,618,1,0.096041,0.982088,0.8685,20000,0,0.0
off,c311,MMF16_20,blk1,treedGP_final,618,2,8.2e-05,1.0,0.9997,20000,0,0.0
off,c311,ZDT1,blk0,treedGP_build,928,0,0.0,1.0,1.0,20000,0,0.0
off,c311,ZDT1,blk0,treedGP_build,928,1,0.027117,0.942181,0.9513,20000,0,0.0
off,c311,ZDT1,blk1,treedGP_final,928,0,0.0,1.0,1.0,20000,0,0.0
off,c311,ZDT1,blk1,treedGP_final,928,1,0.027117,0.942181,0.9513,20000,0,0.0
off,c311,ZDT3,blk0,treedGP_build,928,0,0.0,1.0,1.0,20000,0,0.0
off,c311,ZDT3,blk0,treedGP_build,928,1,0.076743,0.793508,0.8698,20000,0,0.0
off,c311,ZDT3,blk1,treedGP_final,928,0,0.0,1.0,1.0,20000,0,0.0
off,c311,ZDT3,blk1,treedGP_final,928,1,0.076743,0.793508,0.8698,20000,0,0.0
off,c311,ZDT4,blk0,treedGP_build,308,0,1e-06,1.0,1.0,20000,0,0.0
off,c311,ZDT4,blk0,treedGP_build,308,1,0.15152,0.207283,0.9272,20000,0,0.0
off,c311,ZDT4,blk1,treedGP_final,308,0,1e-06,1.0,1.0,20000,0,0.0
off,c311,ZDT4,blk1,treedGP_final,308,1,0.15152,0.207283,0.9272,20000,0,0.0
off,c311,ZDT6,blk0,treedGP_build,308,0,0.082297,0.476768,0.9213,20000,0,0.0
off,c311,ZDT6,blk0,treedGP_build,308,1,0.016381,0.786262,0.8182,20000,0,0.0
off,c311,ZDT6,blk1,treedGP_final,308,0,0.082297,0.476768,0.9213,20000,0,0.0
