label,exp,tier,dist,problema,D,M,N,n_real,n_pop,n_sur,n_busca,n_sonda,n_tim,n_final,status,maxfe,fe_final,n_geracoes,cache_hits,n_retries,fallback,min_samples_leaf,max_depth,kernel,selection,alpha,G_max,n_gen_total_final,sonda_S,sonda_nblocos,I_eff,I_max,n_decision,n_sonda_ev,n_footer,n_guard,n_header,n_ev,rec_tipos,ngen_obs,ngen_esperado,ok_ngen,build_min,build_max,final_min,final_max,ok_fases,sem_furos,tempo_aval_real_s,tempo_fit_s,tempo_busca_s,tempo_pred_sonda_s,tempo_total_s,n_fit_series,footer_runner,footer_motivo,footer_nfinal,footer_ndpos,footer_cpinit,upload_status,guard_nomes,guard_msgs
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,309,0,96866,56866,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.871,22.9758,0.3432,25.8568,4,True,,50.0,17.0,True,,,
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,309,0,51857,11857,40000,4,2,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.9764,5.8628,0.4923,8.9056,4,True,,2.0,1.0,True,,,
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,309,0,72427,32427,40000,4,14,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.3825,15.7517,0.5471,19.3158,4,True,,14.0,2.0,True,,,
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,309,0,94208,54208,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.7082,23.2326,0.454,26.3116,4,True,,50.0,5.0,True,,,
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,309,0,78185,38185,40000,4,32,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.849,16.5942,0.4526,19.477,4,True,,32.0,5.0,True,,,
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,309,0,96518,56518,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.7597,23.3763,0.4152,26.1997,4,True,,50.0,2.0,True,,,
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,309,0,97380,57380,40000,4,50,ok,309,309,1204,0,0,False,100,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.3462,23.8024,0.3113,26.0507,4,True,,50.0,7.0,True,,,
DTLZ1,off,small,lhs,DTLZ1,7,3,216,216,0,152688,112688,40000,4,104,ok,216,216,1204,0,0,False,70,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,0.7318,66.569,0.5209,69.6143,4,True,,104.0,21.0,True,,,
DTLZ2,off,small,lhs,DTLZ2,12,3,371,371,0,144031,104031,40000,4,94,ok,371,371,1204,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.6782,63.996,0.7962,68.3923,4,True,,94.0,93.0,True,,,
DTLZ3,off,small,lhs,DTLZ3,12,3,371,371,0,144472,104472,40000,4,95,ok,371,371,1204,0,0,False,120,100,GPy Matern52 ARD; sem White/normalizer/priors; optimize('bfgs') unico,mean,2,50,1000,20000,2,4,4,4,2,2,0,1,9,decision;footer;header;sonda,1204,1204,True,1,204,205,1204,True,True,0.0,1.4332,62.4949,0.842,66.7212,4,True,,95.0,36.0,True,,,
