label,exp,tier,dist,problema,M,it,ger,pop,f_best_log,f_best_rec,ok_fbest,nfront1_log,nfront1_rec,ok_nfront1,f_best_neg
MMF4,off,small,lhs,MMF4,2,1,51,7,"[0.170815, 0.238609]","[0.170815, 0.238609]",True,2,2,True,False
MMF4,off,small,lhs,MMF4,2,2,102,42,"[0.170815, -0.023527]","[0.170815, -0.023527]",True,23,23,True,True
MMF4,off,small,lhs,MMF4,2,3,153,45,"[0.183522, -0.023527]","[0.183522, -0.023527]",True,28,28,True,True
MMF4,off,small,lhs,MMF4,2,4,204,50,"[0.009769, -0.023527]","[0.009769, -0.023527]",True,34,34,True,True
WFG1,off,small,lhs,WFG1,2,1,51,4,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG1,off,small,lhs,WFG1,2,2,102,9,"[0.0, 0.0]","[0.0, 0.0]",True,3,3,True,False
WFG1,off,small,lhs,WFG1,2,3,153,43,"[0.0, 0.0]","[0.0, 0.0]",True,3,3,True,False
WFG1,off,small,lhs,WFG1,2,4,204,49,"[0.0, 0.0]","[0.0, 0.0]",True,7,7,True,False
WFG2,off,small,lhs,WFG2,2,1,51,4,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG2,off,small,lhs,WFG2,2,2,102,42,"[0.0, 0.0]","[0.0, 0.0]",True,1,1,True,False
WFG2,off,small,lhs,WFG2,2,3,153,47,"[0.0, 0.0]","[0.0, 0.0]",True,3,3,True,False
WFG2,off,small,lhs,WFG2,2,4,204,37,"[0.0, 0.0]","[0.0, 0.0]",True,8,4,False,False
WFG4,off,small,lhs,WFG4,2,1,51,3,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG4,off,small,lhs,WFG4,2,2,102,4,"[0.0, 0.0]","[0.0, 0.0]",True,1,1,True,False
WFG4,off,small,lhs,WFG4,2,3,153,20,"[0.0, 0.0]","[0.0, 0.0]",True,3,3,True,False
WFG4,off,small,lhs,WFG4,2,4,204,18,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG5,off,small,lhs,WFG5,2,1,51,7,"[0.0, 0.0]","[0.0, 0.0]",True,4,4,True,False
WFG5,off,small,lhs,WFG5,2,2,102,46,"[0.0, 0.0]","[0.0, 0.0]",True,4,4,True,False
WFG5,off,small,lhs,WFG5,2,3,153,35,"[0.0, 0.0]","[0.0, 0.0]",True,5,5,True,False
WFG5,off,small,lhs,WFG5,2,4,204,32,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG9,off,small,lhs,WFG9,2,1,51,5,"[0.0, 0.0]","[0.0, 0.0]",True,1,1,True,False
WFG9,off,small,lhs,WFG9,2,2,102,32,"[0.0, 0.0]","[0.0, 0.0]",True,1,1,True,False
WFG9,off,small,lhs,WFG9,2,3,153,21,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
WFG9,off,small,lhs,WFG9,2,4,204,16,"[0.0, 0.0]","[0.0, 0.0]",True,2,2,True,False
ZDT1,off,small,lhs,ZDT1,2,1,51,5,"[0.249737, 3.350332]","[0.249737, 3.350332]",True,2,2,True,False
ZDT1,off,small,lhs,ZDT1,2,2,102,38,"[0.481955, 2.127663]","[0.481955, 2.127663]",True,5,5,True,False
ZDT1,off,small,lhs,ZDT1,2,3,153,37,"[0.190799, 2.044043]","[0.190799, 2.044043]",True,11,11,True,False
ZDT1,off,small,lhs,ZDT1,2,4,204,47,"[1e-06, 1.305608]","[1e-06, 1.305608]",True,21,21,True,False
ZDT3,off,small,lhs,ZDT3,2,1,51,3,"[0.249699, 3.23895]","[0.249699, 3.23895]",True,2,2,True,False
ZDT3,off,small,lhs,ZDT3,2,2,102,39,"[0.453221, 1.435929]","[0.453221, 1.435929]",True,8,8,True,False
ZDT3,off,small,lhs,ZDT3,2,3,153,33,"[0.156288, 1.320126]","[0.156288, 1.320125]",True,11,11,True,False
ZDT3,off,small,lhs,ZDT3,2,4,204,50,"[0.0, 1.218912]","[0.0, 1.218912]",True,24,24,True,False
ZDT4,off,small,lhs,ZDT4,2,1,51,4,"[0.249151, 148.388906]","[0.249151, 148.388901]",True,1,1,True,False
ZDT4,off,small,lhs,ZDT4,2,2,102,42,"[0.488126, 143.637837]","[0.488126, 143.637833]",True,10,10,True,False
ZDT4,off,small,lhs,ZDT4,2,3,153,46,"[0.0, 143.511214]","[0.0, 143.511215]",True,6,6,True,False
ZDT4,off,small,lhs,ZDT4,2,4,204,44,"[0.0, 143.360692]","[0.0, 143.360687]",True,4,4,True,False
ZDT6,off,small,lhs,ZDT6,2,1,51,6,"[0.812163, 7.603366]","[0.812163, 7.603366]",True,2,2,True,False
ZDT6,off,small,lhs,ZDT6,2,2,102,48,"[0.645469, 6.36125]","[0.645469, 6.36125]",True,31,31,True,False
ZDT6,off,small,lhs,ZDT6,2,3,153,50,"[0.623613, 6.027162]","[0.623613, 6.027162]",True,41,41,True,False
ZDT6,off,small,lhs,ZDT6,2,4,204,48,"[0.61679, 5.880576]","[0.61679, 5.880576]",True,37,37,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,1,51,104,"[0.002513, 0.002149, 0.004354]","[0.002513, 0.002149, 0.004354]",True,33,33,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,2,102,104,"[0.002513, 0.002149, 0.004354]","[0.002513, 0.002149, 0.004354]",True,41,41,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,3,153,102,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,60,60,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,4,204,101,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,67,67,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,5,255,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,66,66,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,6,306,103,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,66,66,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,7,357,104,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,71,71,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,8,408,102,"[0.002513, 0.006338, 0.004354]","[0.002513, 0.006338, 0.004354]",True,88,88,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,9,459,101,"[0.002513, 0.008283, 0.02923]","[0.002513, 0.008283, 0.02923]",True,96,96,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,10,510,102,"[0.002513, 0.007899, 0.044732]","[0.002513, 0.007899, 0.044732]",True,94,94,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,11,561,103,"[0.002513, 0.007899, 0.036386]","[0.002513, 0.007899, 0.036386]",True,91,91,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,12,612,100,"[0.002513, 0.007899, 0.036386]","[0.002513, 0.007899, 0.036386]",True,92,92,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,13,663,103,"[0.002513, 0.006338, 0.044732]","[0.002513, 0.006338, 0.044732]",True,94,94,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,14,714,101,"[0.002513, 0.006338, 0.044732]","[0.002513, 0.006338, 0.044732]",True,95,95,True,False
