label,exp,tier,dist,problema,M,it,ger,pop,f_best_log,f_best_rec,ok_fbest,nfront1_log,nfront1_rec,ok_nfront1,f_best_neg
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,71,3621,102,"[0.002513, 0.002149, -0.000828]","[0.002513, 0.002149, -0.000828]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,72,3672,102,"[0.002513, 0.002149, -0.000823]","[0.002513, 0.002149, -0.000823]",True,100,100,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,73,3723,102,"[0.002513, 0.002149, -0.000825]","[0.002513, 0.002149, -0.000825]",True,98,98,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,74,3774,101,"[0.002513, 0.002149, -0.000825]","[0.002513, 0.002149, -0.000825]",True,101,101,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,75,3825,102,"[0.002513, 0.002149, -0.000825]","[0.002513, 0.002149, -0.000825]",True,102,102,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,76,3876,103,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,77,3927,104,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,78,3978,103,"[0.002513, 0.002149, -0.000825]","[0.002513, 0.002149, -0.000825]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,79,4029,105,"[0.002513, 0.002149, -0.000825]","[0.002513, 0.002149, -0.000825]",True,105,105,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,80,4080,105,"[0.002513, 0.002149, -0.000827]","[0.002513, 0.002149, -0.000827]",True,105,105,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,81,4131,105,"[0.002513, 0.002149, -0.000827]","[0.002513, 0.002149, -0.000827]",True,104,104,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,82,4182,104,"[0.002513, 0.002149, -0.000833]","[0.002513, 0.002149, -0.000833]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,83,4233,105,"[0.002513, 0.002149, -0.000831]","[0.002513, 0.002149, -0.000831]",True,105,105,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,84,4284,105,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,104,104,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,85,4335,104,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,104,104,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,86,4386,105,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,105,105,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,87,4437,103,"[0.002513, 0.002149, -0.000828]","[0.002513, 0.002149, -0.000828]",True,103,103,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,88,4488,105,"[0.002513, 0.002149, -0.000828]","[0.002513, 0.002149, -0.000828]",True,105,105,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,89,4539,104,"[0.002513, 0.002149, -0.000826]","[0.002513, 0.002149, -0.000826]",True,104,104,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,3,90,4590,104,"[0.002513, -0.002093, -0.000844]","[0.002513, -0.002093, -0.000844]",True,104,104,True,True
