label,exp,tier,dist,problema,D,M,N,I_eff,I_max,it,total_pts,logged,lag3_soma,lag2_soma,lag3_media,early_stop,eh_ultima,it_maior_5,chega_Imax
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,4,1,208.0,1.0,,,,False,False,False,True
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,4,2,309.0,1.0,,,,False,False,False,True
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,4,3,417.0,1.0,,209.0,,False,False,False,True
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,4,4,417.0,1.0,209.0,108.0,104.5,False,True,False,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,4,1,215.0,1.0,,,,False,False,False,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,4,2,511.0,1.0,,,,False,False,False,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,4,3,618.0,1.0,,403.0,,False,False,False,True
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,4,4,618.0,1.0,403.0,107.0,201.5,False,True,False,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,4,1,289.0,1.0,,,,False,False,False,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,4,2,618.0,1.0,,,,False,False,False,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,4,3,618.0,1.0,,329.0,,False,False,False,True
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,4,4,618.0,1.0,329.0,0.0,164.5,False,True,False,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,4,1,223.0,1.0,,,,False,False,False,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,4,2,325.0,1.0,,,,False,False,False,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,4,3,516.0,1.0,,293.0,,False,False,False,True
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,4,4,516.0,1.0,293.0,191.0,146.5,False,True,False,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,4,1,237.0,1.0,,,,False,False,False,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,4,2,337.0,1.0,,,,False,False,False,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,4,3,509.0,1.0,,272.0,,False,False,False,True
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,4,4,509.0,1.0,272.0,172.0,136.0,False,True,False,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,4,1,234.0,1.0,,,,False,False,False,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,4,2,409.0,1.0,,,,False,False,False,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,4,3,409.0,1.0,,175.0,,False,False,False,True
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,4,4,409.0,1.0,175.0,0.0,87.5,False,True,False,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,4,1,222.0,1.0,,,,False,False,False,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,4,2,222.0,1.0,,,,False,False,False,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,4,3,222.0,1.0,,0.0,,False,False,False,True
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,4,4,222.0,1.0,0.0,0.0,0.0,False,True,False,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,4,1,236.0,1.0,,,,False,False,False,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,4,2,499.0,1.0,,,,False,False,False,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,4,3,648.0,1.0,,412.0,,False,False,False,True
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,4,4,648.0,1.0,412.0,149.0,137.33333333333331,False,True,False,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,4,1,582.0,1.0,,,,False,False,False,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,4,2,987.0,1.0,,,,False,False,False,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,4,3,1113.0,1.0,,531.0,,False,False,False,True
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,4,4,1113.0,1.0,531.0,126.0,177.0,False,True,False,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,4,1,636.0,1.0,,,,False,False,False,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,4,2,978.0,1.0,,,,False,False,False,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,4,3,1113.0,1.0,,477.0,,False,False,False,True
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,4,4,1113.0,1.0,477.0,135.0,159.0,False,True,False,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,4,1,360.0,1.0,,,,False,False,False,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,4,2,360.0,1.0,,,,False,False,False,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,4,3,360.0,1.0,,0.0,,False,False,False,True
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,4,4,360.0,1.0,0.0,0.0,0.0,False,True,False,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,4,1,904.0,1.0,,,,False,False,False,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,4,2,1584.0,1.0,,,,False,False,False,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,4,3,1584.0,1.0,,680.0,,False,False,False,True
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,4,4,1584.0,1.0,680.0,0.0,226.66666666666669,False,True,False,True
MMF1,off,small,lhs,MMF1,2,2,61,4,4,1,54.0,1.0,,,,False,False,False,True
MMF1,off,small,lhs,MMF1,2,2,61,4,4,2,101.0,1.0,,,,False,False,False,True
MMF1,off,small,lhs,MMF1,2,2,61,4,4,3,122.0,1.0,,68.0,,False,False,False,True
MMF1,off,small,lhs,MMF1,2,2,61,4,4,4,122.0,1.0,68.0,21.0,34.0,False,True,False,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,4,1,52.0,1.0,,,,False,False,False,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,4,2,102.0,1.0,,,,False,False,False,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,4,3,122.0,1.0,,70.0,,False,False,False,True
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,4,4,122.0,1.0,70.0,20.0,35.0,False,True,False,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,4,1,970.0,1.0,,,,False,False,False,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,4,2,1857.0,1.0,,,,False,False,False,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,4,3,1857.0,1.0,,887.0,,False,False,False,True
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,4,4,1857.0,1.0,887.0,0.0,295.6666666666667,False,True,False,True
MMF4,off,small,lhs,MMF4,2,2,61,4,4,1,40.0,1.0,,,,False,False,False,True
MMF4,off,small,lhs,MMF4,2,2,61,4,4,2,80.0,1.0,,,,False,False,False,True
MMF4,off,small,lhs,MMF4,2,2,61,4,4,3,122.0,1.0,,82.0,,False,False,False,True
MMF4,off,small,lhs,MMF4,2,2,61,4,4,4,122.0,1.0,82.0,42.0,41.0,False,True,False,True
WFG1,off,small,lhs,WFG1,22,2,681,4,4,1,453.0,1.0,,,,False,False,False,True
WFG1,off,small,lhs,WFG1,22,2,681,4,4,2,914.0,1.0,,,,False,False,False,True
WFG1,off,small,lhs,WFG1,22,2,681,4,4,3,914.0,1.0,,461.0,,False,False,False,True
WFG1,off,small,lhs,WFG1,22,2,681,4,4,4,914.0,1.0,461.0,0.0,230.5,False,True,False,True
WFG2,off,small,lhs,WFG2,22,2,681,4,4,1,570.0,1.0,,,,False,False,False,True
WFG2,off,small,lhs,WFG2,22,2,681,4,4,2,570.0,1.0,,,,False,False,False,True
WFG2,off,small,lhs,WFG2,22,2,681,4,4,3,570.0,1.0,,0.0,,False,False,False,True
WFG2,off,small,lhs,WFG2,22,2,681,4,4,4,570.0,1.0,0.0,0.0,0.0,False,True,False,True
WFG4,off,small,lhs,WFG4,22,2,681,4,4,1,440.0,1.0,,,,False,False,False,True
WFG4,off,small,lhs,WFG4,22,2,681,4,4,2,880.0,1.0,,,,False,False,False,True
WFG4,off,small,lhs,WFG4,22,2,681,4,4,3,880.0,1.0,,440.0,,False,False,False,True
WFG4,off,small,lhs,WFG4,22,2,681,4,4,4,880.0,1.0,440.0,0.0,220.0,False,True,False,True
WFG5,off,small,lhs,WFG5,22,2,681,4,4,1,440.0,1.0,,,,False,False,False,True
WFG5,off,small,lhs,WFG5,22,2,681,4,4,2,440.0,1.0,,,,False,False,False,True
WFG5,off,small,lhs,WFG5,22,2,681,4,4,3,440.0,1.0,,0.0,,False,False,False,True
WFG5,off,small,lhs,WFG5,22,2,681,4,4,4,440.0,1.0,0.0,0.0,0.0,False,True,False,True
WFG9,off,small,lhs,WFG9,22,2,681,4,4,1,458.0,1.0,,,,False,False,False,True
WFG9,off,small,lhs,WFG9,22,2,681,4,4,2,458.0,1.0,,,,False,False,False,True
WFG9,off,small,lhs,WFG9,22,2,681,4,4,3,458.0,1.0,,0.0,,False,False,False,True
WFG9,off,small,lhs,WFG9,22,2,681,4,4,4,458.0,1.0,0.0,0.0,0.0,False,True,False,True
ZDT1,off,small,lhs,ZDT1,30,2,929,4,4,1,768.0,1.0,,,,False,False,False,True
ZDT1,off,small,lhs,ZDT1,30,2,929,4,4,2,1232.0,1.0,,,,False,False,False,True
ZDT1,off,small,lhs,ZDT1,30,2,929,4,4,3,1558.0,1.0,,790.0,,False,False,False,True
ZDT1,off,small,lhs,ZDT1,30,2,929,4,4,4,1558.0,1.0,790.0,326.0,395.0,False,True,False,True
ZDT3,off,small,lhs,ZDT3,30,2,929,4,4,1,1014.0,1.0,,,,False,False,False,True
ZDT3,off,small,lhs,ZDT3,30,2,929,4,4,2,1478.0,1.0,,,,False,False,False,True
ZDT3,off,small,lhs,ZDT3,30,2,929,4,4,3,1858.0,1.0,,844.0,,False,False,False,True
ZDT3,off,small,lhs,ZDT3,30,2,929,4,4,4,1858.0,1.0,844.0,380.0,422.0,False,True,False,True
ZDT4,off,small,lhs,ZDT4,10,2,309,4,4,1,258.0,1.0,,,,False,False,False,True
ZDT4,off,small,lhs,ZDT4,10,2,309,4,4,2,412.0,1.0,,,,False,False,False,True
ZDT4,off,small,lhs,ZDT4,10,2,309,4,4,3,412.0,1.0,,154.0,,False,False,False,True
ZDT4,off,small,lhs,ZDT4,10,2,309,4,4,4,412.0,1.0,154.0,0.0,77.0,False,True,False,True
ZDT6,off,small,lhs,ZDT6,10,2,309,4,4,1,269.0,1.0,,,,False,False,False,True
ZDT6,off,small,lhs,ZDT6,10,2,309,4,4,2,269.0,1.0,,,,False,False,False,True
ZDT6,off,small,lhs,ZDT6,10,2,309,4,4,3,269.0,1.0,,0.0,,False,False,False,True
ZDT6,off,small,lhs,ZDT6,10,2,309,4,4,4,269.0,1.0,0.0,0.0,0.0,False,True,False,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,1,487.0,1.0,,,,False,False,False,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,2,1082.0,1.0,,,,False,False,False,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,3,1637.0,1.0,,1150.0,,False,False,False,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,4,2072.0,1.0,1585.0,990.0,528.3333333333333,False,False,False,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,5,2607.0,1.0,1525.0,970.0,508.3333333333333,False,False,False,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,6,3176.0,272.0,1539.0,1104.0,513.0000000000001,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,7,3550.0,265.0,1478.0,943.0,492.66666666666663,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,8,4054.0,254.0,1447.0,878.0,482.33333333333326,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,9,4497.0,234.0,1321.0,947.0,440.33333333333326,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,10,5062.0,221.0,1512.0,1008.0,504.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,11,5566.0,229.0,1512.0,1069.0,504.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,12,6063.0,223.0,1566.0,1001.0,522.0,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,13,6580.0,215.0,1518.0,1014.0,506.0000000000002,False,False,True,False
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,417,14,6973.0,216.0,1407.0,910.0,469.0000000000002,False,False,True,False
