problema,igd,hv,rank_SA,n_SA,rank_all,n_all,rank_hv_SA
BBOB_F1,0.0014561014382336,1.0403226994233663,1,13,1,17,1
BBOB_F17,0.0216919194598772,1.1116354081117172,4,13,6,17,6
BBOB_F22,0.0510757488279859,0.9953184625788916,2,13,2,17,2
BBOB_F37,0.2344353383257915,0.6074849026788872,9,13,9,17,5
BBOB_F49,0.1161096131479717,0.9162174720009444,3,13,3,17,3
BBOB_F5,0.0048277052418038,0.8932188048405649,1,13,1,17,1
BBOB_F55,0.2674844512531847,0.7986840833451776,6,12,6,16,6
DTLZ1,77.77173997171971,0.0,4,13,8,17,1
DTLZ2,0.0306550164345873,0.7302774577505178,1,12,1,16,1
DTLZ3,225.70073441422787,0.0,3,12,5,16,1
DTLZ4,0.5919531214643767,0.1195027551650981,7,11,11,15,4
MMF1,0.038685793504745,0.7906903921323448,2,13,2,17,1
MMF11_L,0.0165311383365109,1.0086556412532128,4,13,4,17,4
MMF4,0.021017978540486,0.4940012214225787,1,13,1,17,4
WFG2,0.0565254541946007,0.6749189369974209,1,12,1,16,1
WFG4,0.0723318949908459,0.2800120180377756,3,12,6,16,4
WFG5,0.0525619975816182,0.3403252409827246,4,12,4,16,5
WFG9,0.0919140678837228,0.244705402327952,4,12,4,16,4
ZDT1,0.000702785674901,0.8751996083017863,1,12,1,16,1
ZDT4,5.928104893929911,0.0,1,13,1,17,1
ZDT6,0.0024453730300986,0.6068385999452462,1,12,1,16,1
