problema,n_ckpt,igd_ini,igd_fim,viol_igd,viol_igd_rel_max,hv_ini,hv_fim,viol_hv,nd_fim
BBOB_F1,20,1.6651151931674129,0.0014561014382336273,0,0.0,0.0,1.0403226994233665,0,172
BBOB_F17,20,2.4167899424756034,0.02169191945987729,0,0.0,0.0,1.1116354081117172,0,5
BBOB_F22,20,6.550407018400444,0.051075748827985934,0,0.0,0.0,0.9953184625788916,0,15
BBOB_F37,20,1.182738987190214,0.23443533832579158,0,0.0,0.0,0.6074849026788872,0,10
BBOB_F49,20,1.3383037553621309,0.11610961314797176,0,0.0,0.0,0.9162174720009445,0,11
BBOB_F5,20,0.9165469299595926,0.004827705241803884,0,0.0,0.0,0.8932188048405649,0,160
BBOB_F55,20,1.388541999942182,0.26748445125318476,0,0.0,0.0,0.7986840833451776,0,52
DTLZ1,20,541.7753550899159,77.77173997171971,0,0.0,0.0,0.0,0,16
DTLZ2,20,1.6297304711986438,0.030655016434587328,0,-0.0010884999831589795,0.0,0.7302774577505178,0,108
DTLZ3,20,914.1600619307801,225.70073441422787,0,0.0,0.0,0.0,0,27
DTLZ4,20,1.2302654075242083,0.5919531214643767,0,0.0,0.0,0.11950275516509816,0,44
MMF1,20,2.8112970162129414,0.038685793504745075,0,0.0,0.0,0.7906903921323448,0,16
MMF11_L,20,0.5728206234612008,0.016531138336510983,0,0.0,0.35491092941886826,1.0086556412532128,0,16
MMF4,20,0.3675238638476179,0.021017978540486013,0,0.0,0.10826590377018551,0.4940012214225787,0,24
WFG2,20,0.6595702461706784,0.05652545419460074,0,-0.0017196850576662631,0.0,0.6749189369974209,0,13
WFG4,20,0.32820668172874007,0.0723318949908459,0,0.0,0.036567718036918266,0.2800120180377756,0,39
WFG5,20,0.5435150445367514,0.05256199758161823,0,0.0,0.029651148441600016,0.34032524098272465,0,436
WFG9,20,0.6928485995065304,0.09191406788372283,0,0.0,0.0036088482727711945,0.24470540232795207,0,17
ZDT1,20,3.825360846748847,0.0007027856749010581,0,0.0,0.0,0.8751996083017863,0,338
ZDT4,20,160.0026906116995,5.928104893929911,0,0.0,0.0,0.0,0,14
ZDT6,20,8.952705826241381,0.0024453730300986183,0,0.0,0.0,0.6068385999452462,0,70
