problema,exp_busca,exp_fit,bus_ini,bus_fim,razao_bus,fit_share
BBOB_F1,3.444439845027127,1.2080115578335608,0.6810219,37.135643,54.52929,1.2508478
BBOB_F17,0.25905576267373204,1.5946906128917402,1.2466247,2.207327,1.7706426,15.495925
BBOB_F22,2.0332348552225517,1.2116212401378765,0.7301996,10.119545,13.858602,4.7224507
BBOB_F37,0.8660289867471817,1.520377519262028,0.8203528,3.3209896,4.0482454,12.481409
BBOB_F49,0.7682061091333496,1.3579909277103042,1.3721242,2.758313,2.01025,14.470894
BBOB_F5,3.6368744154679864,1.1962405204554398,0.7918353,82.410904,104.07581,1.3297126
BBOB_F55,2.254748304036182,0.9614147084571771,0.828923,12.29437,14.831739,6.6658745
DTLZ1,0.6687276245087675,0.8325912736682283,0.857893,2.8437943,3.3148592,13.355184
DTLZ2,2.6823950639565104,1.5199649957275756,2.564441,115.77877,45.147762,1.2673451
DTLZ3,1.6419351172904546,2.0257921475994247,1.2377062,12.638596,10.211306,15.359101
DTLZ4,2.5431834532238407,1.6955306297331338,2.3231556,58.57329,25.212814,3.4493647
MMF1,0.8687282883624841,-0.0648144277117799,0.97498655,1.5806217,1.6211728,11.029002
MMF11_L,0.4252674128322134,0.17619051405458147,1.0397611,1.7930181,1.724452,9.6993
MMF4,0.7680205226365506,0.036375509619778805,1.060529,2.1674278,2.0437233,7.9905543
WFG2,1.406551915206558,2.414750539575035,1.9602816,12.842692,6.5514526,21.465477
WFG4,1.3886505739185409,2.528410030175347,8.950264,31.234966,3.4898374,10.327346
WFG5,3.2917424946315164,2.7408524692415432,4.6940994,59.089573,12.588053,11.132703
WFG9,2.049836928165145,2.993947874423684,2.0650382,17.228691,8.343038,25.222775
ZDT1,3.9625381953005965,2.548432170670112,1.7625213,122.836845,69.693825,10.499814
ZDT4,1.206645082193197,1.0470838322815805,0.7029984,4.1240835,5.8664193,15.724287
ZDT6,3.062634242652274,1.6355390226424533,0.75881934,17.788397,23.442204,7.0981784
