cel,g,n_front,q,n_lote
q10_WFG9,6,7,10,10
q10_WFG9,13,9,10,10
q10_WFG9,15,9,10,10
q10_WFG9,171,8,10,10
q10_ZDT4,5,7,10,10
q10_ZDT4,8,8,10,10
q10_ZDT4,19,9,10,10
q10_ZDT4,20,9,10,10
q10_ZDT4,21,9,10,10
q10_ZDT4,23,9,10,10
q10_ZDT4,29,9,10,10
q10_ZDT4,35,9,10,10
q10_ZDT4,43,6,10,10
q10_ZDT4,54,9,10,10
q10_ZDT4,55,7,10,10
q10_ZDT4,56,8,10,10
q10_ZDT4,57,8,10,10
q10_ZDT4,61,8,10,10
q10_ZDT4,65,9,10,10
q10_ZDT4,68,7,10,10
q10_ZDT4,70,9,10,10
q10_ZDT4,81,6,10,10
q10_ZDT4,85,9,10,10
q10_ZDT4,101,9,10,10
q10_ZDT4,112,9,10,10
q10_ZDT4,113,8,10,10
q10_ZDT4,128,6,10,10
q10_ZDT4,133,9,10,10
q10_ZDT4,147,6,10,10
q10_ZDT4,159,9,10,10
q10_ZDT4,164,6,10,10
q10_ZDT4,173,8,10,10
