cel,obj,ratio
BBOB_F5,0,1.026332011264554
BBOB_F1,0,1.0411623783666504
BBOB_F1,1,1.0500386393157402
MMF11_L,1,1.0810888867658979
ZDT6,1,1.264699777973167
BBOB_F55,1,1.4751071406733798
MMF4,1,1.5961223171671552
BBOB_F37,0,1.6806299516437186
BBOB_F5,1,1.8279327508493464
BBOB_F22,1,2.0031237753954145
BBOB_F22,0,2.0998346309295117
MMF11_L,0,2.1383949001250198
ZDT4,1,2.4909076455331927
BBOB_F17,1,2.540567881072841
BBOB_F37,1,2.55022723370682
DTLZ4,0,2.633956691868353
BBOB_F55,0,2.722008727677535
BBOB_F49,1,2.847745747574123
DTLZ2,0,2.961925925607771
DTLZ2,1,3.135890599364052
DTLZ1,1,3.5203031599813577
WFG2,0,3.735168099953073
DTLZ3,0,4.112250264130821
BBOB_F49,0,4.122641140028637
q10_DTLZ2,0,4.5686005138389785
q10_DTLZ2,1,4.5727730496924455
MMF16_20,1,4.866421435126048
q10_ZDT4,1,5.0583072835685305
WFG9,0,5.101005802431086
DTLZ1,0,5.407749066456639
DTLZ1,2,5.440641107949934
q10_WFG9,0,5.578621589613091
DTLZ3,1,6.045030124081781
MMF16_20,0,6.47778310934173
DTLZ7,2,6.607752351766718
WFG9,1,6.703376401006282
MMF16_20,2,6.7545038982686965
MMF1,0,7.296883749487689
q10_WFG9,1,7.878893193953035
DTLZ2,2,8.359936739020192
WFG4,0,8.729011716074034
DTLZ3,2,8.827701238312978
ZDT1,1,9.568434876559339
WFG5,0,10.381743552127157
MMF1,1,12.907057112645756
WFG4,1,13.207051121855297
ZDT4,0,14.405144076489686
q10_ZDT4,0,17.424867577606673
BBOB_F17,0,18.177706694973146
DTLZ7,1,19.1969401154022
DTLZ7,0,19.847092612023374
ZDT3,0,21.94262634945575
WFG5,1,22.03837082445472
ZDT1,0,25.021358420620114
q10_DTLZ2,2,27.055893766230376
MMF4,0,28.966926324906638
q10_ZDT1,0,30.76653465472742
ZDT3,1,38.90042134343101
q10_ZDT1,1,41.708770301325046
WFG2,1,46.18317224765126
WFG1,0,98.49914604330907
q10_MMF16_20,1,99.4832642075922
q10_MMF16_20,0,100.534137086531
q10_MMF16_20,2,126.54042411501106
DTLZ4,2,177.67811620146438
DTLZ4,1,185.3770223964108
WFG1,1,199.13795743502772
ZDT6,0,237.61547836419663
