tag,celula,problema,semente,D,q,n_dec,val_ok,val_n,dmax,conj_ok,ordem_ok,marca_ok,linkX_ok,linkX_n,nofb_n,fb_n,distmin_ok
s42,BBOB_F1,BBOB_F1,42,10,1,200,200,200,1.8996223427603098e-08,200,200,200,200,200,200,0,200
s42,BBOB_F17,BBOB_F17,42,10,1,200,200,200,3.363164002845309e-08,200,200,200,200,200,200,0,200
s42,BBOB_F22,BBOB_F22,42,10,1,200,200,200,3.1346342410643047e-08,200,200,200,200,200,200,0,200
s42,BBOB_F37,BBOB_F37,42,10,1,200,200,200,2.4909726170641022e-08,200,200,200,200,200,200,0,200
s42,BBOB_F49,BBOB_F49,42,10,1,200,200,200,4.043915591278591e-08,200,200,200,200,200,200,0,200
s42,BBOB_F5,BBOB_F5,42,10,1,200,200,200,3.0619592278346985e-08,200,200,200,200,200,200,0,200
s42,BBOB_F55,BBOB_F55,42,10,1,200,200,200,2.3968658918738228e-08,200,200,200,200,200,200,0,200
s42,DTLZ1,DTLZ1,42,7,1,140,140,140,4.353224603015349e-08,140,140,140,140,140,140,0,140
s42,DTLZ2,DTLZ2,42,12,1,240,240,240,5.8205545938605496e-08,240,240,240,240,240,240,0,240
s42,DTLZ3,DTLZ3,42,12,1,240,240,240,5.2856542920309835e-08,240,240,240,240,240,240,0,240
s42,DTLZ4,DTLZ4,42,12,1,240,240,240,5.359801769078132e-08,240,240,240,240,240,240,0,240
s42,DTLZ7,DTLZ7,42,22,1,440,440,440,4.844065393250219e-08,440,440,440,440,440,440,0,440
s42,MMF1,MMF1,42,2,1,40,40,40,7.600156333442687e-08,40,40,40,40,40,40,0,40
s42,MMF11_L,MMF11_L,42,2,1,40,40,40,7.028426157740242e-08,40,40,40,40,40,40,0,40
s42,MMF16_20,MMF16_20,42,20,1,400,400,400,4.9777469701695054e-08,400,400,400,400,400,400,0,400
s42,MMF4,MMF4,42,2,1,40,40,40,3.509092252884649e-08,40,40,40,40,40,40,0,40
s42,WFG1,WFG1,42,22,1,440,440,440,6.198638824450597e-08,440,440,440,440,440,440,0,440
s42,WFG2,WFG2,42,22,1,440,440,440,5.754810206148875e-08,440,440,440,440,440,440,0,440
s42,WFG4,WFG4,42,22,1,440,440,440,5.875543607203326e-08,440,440,440,440,440,440,0,440
s42,WFG5,WFG5,42,22,1,440,440,440,7.08757772471813e-08,440,440,440,440,440,440,0,440
s42,WFG9,WFG9,42,22,1,440,440,440,6.718380340942076e-08,440,440,440,440,440,440,0,440
s42,ZDT1,ZDT1,42,30,1,600,600,600,5.7186549717869184e-08,600,600,600,600,600,600,0,600
s42,ZDT3,ZDT3,42,30,1,600,600,600,5.474390318838118e-08,600,600,600,600,600,600,0,600
s42,ZDT4,ZDT4,42,10,1,200,200,200,3.1208285511397094e-08,200,200,200,200,200,200,0,200
s42,ZDT6,ZDT6,42,10,1,200,200,200,6.397892493570367e-08,200,200,200,200,200,200,0,200
s42,q10_DTLZ2,DTLZ2,42,12,10,200,200,200,6.234734162280375e-08,200,200,200,2000,2000,200,0,200
s42,q10_MMF16_20,MMF16_20,42,20,10,200,200,200,6.223116066905732e-08,200,200,200,2000,2000,200,0,200
s42,q10_WFG9,WFG9,42,22,10,200,196,196,8.086843150678646e-08,196,196,196,1960,1960,196,4,196
s42,q10_ZDT1,ZDT1,42,30,10,200,200,200,5.8310399397853985e-08,200,200,200,2000,2000,200,0,200
s42,q10_ZDT4,ZDT4,42,10,10,200,172,172,4.282621562934352e-08,172,172,172,1720,1720,172,28,172
smoke,smoke_MMF1_s0,MMF1,0,2,1,40,40,40,4.894546710987324e-08,40,40,40,40,40,40,0,40
