pb,n_insample,erro_zero,erro_max,diag
BBOB_F1,1057,1057,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F17,187,187,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F22,180,180,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F37,391,391,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F49,170,170,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F5,949,949,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
BBOB_F55,368,368,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
DTLZ1,1,1,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
DTLZ2,20,8,3.456797565207226e-13,"9 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
DTLZ3,6,3,6.202526492415927e-09,"2 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
DTLZ4,2,0,1.5299653904898847e-11,"2 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
DTLZ7,46,41,6.346589920269707e-13,"4 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
MMF1,4,3,5.4836273193359375e-06,"1 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
MMF11_L,0,0,,
MMF16_20,505,436,1.0976904064527448e-12,"47 ger nao-zero, 3 com modelo_hp.n != |①<=ftm|"
MMF4,1,1,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
WFG1,219,219,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
WFG2,3858,3858,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
WFG4,734,734,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
WFG5,153,153,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
WFG9,107,107,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
ZDT1,5,5,0.0,"0 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
ZDT3,3,2,1.27675647831893e-15,"1 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
ZDT4,118,11,1.3464229731141586e-13,"16 ger nao-zero, 0 com modelo_hp.n != |①<=ftm|"
ZDT6,0,0,,
