pb,n_ger,ger_zero,ger_naozero,rcond_med_zero,rcond_med_naozero,rcond_min_naozero,err_max
DTLZ2,16,7,9,7.388691445030252e-09,1.7975173888893242e-08,5.209281445944705e-09,3.456797565207226e-13
DTLZ4,2,0,2,,5.562539528643753e-08,5.418452314831885e-08,1.5299653904898847e-11
DTLZ7,30,26,4,7.749775017331264e-13,7.01981996155595e-10,5.498149631556875e-13,6.346589920269707e-13
MMF1,3,2,1,1.63323095350504e-08,6.552508549581161e-17,6.552508549581161e-17,5.4836273193359375e-06
MMF16_20,112,65,47,2.295706577170926e-06,6.320124974930705e-06,6.386753019165031e-08,1.0976904064527448e-12
ZDT4,23,7,16,8.216612581788369e-11,2.22359429222689e-11,6.059511259615734e-12,1.3464229731141586e-13
ZDT3,3,2,1,3.4935712529472294e-10,4.299795985714575e-05,4.299795985714575e-05,1.27675647831893e-15
DTLZ3,5,3,2,2.724271370513841e-05,1.9230054347202344e-08,1.4997292820095664e-08,6.202526492415927e-09
