alg,pb,igd_vm3,igd_mac,d_igd,hv_vm3,hv_mac,d_hv,nd_vm3,nd_mac
e74,DTLZ2,0.12807624504876927,0.1468562467756994,14.663142036822684,0.5078391379721569,0.456265797785073,10.155448119461692,75,65
c238,MMF1,0.04140946996531583,0.07454865746323043,80.02804074930603,0.7855067032950505,0.709417728867724,9.686610452609472,13,12
e74,ZDT1,0.07885870122992987,0.059560880674700334,24.47139028952874,0.7462493183346686,0.7726295865991082,3.53504755264767,38,36
e74,MMF1,0.04291547970637327,0.04885978407067858,13.851189372636867,0.7738181166547452,0.7511730215637386,2.92641056129605,14,15
c141,MMF1,0.04349789211455172,0.04282487462080535,1.5472416271896032,0.7784523291775182,0.7604458038226642,2.313118566152779,14,15
b1,MMF1,0.06343362509826872,0.05550304704871828,12.502167481780713,0.7549001713379427,0.7707364859978982,2.0978024990891315,13,14
b3,MMF1,0.04504068083806485,0.046639448605926274,3.5496083498592856,0.7757923817719427,0.7707865800202137,0.6452501815363887,17,16
e7,MMF11_L,0.026053871586411242,0.022252059089198417,14.59212111567984,0.9773035009888119,0.9833195603352107,0.6155773861765474,12,17
b4,MMF1,0.06041792338115821,0.06041792338115821,0.0,0.7536004781324496,0.7536004781324496,0.0,11,11
c217,MMF1,0.039867456135691905,0.039867456135691905,0.0,0.7864878853504507,0.7864878853504507,0.0,14,14
moead,DTLZ2,0.3518633395536835,0.3518633395536835,0.0,0.15263581593422446,0.15263581593422446,0.0,67,67
nsga2,DTLZ2,0.2314965985503017,0.2314965985503017,0.0,0.2712247455871695,0.2712247455871695,0.0,42,42
nsga3,DTLZ2,0.24369417858072057,0.24369417858072057,0.0,0.23297413954392582,0.23297413954392582,0.0,38,38
smsemoa,DTLZ2,0.17008204919332934,0.17008204919332934,0.0,0.3774027369489095,0.3774027369489095,0.0,45,45
e103,MMF1,0.05628669750862405,0.05628669750862405,0.0,0.7380341971244623,0.7380341971244623,0.0,12,12
