fonte,bloco,obj,WAPE,spearman,MAE,MAE_ref,razao,mu_min,mu_max,f_min,f_max
T11,1,0,0.08820834134278224,0.9793943508485876,0.04410428372811293,0.25,0.17641713491245173,-0.03762350603938103,1.036291241645813,0.0003924872726202011,0.9996059257537127
T11,1,1,1.0596996554294669,0.138210984052746,2.1234458045775417,1.5195969426559475,1.3973743595891874,-8.665013313293457,8.135238647460938,0.004816909898659463,8.343179561218623
T11,2,0,0.08891032116174409,0.974080004020001,0.04445527453732211,0.25,0.17782109814928845,0.001600464340299368,1.0583349466323853,0.0003924872726202011,0.9996059257537127
T11,2,1,1.9048851252871015,0.10252689613172403,3.817044109402647,1.5195969426559475,2.511879303159973,-10.513681411743164,40.65424346923828,0.004816909898659463,8.343179561218623
T11,4,0,0.1691003419648577,0.9314046978511744,0.08455038771851105,0.25,0.3382015508740442,-0.08599872887134552,1.4809589385986328,0.0003924872726202011,0.9996059257537127
T11,4,1,3.4500132289230625,-0.07581342545335636,6.9132004329327685,1.5195969426559475,4.549364531393367,-23.35951042175293,60.547874450683594,0.004816909898659463,8.343179561218623
T11,6,0,0.0640435444955935,0.9894805063701264,0.03202185433247359,0.25,0.12808741732989437,-0.03921586647629738,1.2493870258331299,0.0003924872726202011,0.9996059257537127
T11,6,1,5.925737458891475,-0.01834274108568527,11.874102517294443,1.5195969426559475,7.813981578918498,-74.8687744140625,47.39443588256836,0.004816909898659463,8.343179561218623
T11,8,0,0.7203412319819982,0.7247947181986795,0.36017153925309686,0.25,1.4406861570123874,-1.3635146617889404,3.941459894180298,0.0003924872726202011,0.9996059257537127
T11,8,1,18.30763108455444,-0.048862822715705675,36.685170386788,1.5195969426559475,24.141382071136416,-210.74684143066406,506.47540283203125,0.004816909898659463,8.343179561218623
T11,10,0,0.7951440415760678,0.7941626585406646,0.3975730399249696,0.25,1.5902921596998785,-0.5076777338981628,6.719226837158203,0.0003924872726202011,0.9996059257537127
T11,10,1,23.53383756200836,0.004437439109359778,47.15753976196531,1.5195969426559475,31.032926191298785,-126.69656372070312,656.7372436523438,0.004816909898659463,8.343179561218623
T11,11,0,0.6282028622629546,0.7467871149768239,0.3141022362997319,0.25,1.2564089451989275,-0.8498809337615967,5.427000999450684,0.0003924872726202011,0.9996059257537127
T11,11,1,18.50783614762245,0.01539494484873621,37.08634500173552,1.5195969426559475,24.40538274374,-137.16249084472656,674.8222045898438,0.004816909898659463,8.343179561218623
R42,1,0,0.08820834134278224,0.9793943508485876,0.04410428372811293,0.25,0.17641713491245173,-0.03762350603938103,1.036291241645813,0.0003924872726202011,0.9996059257537127
R42,1,1,1.0596996554294669,0.138210984052746,2.1234458045775417,1.5195969426559475,1.3973743595891874,-8.665013313293457,8.135238647460938,0.004816909898659463,8.343179561218623
R42,2,0,0.09124155159418812,0.9746197611549401,0.045620892741484564,0.25,0.18248357096593826,0.0021726852282881737,1.0682111978530884,0.0003924872726202011,0.9996059257537127
R42,2,1,1.692200336975975,0.12493983123495779,3.39086238977786,1.5195969426559475,2.2314222242717334,-10.287985801696777,31.956743240356445,0.004816909898659463,8.343179561218623
R42,4,0,0.08273448331394291,0.9767896976974243,0.041367347697843795,0.25,0.16546939079137518,0.00203926139511168,1.0210890769958496,0.0003924872726202011,0.9996059257537127
R42,4,1,1.4302560889810543,0.1184339396084849,2.8659736521169883,1.5195969426559475,1.8860090933769893,-3.9752111434936523,23.276559829711914,0.004816909898659463,8.343179561218623
R42,6,0,0.15267484797122738,0.938046224011556,0.07633761966912334,0.25,0.30535047867649334,-0.08673392981290817,1.3437130451202393,0.0003924872726202011,0.9996059257537127
R42,6,1,2.7002092278060426,0.04496475974118993,5.4107292824801165,1.5195969426559475,3.560634488394836,-17.35401153564453,47.90907669067383,0.004816909898659463,8.343179561218623
R42,8,0,0.24714381181864417,0.8612685953171488,0.12357222267379984,0.25,0.4942888906951994,-0.12075542658567429,2.3149197101593018,0.0003924872726202011,0.9996059257537127
R42,8,1,8.745041034661595,0.07049749012437254,17.523475260907638,1.5195969426559475,11.531659987601815,-79.73442077636719,384.35955810546875,0.004816909898659463,8.343179561218623
R42,10,0,0.19343171036848386,0.8653815873453968,0.09671610310586402,0.25,0.3868644124234561,-0.03399352729320526,1.5836513042449951,0.0003924872726202011,0.9996059257537127
R42,10,1,7.231917063571911,0.09890090772522694,14.49144941117388,1.5195969426559475,9.536377051302672,-107.49617767333984,284.33892822265625,0.004816909898659463,8.343179561218623
R42,12,0,0.5280467891942778,0.5459340749835188,0.2640240713952517,0.25,1.0560962855810068,-1.267604112625122,2.7721493244171143,0.0003924872726202011,0.9996059257537127
R42,12,1,10.24043297233802,0.03006315151578788,20.519969333533517,1.5195969426559475,13.503560554464377,-120.9065170288086,247.63580322265625,0.004816909898659463,8.343179561218623
R42,13,0,0.4241039881348792,0.6078492784623196,0.2120525376419573,0.25,0.8482101505678292,-1.1708862781524658,2.1093428134918213,0.0003924872726202011,0.9996059257537127
R42,13,1,7.736009563601061,0.04212362709409221,15.501559302992325,1.5195969426559475,10.201099296698203,-57.16443634033203,235.24571228027344,0.004816909898659463,8.343179561218623
