label,header_ts,footer_ts,run_id,exp_hdr,problema_hdr,modo_rapido,D,maxfe,n_init,versao,tempo_total_s,n_retries,status
q10_ZDT4,2026-07-24T12:22:28.863+00:00,2026-07-24T12:22:29.316+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.4539,0,ok
q10_ZDT4,2026-07-24T12:22:29.318+00:00,2026-07-24T12:22:29.319+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T13:04:57.089+00:00,2026-07-24T13:04:57.330+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.2417,0,ok
q10_ZDT4,2026-07-24T13:04:57.333+00:00,2026-07-24T13:04:57.333+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T15:45:56.057+00:00,2026-07-24T15:45:56.201+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1443,0,ok
q10_ZDT4,2026-07-24T15:45:56.205+00:00,2026-07-24T15:45:56.205+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T15:55:27.739+00:00,2026-07-24T15:55:27.904+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1654,0,ok
q10_ZDT4,2026-07-24T15:55:27.906+00:00,2026-07-24T15:55:27.906+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T15:58:13.718+00:00,2026-07-24T15:58:13.861+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1424,0,ok
q10_ZDT4,2026-07-24T15:58:13.863+00:00,2026-07-24T15:58:13.863+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T15:58:37.085+00:00,2026-07-24T15:58:37.224+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.139,0,ok
q10_ZDT4,2026-07-24T15:58:37.226+00:00,2026-07-24T15:58:37.226+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T15:58:59.052+00:00,2026-07-24T15:58:59.814+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.7615,0,ok
q10_ZDT4,2026-07-24T15:58:59.815+00:00,2026-07-24T15:58:59.815+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T15:59:16.392+00:00,2026-07-24T15:59:17.143+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.7505,0,ok
q10_ZDT4,2026-07-24T15:59:17.144+00:00,2026-07-24T15:59:17.144+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T16:48:22.186+00:00,2026-07-24T16:48:22.327+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1418,0,ok
q10_ZDT4,2026-07-24T16:48:22.329+00:00,2026-07-24T16:48:22.329+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T16:55:20.598+00:00,2026-07-24T16:55:20.746+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1485,0,ok
q10_ZDT4,2026-07-24T16:55:20.748+00:00,2026-07-24T16:55:20.748+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T16:57:42.702+00:00,2026-07-24T16:57:42.853+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1505,0,ok
q10_ZDT4,2026-07-24T16:57:42.856+00:00,2026-07-24T16:57:42.856+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T16:58:06.330+00:00,2026-07-24T16:58:06.518+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1883,0,ok
q10_ZDT4,2026-07-24T16:58:06.520+00:00,2026-07-24T16:58:06.520+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T17:03:56.520+00:00,2026-07-24T17:03:57.324+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.8034,0,ok
q10_ZDT4,2026-07-24T17:03:57.326+00:00,2026-07-24T17:03:57.326+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T17:21:31.710+00:00,2026-07-24T17:21:31.864+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.154,0,ok
q10_ZDT4,2026-07-24T17:21:31.865+00:00,2026-07-24T17:21:31.865+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T17:29:17.702+00:00,2026-07-24T17:29:17.921+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.2186,0,ok
q10_ZDT4,2026-07-24T17:29:17.922+00:00,2026-07-24T17:29:17.922+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T17:31:54.944+00:00,2026-07-24T17:31:55.130+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1866,0,ok
q10_ZDT4,2026-07-24T17:31:55.132+00:00,2026-07-24T17:31:55.132+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T21:38:12.497+00:00,2026-07-24T21:38:12.665+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1679,0,ok
q10_ZDT4,2026-07-24T21:38:12.667+00:00,2026-07-24T21:38:12.668+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T21:40:40.163+00:00,2026-07-24T21:40:40.328+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1644,0,ok
q10_ZDT4,2026-07-24T21:40:40.329+00:00,2026-07-24T21:40:40.329+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T21:41:27.576+00:00,2026-07-24T21:41:27.752+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1757,0,ok
q10_ZDT4,2026-07-24T21:41:27.754+00:00,2026-07-24T21:41:27.754+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T22:34:58.183+00:00,2026-07-24T22:34:58.387+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.2038,0,ok
q10_ZDT4,2026-07-24T22:34:58.389+00:00,2026-07-24T22:34:58.389+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T22:35:27.166+00:00,2026-07-24T22:35:27.350+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1838,0,ok
q10_ZDT4,2026-07-24T22:35:27.351+00:00,2026-07-24T22:35:27.352+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T22:35:44.173+00:00,2026-07-24T22:35:44.357+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1844,0,ok
q10_ZDT4,2026-07-24T22:35:44.359+00:00,2026-07-24T22:35:44.359+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-24T22:38:36.742+00:00,2026-07-24T22:38:36.926+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1844,0,ok
q10_ZDT4,2026-07-24T22:38:36.928+00:00,2026-07-24T22:38:36.928+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-24T22:51:58.095+00:00,2026-07-24T22:51:58.278+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1835,0,ok
q10_ZDT4,2026-07-24T22:51:58.280+00:00,2026-07-24T22:51:58.280+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T05:55:27.279+00:00,2026-07-25T05:55:27.551+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.2725,0,ok
q10_ZDT4,2026-07-25T05:55:27.554+00:00,2026-07-25T05:55:27.554+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T06:05:42.999+00:00,2026-07-25T06:05:43.158+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.1593,0,ok
q10_ZDT4,2026-07-25T06:05:43.160+00:00,2026-07-25T06:05:43.160+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T06:35:54.519+00:00,2026-07-25T06:35:54.519+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0004,0,ok
q10_ZDT4,2026-07-25T06:35:54.521+00:00,2026-07-25T06:35:54.521+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T06:36:23.926+00:00,2026-07-25T06:36:23.926+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T06:36:23.927+00:00,2026-07-25T06:36:23.927+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:14:52.406+00:00,2026-07-25T11:14:52.406+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T11:14:52.408+00:00,2026-07-25T11:14:52.408+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:20:50.694+00:00,2026-07-25T11:20:50.694+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T11:20:50.696+00:00,2026-07-25T11:20:50.696+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:21:13.435+00:00,2026-07-25T11:21:13.437+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0013,0,ok
q10_ZDT4,2026-07-25T11:21:13.438+00:00,2026-07-25T11:21:13.438+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:22:02.460+00:00,2026-07-25T11:22:02.460+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T11:22:02.462+00:00,2026-07-25T11:22:02.462+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:22:24.168+00:00,2026-07-25T11:22:24.168+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0004,0,ok
q10_ZDT4,2026-07-25T11:22:24.170+00:00,2026-07-25T11:22:24.170+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:37:29.316+00:00,2026-07-25T11:37:29.317+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-25T11:37:29.319+00:00,2026-07-25T11:37:29.319+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:40:52.230+00:00,2026-07-25T11:40:52.230+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0003,0,ok
q10_ZDT4,2026-07-25T11:40:52.232+00:00,2026-07-25T11:40:52.232+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
q10_ZDT4,2026-07-25T11:41:15.554+00:00,2026-07-25T11:41:15.554+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T11:41:15.556+00:00,2026-07-25T11:41:15.556+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T11:41:39.953+00:00,2026-07-25T11:41:39.953+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0005,0,ok
q10_ZDT4,2026-07-25T11:41:39.955+00:00,2026-07-25T11:41:39.955+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0002,0,ok
q10_ZDT4,2026-07-25T12:05:29.444+00:00,2026-07-25T12:05:29.444+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0004,0,ok
q10_ZDT4,2026-07-25T12:05:29.446+00:00,2026-07-25T12:05:29.446+00:00,batch_e81_ZDT4_42,batch,ZDT4,False,,,,,0.0001,0,ok
