label,exp,problema,D,q,mm_q1,mm_q4,mm_razao,mm_min_global,mm_max_global,dist_min_arquivo_min,sigma_sonda_med,sigma_online_med,sigma_escolhido_med,razao_sig_esc_sonda,razao_sig_esc_online,diam01
BBOB_F1,main,BBOB_F1,10,1,0.33236002357851646,0.20951623163041277,0.6303893873112475,0.19194018491133918,0.6743698148741912,1.919401849113392,4.578005790710449,0.2645108699798584,0.4024800658226013,0.08791602374975184,1.5216012326950827,3.1622776601683795
BBOB_F17,main,BBOB_F17,10,1,0.776137883495924,0.6520013744764164,0.8400586910403536,0.5627614717176322,0.9006474503778262,5.627614717176323,39195.74609375,30237.13671875,53521.53515625,1.3654934652407174,1.7700596340876873,3.1622776601683795
BBOB_F22,main,BBOB_F22,10,1,0.5797440582143263,0.4226173813255286,0.7289723375988283,0.3389274281071927,0.7686410233555624,3.3892742810719265,6372.00732421875,3330.709716796875,5439.76708984375,0.8536975576233665,1.6332156063948868,3.1622776601683795
BBOB_F37,main,BBOB_F37,10,1,0.6851512958426879,0.609655654401857,0.8898117220256052,0.5100740616865156,0.8637325470987975,5.1007406168651555,203.38241577148438,128.88555908203125,187.0343780517578,0.9196192175330692,1.4511662856869545,3.1622776601683795
BBOB_F49,main,BBOB_F49,10,1,0.6976191203766736,0.5904019072418636,0.8463098129005997,0.45504065235110797,0.8557087602585478,4.5504065235110795,45.92972183227539,36.16824722290039,52.50788497924805,1.1432223598260527,1.4517674759202046,3.1622776601683795
BBOB_F5,main,BBOB_F5,10,1,0.33437760842048514,0.22583809985277778,0.6753983944067893,0.2011726546831632,0.686603154587006,2.0117265468316328,29.67223358154297,7.288137435913086,11.636884689331055,0.3921809477992769,1.5966884257682965,3.1622776601683795
BBOB_F55,main,BBOB_F55,10,1,0.478965386530226,0.2300283311030734,0.48026086554911634,0.16348281522410826,0.735373810568923,1.6348281522410832,9.627790451049805,5.187536716461182,6.28862190246582,0.6531739483154325,1.2122558829339283,3.1622776601683795
DTLZ1,main,DTLZ1,7,1,0.6946906739922893,0.5866904154863851,0.844534751150117,0.5449649745369269,0.862914047395969,0.5449649745369269,32.26500701904297,32.573486328125,39.58942413330078,1.2270080744112315,1.215387991770411,2.6457513110645907
DTLZ2,main,DTLZ2,12,1,0.9433863299629286,0.8550307367483445,0.9063420886986394,0.7599774081124192,1.055336744441142,0.7599774081124192,0.11208951473236084,0.07405269891023636,0.1310073733329773,1.168774560633857,1.769110042724831,3.4641016151377544
DTLZ3,main,DTLZ3,12,1,1.037143165798709,0.9566817657984703,0.9224201608287368,0.8957318239748318,1.1865558060208266,0.8957318239748318,142.12347412109375,137.86195373535156,166.9477081298828,1.1746666703885806,1.2109773843069573,3.4641016151377544
DTLZ4,main,DTLZ4,12,1,0.9380264946339902,0.8722245455635216,0.9298506497983897,0.7802113351734392,1.0420373172086645,0.7802113351734392,0.0833929032087326,0.07288828492164612,0.09101998805999756,1.0914596393433424,1.2487601835856443,3.4641016151377544
DTLZ7,main,DTLZ7,22,1,1.3031919394756954,1.3655310097966522,1.0478356782547606,1.1634806942294302,1.5780792564510773,1.1634806942294302,0.007182177156209946,0.004902553278952837,0.006796538829803467,0.9463062079897259,1.3863263575291886,4.69041575982343
MMF1,main,MMF1,2,1,0.14886022006432537,0.0868811230706796,0.583642312453499,0.078136808826051,0.23788897537579445,0.156273617652102,0.055651918053627014,0.04257294535636902,0.27871617674827576,5.008204326034202,6.546791029260538,1.4142135623730951
MMF11_L,main,MMF11_L,2,1,0.18262947907184252,0.08346424303806488,0.4570140782432602,0.07170430280717142,0.32433349978465364,0.07170430280717152,0.011674314737319946,0.008356690406799316,0.13045953214168549,11.174919905545982,15.611387498038544,1.4142135623730951
MMF16_20,main,MMF16_20,20,1,1.4424548307750986,1.367010968866698,0.9476975914262348,1.2932775071421843,1.56536439586031,1.2932775071421843,0.20250427722930908,0.19771447777748108,0.23631003499031067,1.166938487539802,1.195208553499391,4.47213595499958
MMF4,main,MMF4,2,1,0.1451372605103597,0.10334744914214965,0.7120669687352467,0.07983692105015248,0.21016054443226478,0.1596738421003049,0.05691668391227722,0.04438168555498123,0.17412900924682617,3.0593667318215925,3.923442903742591,1.4142135623730951
WFG1,main,WFG1,22,1,1.4402237996466671,1.4098806627543454,0.9789316515254325,1.3038488519357834,1.6518440195405515,19.021512667626677,0.023043347522616386,0.021339593455195427,0.023170238360762596,1.0055066147842309,1.0857863065391,4.69041575982343
WFG2,main,WFG2,22,1,1.3401807888057387,1.3148788842139847,0.981120528809922,1.13387756557619,1.5932872430856317,19.34354496509661,0.11928242444992065,0.10046272724866867,0.12585492432117462,1.0551003209530954,1.2527524164226036,4.69041575982343
WFG4,main,WFG4,22,1,1.4430116399988107,1.3916895894153858,0.964434070273011,1.3024078859053168,1.6531288974793297,17.21336665167286,0.20264261960983276,0.18795010447502136,0.21356946229934692,1.0539217402072312,1.1363093566555074,4.69041575982343
WFG5,main,WFG5,22,1,1.5304383675771622,1.540277537541887,1.0064289880423614,1.4191733039046313,1.7629504210100042,19.07020043506688,0.1429663598537445,0.14327648282051086,0.16493302583694458,1.1536491941577873,1.1511521122664903,4.69041575982343
WFG9,main,WFG9,22,1,1.4084455392320976,1.3452301379976628,0.9551169005307081,1.2177610352710326,1.631934770836012,19.284726844116214,0.6358751058578491,0.6042520999908447,0.6813831329345703,1.0715675557314468,1.1276471077963888,4.69041575982343
ZDT1,main,ZDT1,30,1,1.4438651263092643,1.524441440289542,1.0558059838914753,1.2475792312094862,1.7883593729700717,1.2475792312094862,0.03098985366523266,0.024327214807271957,0.033108875155448914,1.0683779121097812,1.360980918602812,5.477225575051661
ZDT3,main,ZDT3,30,1,1.6123572650850484,1.500073755009912,0.9303606511369465,1.3448118792263033,1.912393580241737,1.3448118792263033,0.038054853677749634,0.028558624908328056,0.03713758662343025,0.9758961875905018,1.3003982769702775,5.477225575051661
