label,exp,problema,D,q,n_ger,amp_q1,amp_q4,amp_razao,sg_sel_q1,sg_sel_q4,sg_sel_razao,corr_amp_sg,amp_min,amp_max
MMF16_20,main,MMF16_20,20,1,400,4.216954366747958,4.188697973987297,0.9932993363685718,0.26578812842689375,0.2182113141195742,0.8209972183900389,0.1230222617523093,4.0319432725292375,4.438948659767739
MMF4,main,MMF4,2,1,40,2.2712313122288394,2.0190429805621544,0.8889640476912922,0.28416918449523065,0.18912419938201322,0.6655338076785289,0.4242454835829251,1.851146707791293,2.6320323771456047
WFG1,main,WFG1,22,1,440,0.3411625823872,0.6472194515168967,1.8970997551611324,0.021455301753267153,0.027006179162286655,1.2587182167304745,0.684144606331851,0.2877070929187761,0.7195486725542874
WFG2,main,WFG2,22,1,440,4.364883914494019,3.3458137324432338,0.7665298317174337,0.4283392786069374,0.14359200841058525,0.3352296078883568,0.9277289672138886,3.170238459896011,4.953108658532597
WFG4,main,WFG4,22,1,440,3.8379665193937624,3.7735028121320697,0.9832036817059375,0.2589897136732663,0.1982626512075117,0.7655232649804538,0.22325253184577862,3.6159276957314748,4.265079282262791
WFG5,main,WFG5,22,1,440,3.939630739473172,3.7238523766222613,0.9452287848480526,0.21872082981032187,0.1405481076471694,0.6425913241507676,0.7504168822353523,3.539627019612742,4.185038268494392
WFG9,main,WFG9,22,1,440,6.404322253344066,6.800035974091401,1.0617885398475553,0.730887780771177,0.6758592213812802,0.924709974858473,-0.4566170359127602,5.387439654994282,7.918747439780761
ZDT1,main,ZDT1,30,1,600,3.0756038626471764,3.382830934400536,1.0998916263191738,0.0680957434514976,0.03222400222144504,0.4732161011561193,-0.7709632030636103,2.927718874102656,3.5687214490034656
ZDT3,main,ZDT3,30,1,600,3.343630777519568,3.6097638241554275,1.0795940294679567,0.22646195006780287,0.0975961885085979,0.4309606469403692,-0.6729807764547712,3.12065541826724,4.0217654251887325
ZDT4,main,ZDT4,10,1,200,113.02907058953156,121.4187738332407,1.0742260659134022,12.416280095534788,12.33629513308189,0.9935580574989072,-0.051414913993532915,98.71469591033288,141.82089927325845
ZDT6,main,ZDT6,10,1,200,2.434372988694914,2.4138371365182554,0.9915642129320256,0.05256618711221024,0.02889689177111652,0.5497239453459286,-0.04142126319153206,1.8011294861312244,2.6160887215427957
q10_DTLZ2,batch,DTLZ2,12,10,200,2.620418366717332,2.6072760952355,0.9949846667048454,0.07127141696953415,0.012108086692416024,0.16988699267185575,0.5285362113530477,2.5117456208996853,2.8725717044957855
q10_MMF16_20,batch,MMF16_20,20,10,200,4.1922530431785665,3.0494360222007595,0.7273978910129616,0.22600132400590456,0.005904781117374932,0.026127197012441674,0.9884345668191742,3.0291245056718523,4.423142019083407
q10_WFG9,batch,WFG9,22,10,200,6.637632161812794,6.469753719055964,0.9747080828427556,0.6814268541215565,0.5992519716746607,0.8794076254114914,0.07171004716066576,5.695430808288201,7.179033586770366
q10_ZDT1,batch,ZDT1,30,10,200,3.2219662558167768,3.425754834013069,1.0632497555889613,0.04257238467309359,0.010944873643357004,0.2570885734355946,-0.8428605466145673,2.949617358824171,3.6757418589567323
q10_ZDT4,batch,ZDT4,10,10,200,113.5055979839374,116.27410245971618,1.0243909069239965,12.311098624932843,11.755470375785894,0.9548676957211867,0.0553001688108842,97.90803065879301,137.0653943716885
