label,exp,problema,D,q,n_ger,amp_q1,amp_q4,amp_razao,sg_sel_q1,sg_sel_q4,sg_sel_razao,corr_amp_sg,amp_min,amp_max
BBOB_F1,main,BBOB_F1,10,1,200,248.53837788403268,255.20890213055168,1.0268390109540002,2.5269050593909945,0.1791961153388104,0.07091525448209685,-0.1634231985617271,235.23502185662653,272.49077183376306
BBOB_F17,main,BBOB_F17,10,1,200,40000771.040264525,38320901.697686866,0.9580040759492683,610238.9094512097,170418.18323117698,0.27926469550169253,0.7571773311516945,37900150.59710844,42228992.4082847
BBOB_F22,main,BBOB_F22,10,1,200,1269234.8748368253,1200932.074064428,0.9461858461924327,40416.2146250029,10220.299333696305,0.2528762138791114,0.4718903007559865,1128526.389370675,1403266.262768322
BBOB_F37,main,BBOB_F37,10,1,200,5139.986065137266,4947.755317466386,0.9626009204626615,366.97674321590756,179.13667713537507,0.48814177041726475,0.3644380470921069,4567.68468105104,5752.373803181046
BBOB_F49,main,BBOB_F49,10,1,200,3174.4329360896695,2839.817406699057,0.8945904556412526,255.15649315339198,98.74310077779535,0.38699035073520205,0.5920517688866543,2590.389262973903,3634.620712444967
BBOB_F5,main,BBOB_F5,10,1,200,1551.2006224153502,1568.894512705825,1.0114065776114272,32.98136348350392,8.64092990033469,0.26199432005461415,-0.031804647945502855,1430.1016482462994,1744.0843180682302
BBOB_F55,main,BBOB_F55,10,1,200,64.31695677553947,113.49219609240983,1.7645765872985506,5.8523366752546,5.117675679793599,0.8744670656820953,-0.05084457015432856,39.53217123068303,122.84154251056725
DTLZ1,main,DTLZ1,7,1,140,492.66482795785447,518.7064066843946,1.0528586114711802,48.08327358986927,39.94588990677402,0.8307647737859153,-0.2512554508479913,462.3973202340128,559.4544627609941
DTLZ2,main,DTLZ2,12,1,240,2.901815150058834,2.6932355828240198,0.9281210013564837,0.1836270505858984,0.1031244863030098,0.5615974660267686,0.7391932205506929,2.582214384105015,3.080785803649136
DTLZ3,main,DTLZ3,12,1,240,2218.2058102323545,2192.617505390669,0.9884644135708016,188.86539601357302,152.48745772271897,0.8073869588675752,0.21340856766674723,2074.961046554086,2406.032128664161
DTLZ4,main,DTLZ4,12,1,240,2.041299899272949,2.114541392941441,1.03587983014871,0.15669552178301913,0.09071674711910091,0.5789364372819732,-0.06224283074043747,1.870768786624432,2.246326058625057
DTLZ7,main,DTLZ7,22,1,440,6.382505136205413,6.782319248174049,1.0626421919663878,0.2291026238070764,0.13234949252843917,0.5776864984308888,-0.5630051718898593,5.744080875794097,7.379374921862257
MMF1,main,MMF1,2,1,40,6.153597612384859,6.264864893666377,1.018081663490245,0.6882528369969668,0.8780639563578159,1.2757869044013626,0.3928321877078905,5.194267121355979,8.029331919987088
MMF11_L,main,MMF11_L,2,1,40,10.472730617463705,10.503312800165688,1.0029201727628692,0.5953370237799123,0.2663703539111329,0.4474278320872687,-0.11962851694476594,8.054601356806925,12.082494348515606
