label,problema,D,n,sep_top_med,sep_greedy_med,razao_sep,sep_top_pior,sep_greedy_pior,greedy_mais_disperso,soma_dmin_top_med,soma_dmin_greedy_med,top_maximiza_soma
q10_DTLZ2,DTLZ2,12,200,0.601136409753207,0.8432757100170764,1.4028025857945923,0.0013293027877807617,0.6270388575566657,116,7.062755283597939,7.027314309428544,200
q10_MMF16_20,MMF16_20,20,200,1.2380095321786941,1.4547148453635925,1.175043331696754,0.001835465431213379,1.2544282635492014,107,12.911519439232222,12.897147673310986,200
q10_WFG9,WFG9,22,195,1.3659497170921024,1.3883135188175162,1.0163723462478713,0.04773262983017884,1.0099994117200286,27,11.765593810404908,11.764074394996923,195
q10_ZDT1,ZDT1,30,200,1.2134985953623287,1.3080663214254518,1.0779298191399116,0.0023884475231170654,0.9477118344396831,62,12.367338952180788,12.33542284893652,200
q10_ZDT4,ZDT4,10,160,0.4184091907676797,0.4964757379459167,1.186579427270715,0.017120647430419966,0.20589026655261228,52,4.138963155227149,4.104072620247557,160
