label,exp,problema,obj,n_blocos,wape_ini,wape_fim,dwape,wape_min,cob_ini,cob_fim,cob_min,corr_fim,corr_min,sigma_ini,sigma_fim
BBOB_F1,main,BBOB_F1,0,101,0.04896424278369032,0.01388271753307258,-0.7164723327918628,0.01388271753307258,0.993,0.9955,0.989,0.9987951772364173,0.9845666776117018,10.775564193725586,2.8024420738220215
BBOB_F1,main,BBOB_F1,1,101,0.04367715363962045,0.013707310582589487,-0.6861674939789276,0.013707310582589487,0.996,0.998,0.995,0.9988665386161719,0.9859046451193073,10.820352554321289,2.795978307723999
BBOB_F17,main,BBOB_F17,0,101,0.030768864392659905,0.008649622229330614,-0.7188839302306512,0.008649622229330614,0.994,0.974,0.974,0.9999243283167425,0.9990333851788407,1595722.3125,323964.484375
BBOB_F17,main,BBOB_F17,1,101,0.3853937916667026,0.31746112738207505,-0.1762681853042856,0.31746112738207505,0.9325,0.837,0.836,0.8826463623374826,0.8434260755670373,86.53506088256836,40.28303909301758
BBOB_F22,main,BBOB_F22,0,101,0.10620666355372019,0.08283588188549791,-0.22005005040386327,0.08278511650536298,0.9845,0.8435,0.8435,0.98354198631559,0.974597760381688,126215.23046875,57610.376953125
BBOB_F22,main,BBOB_F22,1,101,0.03949337854954252,0.01476166872615198,-0.6262242110374481,0.01476166872615198,0.9965,0.9945,0.994,0.9951401621092826,0.9686057614992516,167.8096466064453,87.69708633422852
BBOB_F37,main,BBOB_F37,0,101,0.04246445532382937,0.013384755291268166,-0.6848009661445681,0.013356183682287217,0.993,0.993,0.9895,0.9966118352623238,0.9707282779517026,173.92835998535156,68.90848159790039
BBOB_F37,main,BBOB_F37,1,101,0.36898355038283137,0.3061312817552102,-0.17033894481857004,0.3061312817552102,0.9525,0.8565,0.8545,0.8533198647396057,0.7946726532137744,700.661865234375,288.67218017578125
BBOB_F49,main,BBOB_F49,0,101,0.2660196451271777,0.2210036151678015,-0.16922069773401538,0.2210036151678015,0.9415,0.841,0.841,0.8421473495023968,0.7923704382107609,562.5137939453125,225.74364471435547
BBOB_F49,main,BBOB_F49,1,101,0.05358451246667682,0.048805499883267024,-0.0891864526411764,0.04864419039498651,0.981,0.9685,0.9685,0.34330134502350124,0.14608634283732508,7.357264280319214,6.283350229263306
BBOB_F5,main,BBOB_F5,0,101,0.0470222985674642,0.012736003501761677,-0.7291497036562562,0.012736003501761677,0.99,0.997,0.987,0.9990431938183891,0.9846944729804562,10.911083698272705,2.7375519275665283
BBOB_F5,main,BBOB_F5,1,101,0.04341531368363914,0.02734265999117452,-0.37020701519246485,0.025705256862615624,0.9965,0.9995,0.995,0.9881300510013485,0.9657149427327277,172.99172973632812,151.31095123291016
BBOB_F55,main,BBOB_F55,0,101,0.0535270340136572,0.053131730140661006,-0.007385125671176469,0.053131730140661006,0.95,0.99,0.9485,0.4080304012966044,0.26480515985526426,5.487009525299072,12.03916883468628
BBOB_F55,main,BBOB_F55,1,101,0.048745628917402306,0.05002465523781801,0.026238789996595735,0.04826926230626617,0.926,0.9885,0.926,0.3323780515459848,0.13867005684996153,4.387887001037598,9.554007530212402
DTLZ1,main,DTLZ1,0,71,0.34650931962617654,0.30963528604429585,-0.10641570512926282,0.3014624741500829,0.921,0.8935,0.867,0.8802541593054868,0.8357413973548997,32.608198165893555,26.862377166748047
DTLZ1,main,DTLZ1,1,71,0.3379896755990646,0.3098412186600476,-0.08328200229526454,0.30100194644675365,0.9145,0.8975,0.8915,0.8836597032151593,0.8501490786175397,30.539671897888184,27.346299171447754
DTLZ1,main,DTLZ1,2,71,0.28739893255604054,0.2851020139561698,-0.0079920916178868,0.2789607829010596,0.9435,0.868,0.868,0.8108343526439769,0.7999592123592738,55.8814754486084,41.515052795410156
DTLZ2,main,DTLZ2,0,121,0.135807834497618,0.05631323635997844,-0.5853461873661925,0.05631323635997844,0.9695,0.988,0.967,0.9944803893553482,0.9700633831392342,0.17074430733919144,0.08958601951599121
DTLZ2,main,DTLZ2,1,121,0.1293241352320277,0.06065788911630316,-0.5309623450605455,0.06063180508757709,0.934,0.983,0.9275,0.9936923782283955,0.9679137493157375,0.13747584074735641,0.0876583494246006
DTLZ2,main,DTLZ2,2,121,0.08938078340203576,0.020913247324843745,-0.7660207649917798,0.020913247324843745,0.9695,0.999,0.961,0.9984215886098348,0.9722395990706161,0.16023942828178406,0.05898624658584595
DTLZ3,main,DTLZ3,0,121,0.2245945418798529,0.20960705649982384,-0.06673129834137569,0.207374670069646,0.931,0.888,0.888,0.9248990112659531,0.9175695540959804,142.6521224975586,111.78919982910156
DTLZ3,main,DTLZ3,1,121,0.23980930997879676,0.20370029956998364,-0.15057384724557096,0.20222280323361394,0.947,0.9335,0.922,0.9197322388068175,0.9039487131744897,157.75751495361328,136.4860382080078
