label,exp,problema,D,M,q,n_ger_avaliadas,frac_nd_mu_med,frac_nd_mu_min,frac_nd_mu_max,gers_front_todo_nd,escolhidos_dominados_em_mu,escolhidos_total,frac_escolhido_dominado
BBOB_F1,main,BBOB_F1,10,2,1,200,0.8571428571428571,0.4482758620689655,1.0,3,83,200,0.415
BBOB_F17,main,BBOB_F17,10,2,1,200,0.28174603174603174,0.1,0.8333333333333334,0,181,200,0.905
BBOB_F22,main,BBOB_F22,10,2,1,200,0.43875,0.21428571428571427,0.7058823529411765,0,184,200,0.92
BBOB_F37,main,BBOB_F37,10,2,1,200,0.3333333333333333,0.11764705882352941,0.6875,0,191,200,0.955
BBOB_F49,main,BBOB_F49,10,2,1,200,0.35714285714285715,0.058823529411764705,0.75,0,182,200,0.91
BBOB_F5,main,BBOB_F5,10,2,1,200,0.7571662571662572,0.32142857142857145,1.0,1,125,200,0.625
BBOB_F55,main,BBOB_F55,10,2,1,200,0.5454545454545454,0.2,1.0,13,150,200,0.75
DTLZ1,main,DTLZ1,7,3,1,140,0.4229793173455145,0.2676056338028169,0.5921052631578947,0,114,140,0.8142857142857143
DTLZ2,main,DTLZ2,12,3,1,240,0.4598872239164208,0.3226837060702875,0.5492537313432836,0,236,240,0.9833333333333333
DTLZ3,main,DTLZ3,12,3,1,240,0.3377155172413793,0.20786516853932585,0.47368421052631576,0,230,240,0.9583333333333334
DTLZ4,main,DTLZ4,12,3,1,240,0.11396103896103896,0.022727272727272728,0.2682926829268293,0,235,240,0.9791666666666666
DTLZ7,main,DTLZ7,22,3,1,440,0.4970882004401557,0.25225225225225223,0.7252747252747253,0,425,440,0.9659090909090909
MMF1,main,MMF1,2,2,1,40,0.41885964912280704,0.15789473684210525,0.875,0,28,40,0.7
MMF11_L,main,MMF11_L,2,2,1,40,0.7677322677322678,0.53125,0.8543689320388349,0,29,40,0.725
MMF16_20,main,MMF16_20,20,3,1,400,0.3972166709644146,0.2746478873239437,0.5202020202020202,0,338,400,0.845
MMF4,main,MMF4,2,2,1,40,0.46499999999999997,0.2,0.8333333333333334,0,29,40,0.725
WFG1,main,WFG1,22,2,1,440,0.625,0.4222222222222222,0.8571428571428571,0,233,440,0.5295454545454545
WFG2,main,WFG2,22,2,1,440,0.5454545454545454,0.24,1.0,2,278,440,0.6318181818181818
WFG4,main,WFG4,22,2,1,440,0.6111111111111112,0.425,0.9,0,193,440,0.43863636363636366
WFG5,main,WFG5,22,2,1,440,0.55,0.3269230769230769,0.7916666666666666,0,124,440,0.2818181818181818
WFG9,main,WFG9,22,2,1,440,0.7,0.4,1.0,7,155,440,0.3522727272727273
ZDT1,main,ZDT1,30,2,1,600,0.5517241379310345,0.3333333333333333,0.8181818181818182,0,543,600,0.905
ZDT3,main,ZDT3,30,2,1,600,0.44,0.21428571428571427,0.7647058823529411,0,543,600,0.905
ZDT4,main,ZDT4,10,2,1,200,0.35714285714285715,0.08333333333333333,0.75,0,187,200,0.935
ZDT6,main,ZDT6,10,2,1,200,0.5384615384615384,0.2727272727272727,0.875,0,176,200,0.88
q10_DTLZ2,batch,DTLZ2,12,3,10,200,0.5920256700724789,0.37083333333333335,0.6976744186046512,0,1853,2000,0.9265
q10_MMF16_20,batch,MMF16_20,20,3,10,200,0.5304300131636683,0.2907488986784141,0.932,0,1048,2000,0.524
q10_WFG9,batch,WFG9,22,2,10,196,0.5833333333333334,0.2962962962962963,1.0,1,885,1960,0.45153061224489793
q10_ZDT1,batch,ZDT1,30,2,10,200,0.626453488372093,0.37142857142857144,0.875,0,1377,2000,0.6885
q10_ZDT4,batch,ZDT4,10,2,10,172,0.3514705882352941,0.06666666666666667,0.6666666666666666,0,1244,1720,0.7232558139534884
