alg,label,M,pop,n_ger,onset_obs,congeladas,turn_1,turn_mean,amp_g1,amp_last,n_ger_amp_zero,onset_pred,casa,mu_unicos,sg_unicos,X_ident_ultima,parcial_bnd,parcial_J,slots_pred,slots_mortos,n_slots_mortos
b5m,swap_small-mvns_WFG9,2,50,801,801,1,1.0,0.28615,5.705244421958923,6.952436588704586,0,,False,15434,15431,False,,None,[],None,
b5m,swap_small-mvns_ZDT1,2,50,801,780,22,0.98,0.0428,3.7580845803022385,1.5563930571079254,0,,False,948,968,False,,None,[],None,
b5m,swap_small-mvns_ZDT4,2,50,801,801,1,1.0,0.996575,164.93816611822695,1.0226094075478613,0,,False,32685,13268,False,,None,[],None,
moead_media,BBOB_F1,2,50,801,801,1,1.0,0.13175,272.66800689697266,94.1669454574585,0,,False,9635,1,False,,None,[],None,
moead_media,BBOB_F17,2,50,801,60,742,0.98,0.062175,62901268.12501051,0.0,742,61.0,False,563,1,True,,None,[],None,
moead_media,BBOB_F22,2,50,801,801,1,0.98,0.186375,1651922.894897461,36508.19787597656,0,,False,9603,1,False,,None,[],None,
moead_media,BBOB_F37,2,50,801,801,1,0.98,0.2896,6159.933059692383,2036.0221557617188,0,,False,20565,1,False,,None,[],None,
moead_media,BBOB_F49,2,50,801,801,1,0.96,0.24545,7642.161512374878,1327.9963836669922,0,,False,15978,1,False,,None,[],None,
moead_media,BBOB_F5,2,50,801,801,1,1.0,0.114425,1536.5094146728516,419.7387809753418,0,,False,7531,1,False,,None,[],None,
moead_media,BBOB_F55,2,50,801,801,1,0.98,0.212025,66.96268463134766,34.53364944458008,0,,False,14544,1,False,,None,[],None,
moead_media,DTLZ1,3,105,381,360,22,1.0,0.1724561403508772,225.35363578796387,0.07099151611328125,0,,False,385,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[],0.0
moead_media,DTLZ2,3,105,381,278,104,0.9904761904761905,0.15077694235588973,2.1243263859105355e-07,7.858349387879215e-12,0,,False,212,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]",[104],1.0
moead_media,DTLZ3,3,105,381,370,12,0.9904761904761905,0.32671679197994985,1306.7348116298672,1036.888244629107,0,,False,1940,1,False,1.0,[0],[104],[104],1.0
moead_media,DTLZ4,3,105,381,381,1,0.8666666666666667,0.33909774436090223,0.8331525847315788,0.2962772324681282,0,,False,680,1,False,1.0,"[0, 2]","[0, 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 102, 104]","[0, 14, 27, 39, 50, 60, 69, 77]",14.0
moead_media,DTLZ7,3,105,381,381,1,1.0,0.3945112781954887,13.494363259989768,4.995308849029243,0,,False,18608,1,False,,None,[],None,
moead_media,MMF1,2,50,801,801,1,1.0,0.096575,4.956462943926454,0.04114967347049969,0,,False,6030,1,False,,None,[],None,
moead_media,MMF11_L,2,50,801,794,8,1.0,0.14245,8.896985836327076,0.686692813411355,0,,False,8165,1,False,,None,[],None,
moead_media,MMF16_20,3,105,381,381,1,0.9809523809523809,0.15892230576441102,9.595990657806396,6.654890418052673,0,,False,17063,1,False,,None,[],None,
moead_media,MMF4,2,50,801,798,4,1.0,0.1133,3.5178620778024197,3.1641554022207856,0,,False,7443,1,False,,None,[],None,
moead_media,WFG1,2,50,801,801,1,1.0,0.19785,0.3949694037437439,0.8679271340370178,0,,False,14598,1,False,,None,[],None,
moead_media,WFG2,2,50,801,801,1,0.98,0.264475,5.566732712090015,4.063692759722471,0,,False,19167,1,False,,None,[],None,
moead_media,WFG4,2,50,801,801,1,0.98,0.219125,4.452311098575592,4.505450427532196,0,,False,15760,1,False,,None,[],None,
moead_media,WFG5,2,50,801,799,3,0.98,0.22805,4.253039240837097,5.508572638034821,0,,False,16239,1,False,,None,[],None,
