problema,b4,melhor_piso,razao,rank_b4,bate_piso,dentro_ruido
BBOB_F1,0.2133718772772728,0.1359531134257377,1.569451937515384,15.0,False,True
BBOB_F17,0.0169204487831311,0.0206141256299147,0.8208181655096042,1.0,True,False
BBOB_F22,0.3939757683544823,0.1591300073706684,2.4758106586193858,14.0,False,False
BBOB_F37,0.3033641959030862,0.2539185871646663,1.194730166430685,13.0,False,True
BBOB_F49,0.162843998687037,0.2070601036537373,0.7864576314486829,8.0,True,False
BBOB_F5,0.1859655589315876,0.1192824482234564,1.5590353962488357,12.0,False,True
BBOB_F55,0.5271076846291465,0.6061479210199184,0.8696023962966383,10.0,True,False
DTLZ1,81.2096098224797,45.34570273153767,1.7908997971267275,10.0,False,False
DTLZ2,0.2208024716231953,0.1700820491933293,1.2982114965713576,11.0,False,True
DTLZ3,278.8299214290226,129.76799112603217,2.1486802639814293,10.0,False,False
DTLZ4,0.2798890753812145,0.2823977915542932,0.9911163746739274,4.0,True,False
DTLZ7,1.5632026117992457,1.1247085866087754,1.389873457366071,14.0,False,True
MMF1,0.0604179233811582,0.0570132770384747,1.0597167277437134,11.0,False,True
MMF11_L,0.0440912294879319,0.0231565498976292,1.9040500283008923,15.0,False,False
MMF16_20,0.0363297406036604,0.0316158421272363,1.149099254021236,10.0,False,True
MMF4,0.0395574579316263,0.0377119334276083,1.0489374141360497,12.0,False,True
WFG1,0.4903966551100259,0.4953917959793528,0.989916787258352,1.0,True,False
WFG2,0.1514954122993829,0.1227556938180429,1.2341212662928698,7.0,False,True
WFG4,0.0651114772864435,0.044424346453198,1.4656710224210012,3.0,False,True
WFG5,0.0974332690691442,0.0930752077028518,1.0468230098417375,11.0,False,True
WFG9,0.1425511508344902,0.0955346891283579,1.4921402072388827,11.0,False,True
ZDT1,0.6580361195506702,0.4440783896843883,1.481801715274513,11.0,False,True
ZDT3,0.3188331057531455,0.3442625865872861,0.9261334753618571,6.0,True,False
ZDT4,56.58151700418569,43.898268794314845,1.2889236536706756,11.0,False,True
ZDT6,7.227790529503339,6.445675963031797,1.121339417457105,15.0,False,True
