problema,blocos,dmax_f32,blocos_iguais,n_lsel,lsel_len_ok,lsel_set_ok,lsel_tipos
BBOB_F1,101,0.0,101,200,200,200,['float']
BBOB_F17,101,0.0,101,200,200,200,['float']
BBOB_F22,103,0.0,103,202,202,202,['float']
BBOB_F37,102,0.0,102,201,201,201,['float']
BBOB_F49,101,0.0,101,200,200,200,['float']
BBOB_F5,101,0.0,101,200,200,200,['float']
BBOB_F55,101,0.0,101,200,200,200,['float']
DTLZ1,71,0.0,71,140,140,140,['float']
DTLZ2,136,0.0,136,234,234,234,"['float', 'list']"
DTLZ3,123,0.0,123,242,242,242,['float']
DTLZ4,171,0.0,171,189,189,189,"['float', 'list']"
DTLZ7,213,0.0,213,384,384,384,"['float', 'list']"
MMF1,24,0.0,24,41,41,41,['float']
MMF11_L,22,0.0,22,31,31,31,"['float', 'list']"
MMF16_20,47,0.0,47,90,90,90,"['float', 'list']"
MMF4,26,0.0,26,41,41,41,"['float', 'list']"
WFG1,94,0.0,94,121,121,121,"['float', 'list']"
WFG2,223,0.0,223,437,437,437,"['float', 'list']"
WFG4,138,0.0,138,249,249,249,"['float', 'list']"
WFG5,186,0.0,186,368,368,368,"['float', 'list']"
WFG9,222,0.0,222,441,441,441,['float']
ZDT1,280,0.0,280,476,476,476,"['float', 'list']"
ZDT3,275,0.0,275,403,403,403,"['float', 'list']"
ZDT4,102,0.0,102,201,201,201,['float']
ZDT6,103,0.0,103,200,200,200,['float']
