problema,igdp,melhor_piso,piso_alg,razao,rank,n_algs,hv,n_nd
BBOB_F1,0.1918327495003363,0.1359531134257377,nsga2,1.4110213783748466,14,17,0.6965859332676075,13
BBOB_F17,0.0249864731868173,0.0206141256299147,nsga2,1.212104439227709,10,17,1.1263587995995723,14
BBOB_F22,0.4583101350817325,0.1591300073706684,smsemoa,2.8800987485293765,15,17,0.4437311819425132,8
BBOB_F37,0.2153868680015732,0.2539185871646663,smsemoa,0.8482516794325684,8,17,0.6054461271196396,10
BBOB_F49,0.4480863157448652,0.2070601036537373,nsga2,2.164039850449372,16,17,0.5138911848667849,9
BBOB_F5,0.2227297463983506,0.1192824482234564,smsemoa,1.8672466043042846,15,17,0.523049081061139,10
BBOB_F55,0.4777287866521408,0.6061479210199184,nsga2,0.788138951047301,8,16,0.4357660780195396,7
DTLZ1,85.74802373757507,45.34570273153767,nsga2,1.8909845602180473,12,17,0.0,20
DTLZ2,0.2044665851850002,0.1700820491933293,smsemoa,1.202164403326224,10,16,0.2608290044002171,41
DTLZ3,389.42960167341187,129.76799112603217,smsemoa,3.0009680992533307,15,16,0.0,31
DTLZ4,0.6226320409542655,0.2823977915542932,nsga3,2.2048049226141333,12,15,0.0,10
DTLZ7,1.0540434208799536,1.1247085866087754,nsga3,0.9371702443013336,9,15,0.0,18
MMF1,0.0398674561356919,0.0570132770384747,nsga3,0.699266174592768,3,17,0.7864878853504507,14
MMF11_L,0.0359063916867893,0.0231565498976292,nsga3,1.550593324373656,12,17,0.9447909233235792,12
MMF16_20,0.0266082687018045,0.0316158421272363,smsemoa,0.8416118917446802,3,15,0.7284947787586908,265
MMF4,0.0260127264434472,0.0377119334276083,nsga3,0.6897744050535394,5,17,0.4853088373614387,23
WFG1,0.5153651393900579,0.4953917959793528,smsemoa,1.0403182765092411,6,14,0.1704784012461317,65
WFG2,0.160439748814873,0.1227556938180429,nsga2,1.3069841717703787,8,16,0.52287205278299,16
WFG4,0.0765164869417444,0.044424346453198,smsemoa,1.722399833666797,8,16,0.2796339571878151,55
WFG5,0.1335695759931806,0.0930752077028518,nsga2,1.4350714791806805,14,16,0.2203424175177315,39
WFG9,0.1281889482196649,0.0955346891283579,nsga3,1.3418052582704654,9,16,0.2197573302424615,33
ZDT1,0.7866179369576423,0.4440783896843883,nsga2,1.7713492825370332,13,16,0.0357408698377574,16
ZDT3,0.4838315951558035,0.3442625865872861,nsga2,1.40541439588914,13,15,0.1218327259391723,17
ZDT4,57.97120206241372,43.898268794314845,nsga2,1.3205805981561036,12,17,0.0,5
ZDT6,6.26317674638881,6.445675963031797,nsga2,0.9716865666704805,11,16,0.0,8
