problema,n,viol,v0,vf,razao
BBOB_F1,20,0,1.6651151931674129,0.19183274950033635,0.11520689396595353
BBOB_F17,20,0,2.4167899424756034,0.024986473186817338,0.010338702899939583
BBOB_F22,20,0,6.550407018400444,0.4583101350817325,0.06996666524603964
BBOB_F37,20,0,1.182738987190214,0.21538686800157328,0.1821085381765078
BBOB_F49,20,0,1.3383037553621309,0.4480863157448652,0.334816601948201
BBOB_F5,20,0,0.9165469299595926,0.22272974639835066,0.24300964753454582
BBOB_F55,20,0,1.388541999942182,0.47772878665214086,0.3440506564958303
DTLZ1,20,0,541.7753550899159,85.74802373757507,0.15827228561059936
DTLZ2,20,0,1.6297304711986438,0.2044665851850002,0.12546036832373755
DTLZ3,20,0,914.1600619307801,389.42960167341187,0.42599717258584346
DTLZ4,20,0,1.2302654075242083,0.6226320409542655,0.5060957067851343
DTLZ7,20,0,2.9506393479468724,1.0540434208799536,0.35722543373977
MMF1,20,0,2.8112970162129414,0.039867456135691905,0.014181161188509634
MMF11_L,20,0,0.5728206234612008,0.0359063916867893,0.06268348278005283
MMF16_20,20,0,0.8559201840763245,0.026608268701804518,0.031087324725866953
MMF4,20,0,0.3675238638476179,0.026012726443447202,0.07077833306147584
WFG1,20,0,1.1163446066331106,0.5153651393900579,0.4616541669372116
WFG2,20,0,0.6595702461706784,0.16043974881487302,0.2432489181347269
WFG4,20,0,0.32820668172874007,0.07651648694174443,0.23313506763090408
WFG5,20,0,0.5435150445367514,0.13356957599318062,0.24575138689495635
WFG9,20,0,0.6928485995065304,0.12818894821966495,0.18501725818738082
ZDT1,20,0,3.825360846748847,0.7866179369576423,0.20563234907007127
ZDT3,20,0,2.5208579962367232,0.48383159515580354,0.19193131698734883
ZDT4,20,0,160.0026906116995,57.97120206241372,0.3623139201021337
ZDT6,20,0,8.952705826241381,6.26317674638881,0.6995847811765176
