problema,gens_reais,gens_asshipped_est,frac_st1_ship,frac_st1_real,frac_st2_ship,frac_st3_ship
BBOB_F1,190,33,0.42105263157894735,0.010526315789473684,0.3263157894736842,0.25263157894736843
BBOB_F17,196,32,0.37244897959183676,0.00510204081632653,0.4846938775510204,0.14285714285714285
BBOB_F22,138,32,0.3333333333333333,0.07246376811594203,0.427536231884058,0.2391304347826087
BBOB_F37,186,32,0.45161290322580644,0.005376344086021506,0.3172043010752688,0.23118279569892472
BBOB_F49,196,32,0.3826530612244898,0.00510204081632653,0.5255102040816326,0.09183673469387756
BBOB_F5,160,32,0.3125,0.0375,0.375,0.3125
BBOB_F55,178,33,0.37640449438202245,0.02247191011235955,0.34269662921348315,0.2808988764044944
DTLZ1,140,26,0.24285714285714285,0.0,0.4857142857142857,0.2714285714285714
DTLZ2,240,40,0.8208333333333333,0.0,0.1625,0.016666666666666666
DTLZ3,240,49,0.3875,0.0,0.3958333333333333,0.21666666666666667
DTLZ4,240,49,0.425,0.0,0.42083333333333334,0.15416666666666667
DTLZ7,431,85,0.21345707656612528,0.004640371229698376,0.5916473317865429,0.19489559164733178
MMF1,42,14,0.23809523809523808,0.0,0.5238095238095238,0.23809523809523808
MMF11_L,43,15,0.16279069767441862,0.0,0.6976744186046512,0.13953488372093023
MMF16_20,400,68,0.9975,0.0,0.0,0.0025
MMF4,38,12,0.3157894736842105,0.0,0.5526315789473685,0.13157894736842105
WFG1,440,70,1.0,0.0,0.0,0.0
WFG2,440,70,0.9977272727272727,0.0,0.0022727272727272726,0.0
WFG4,440,70,1.0,0.0,0.0,0.0
WFG5,440,70,0.9977272727272727,0.0,0.0022727272727272726,0.0
WFG9,441,70,0.9501133786848073,0.0,0.047619047619047616,0.0022675736961451248
ZDT1,586,146,0.189419795221843,0.0017064846416382253,0.6126279863481229,0.19795221843003413
ZDT3,581,125,0.25989672977624784,0.0,0.5507745266781411,0.18932874354561102
ZDT4,181,33,0.47513812154696133,0.0055248618784530384,0.287292817679558,0.23756906077348067
ZDT6,155,53,0.06451612903225806,0.05806451612903226,0.5935483870967742,0.3419354838709677
