problema,t_ok2,soma_sonda4,sonda5,gap,soma_fit4,fit5,soma_ger,total5,frac_fit,frac_sonda,frac_busca,frac_aval
BBOB_F1,1.0,10.870493,10.870491999999995,-9.536743e-07,15.4272,15.427200004458427,29.589066,47.809225,0.3226824949464968,0.22737226968226312,0.17053758858841986,0.002858716074146778
BBOB_F17,1.0,12.088667,12.088667000000004,0.0,17.014725,17.014724023640156,29.444754,48.903458,0.34792476277731027,0.24719452354473592,0.11907333705809486,0.004201359339456116
BBOB_F22,1.0,8.364665,8.473775999999999,0.10911083,11.784584,11.784583956003187,49.57664,67.245228,0.17524788459343446,0.12601304586252574,0.49295962249908726,0.0023913221024397433
BBOB_F37,1.0,11.213728,11.213727,-9.536743e-07,15.697927,15.697926998138428,33.525192,52.14421,0.3010483234502628,0.21505219850871266,0.2240455825224856,0.0036251579993253303
BBOB_F49,1.0,11.502922,11.502922000000002,0.0,16.10781,16.107808984816074,28.570429,47.97753,0.33573652050899816,0.23975644431883011,0.12033695652299241,0.014185202948130096
BBOB_F5,1.0,9.565296,9.565296000000002,0.0,13.579288,13.579288005828856,42.514515,58.836015,0.23079890787689913,0.16257552453204047,0.40185146649214787,0.0023872962844271486
BBOB_F55,1.0,10.72782,10.727819999999994,0.0,15.135088,15.135087974369526,37.75962,56.672394,0.2670627955891457,0.18929533839703322,0.2823636643682486,0.020823065988706948
DTLZ1,1.0,7.043014,7.043014,0.0,11.881843,11.881843030452728,18.238836,31.748724,0.37424631712609074,0.22183612796533178,0.0689133206445823,0.0034081999641938335
DTLZ2,1.0,16.161247,16.161246000000002,-1.9073486e-06,22.711832,22.711831986904144,36.27436,61.191908,0.3711574410607387,0.26410756794836343,0.06706087669100051,0.003358761096320121
DTLZ3,1.0,13.79673,13.796731000000005,9.536743e-07,18.93882,18.938820995390415,30.989708,53.335518,0.3550883483571007,0.25867811014791314,0.06707547111742046,0.0033750679987771016
DTLZ4,1.0,13.74739,13.747389999999998,0.0,19.193329,19.193330965936184,31.156162,53.494952,0.3587877032946246,0.2569848085853035,0.06725608421167321,0.00349902173947179
DTLZ7,0.9976798143851509,33.50361,33.640846,0.13723755,33.278053,33.27805604040623,73.033424,121.628573,0.2736039338421427,0.27658670302742105,0.10291642469194229,0.0025491214140940404
MMF1,1.0,1.7782401,1.7782399999999996,-1.1920929e-07,4.495874,4.495874024927616,6.881385,13.324698,0.3374090748569023,0.1334544317627311,0.05726621328755216,0.0023146490824782597
MMF11_L,0.9767441860465116,1.995245,2.0655710000000003,0.07032609,5.273575,5.273575007915497,8.129187,15.722198,0.3354222487158282,0.1313792766125958,0.0550274204948696,0.0024591981350190347
MMF16_20,1.0,30.293,30.29300000000001,0.0,30.40789,30.407891020178795,80.62178,124.133311,0.24496157216155132,0.24403602671969338,0.05113388133506202,0.0024337222423721533
MMF4,1.0,1.692336,1.692336,0.0,4.0929694,4.092969015240669,11.6175785,18.210682,0.22475649265857642,0.09293095118568323,0.33076641196501627,0.001804105963741501
WFG1,1.0,35.65004,35.650035,-3.8146973e-06,33.643463,33.643460072577,67.586876,118.012457,0.28508397272482006,0.3020870500137117,0.06174775251395793,0.003794090991597609
WFG2,1.0,35.93457,35.93457199999999,0.0,33.521355,33.521357998251915,67.88409,118.767647,0.28224317686660844,0.30256195948716563,0.0611952007964442,0.004425287637465783
WFG4,1.0,36.333157,36.33315800000001,0.0,35.39536,35.39535906910896,70.48852,121.777272,0.2906565280022775,0.2983574636160351,0.06275221880086193,0.003347398026784502
WFG5,1.0,36.568077,36.56807699999999,0.0,36.044365,36.04436299204826,71.33331,122.97687,0.293098718417929,0.29735735671268904,0.06248488851679683,0.0032799338607333224
WFG9,0.9977324263038548,35.973892,36.12354600000001,0.14965439,34.800945,34.80094400793314,69.88305,121.562745,0.2862796822162344,0.29715967667561316,0.06206640857344579,0.012104259409410335
ZDT1,1.0,51.03442,51.03441999999997,0.0,43.755035,43.75503399968147,116.9545,189.218639,0.23124061261048112,0.2697113786977401,0.09746249626777957,0.0020747638925782577
ZDT3,0.9982788296041308,50.60314,50.757554000000006,0.15441132,44.16536,44.16535789519549,120.79045,192.605301,0.22930499662205814,0.26353144870088496,0.11578840288380655,0.0020737539305836668
ZDT4,0.994475138121547,10.870684,10.979028000000003,0.10834408,15.396542,15.396541938185692,34.308067,52.95848,0.290728546933101,0.2073138806098665,0.24391122861686917,0.0026499438805645476
ZDT6,0.9935483870967742,8.500158,8.611002999999997,0.11084461,13.021381,13.02138102799654,44.28882,59.891318,0.2174168387477554,0.14377714980324857,0.43501414407418904,0.002380428495495791
