problema,alg,N,n_ger,n_trans,viol,viol_pct,viol_1pct,pior_rel,hv_pop_ini,hv_pop_fim,ganho,ref
BBOB_F1,smsemoa,20,11,10,0,0.0,0,0.0010642823034776835,40547.27737081099,51144.70442839418,10597.42705758319,"[250.5118, 234.0537]"
BBOB_F1,nsga2,20,11,10,0,0.0,0,0.002423235442247417,40547.27737081099,52670.712193487714,12123.434822676725,"[250.5118, 234.0537]"
BBOB_F1,nsga3,20,11,10,0,0.0,0,0.002736055284779695,40547.27737081099,53849.91098789634,13302.633617085354,"[250.5118, 234.0537]"
BBOB_F1,moead,20,12,11,6,54.54545454545455,1,-0.01010675158072569,40547.27737081099,43838.986109655416,3291.708738844427,"[250.5118, 234.0537]"
BBOB_F17,smsemoa,20,11,10,0,0.0,0,0.0005334043948541082,63623719846.03641,64642655425.88266,1018935579.8462524,"[77043511.04, 849.2235]"
BBOB_F17,nsga2,20,11,10,0,0.0,0,1.1888163122227803e-05,63623719846.03641,64839764405.271996,1216044559.235588,"[77043511.04, 849.2235]"
BBOB_F17,nsga3,20,11,10,0,0.0,0,5.023490103671387e-06,63623719846.03641,64680108879.78251,1056389033.7461014,"[77043511.04, 849.2235]"
BBOB_F17,moead,20,14,13,7,53.84615384615385,0,-0.004560899042721803,63623719846.03641,64066576233.56142,442856387.52500916,"[77043511.04, 849.2235]"
BBOB_F22,smsemoa,20,11,10,0,0.0,0,0.000381930825862222,4446515549.978368,6039741974.422681,1593226424.444313,"[2172432.9875, 3115.0644]"
BBOB_F22,nsga2,20,11,10,0,0.0,0,1.0436516245211093e-07,4446515549.978368,5564027498.545251,1117511948.566883,"[2172432.9875, 3115.0644]"
BBOB_F22,nsga3,20,11,10,0,0.0,0,0.00012265241315976706,4446515549.978368,5847544914.207769,1401029364.2294016,"[2172432.9875, 3115.0644]"
BBOB_F22,moead,20,14,13,4,30.76923076923077,2,-0.042830769701073315,4446515549.978368,4671472253.291994,224956703.3136263,"[2172432.9875, 3115.0644]"
BBOB_F37,smsemoa,20,11,10,0,0.0,0,3.165441320098301e-05,14527008.581614478,16581192.809816899,2054184.2282024212,"[3204.8698, 6272.6178]"
BBOB_F37,nsga2,20,11,10,0,0.0,0,0.00023886391359581648,14527008.581614478,16899991.135647338,2372982.5540328603,"[3204.8698, 6272.6178]"
BBOB_F37,nsga3,20,11,10,0,0.0,0,0.0005262909211135772,14527008.581614478,16169161.096004764,1642152.514390286,"[3204.8698, 6272.6178]"
BBOB_F37,moead,20,13,12,1,8.333333333333334,0,-0.0037299177293730807,14527008.581614478,16554072.39466628,2027063.813051803,"[3204.8698, 6272.6178]"
BBOB_F49,smsemoa,20,11,10,0,0.0,0,2.5097527466638154e-05,290724.0235228067,365325.1481675769,74601.12464477017,"[6147.0168, 86.756]"
BBOB_F49,nsga2,20,11,10,0,0.0,0,0.0,290724.0235228067,381891.91253824934,91167.88901544263,"[6147.0168, 86.756]"
BBOB_F49,nsga3,20,11,10,0,0.0,0,0.00022417328500436859,290724.0235228067,395042.71801911277,104318.69449630607,"[6147.0168, 86.756]"
BBOB_F49,moead,20,14,13,5,38.46153846153846,5,-0.20994945933244766,290724.0235228067,154109.25993864064,-136614.76358416607,"[6147.0168, 86.756]"
BBOB_F5,smsemoa,20,11,10,0,0.0,0,0.0060193861878530645,333276.9137871597,483837.6409353924,150560.7271482327,"[201.0971, 3087.2322]"
BBOB_F5,nsga2,20,11,10,0,0.0,0,0.00537864864296759,333276.9137871597,468244.21496749436,134967.30118033465,"[201.0971, 3087.2322]"
BBOB_F5,nsga3,20,11,10,0,0.0,0,0.0016882130304939314,333276.9137871597,466084.0079248568,132807.09413769707,"[201.0971, 3087.2322]"
BBOB_F5,moead,20,14,13,3,23.076923076923077,0,-0.007385806967901255,333276.9137871597,427219.57427114045,93942.66048398073,"[201.0971, 3087.2322]"
BBOB_F55,smsemoa,20,11,10,0,0.0,0,8.136420588619019e-05,547.0868773977814,2038.9344075225279,1491.8475301247463,"[86.4694, 86.94]"
BBOB_F55,nsga2,20,11,10,0,0.0,0,0.07025311795530689,547.0868773977814,2538.4133713474603,1991.326493949679,"[86.4694, 86.94]"
BBOB_F55,nsga3,20,11,10,0,0.0,0,0.0,547.0868773977814,2310.8927397972225,1763.8058623994411,"[86.4694, 86.94]"
BBOB_F55,moead,20,13,12,3,25.0,1,-0.0816471735514573,547.0868773977814,1061.1556941201552,514.0688167223738,"[86.4694, 86.94]"
