problema,alg,N,n_ger,n_trans,viol,viol_pct,viol_1pct,pior_rel,hv_pop_ini,hv_pop_fim,ganho,ref
DTLZ1,smsemoa,20,8,7,0,0.0,0,0.0011548415809439477,40727732.72600791,42245481.7446919,1517749.0186839923,"[315.7923, 332.3785, 404.6313]"
DTLZ1,nsga2,20,8,7,0,0.0,0,0.00022977235792789714,40727732.72600791,42374355.6653533,1646622.9393453896,"[315.7923, 332.3785, 404.6313]"
DTLZ1,nsga3,15,11,10,2,20.0,0,-0.0010247213433730086,39959552.84080792,41850684.39150439,1891131.5506964698,"[315.7923, 332.3785, 404.6313]"
DTLZ1,moead,15,11,10,3,30.0,2,-0.028459431269243,39959552.84080792,39979809.66453716,20256.823729239404,"[315.7923, 332.3785, 404.6313]"
DTLZ2,smsemoa,20,13,12,0,0.0,0,0.00408169203010499,5.405137321678854,7.631835643038304,2.22669832135945,"[2.015, 2.0251, 2.1225]"
DTLZ2,nsga2,20,13,12,1,8.333333333333334,0,-0.008666742869195573,5.405137321678854,7.346294783713807,1.941157462034953,"[2.015, 2.0251, 2.1225]"
DTLZ2,nsga3,15,18,17,1,5.882352941176471,0,-0.007724829802134746,5.011704165782199,7.2293809724058224,2.217676806623624,"[2.015, 2.0251, 2.1225]"
DTLZ2,moead,15,17,16,4,25.0,2,-0.1667371141892032,5.011704165782199,5.736574813446807,0.7248706476646083,"[2.015, 2.0251, 2.1225]"
DTLZ3,smsemoa,20,13,12,0,0.0,0,0.00038180721893191937,3551556517.855298,3901425937.2316337,349869419.3763356,"[1498.9701, 1489.8902, 1751.6733]"
DTLZ3,nsga2,20,13,12,2,16.666666666666668,1,-0.03237921150989656,3551556517.855298,3844642683.4438667,293086165.5885687,"[1498.9701, 1489.8902, 1751.6733]"
DTLZ3,nsga3,15,18,17,1,5.882352941176471,0,-0.000218925597634205,3438345891.1012783,3872389151.664936,434043260.56365776,"[1498.9701, 1489.8902, 1751.6733]"
DTLZ3,moead,15,18,17,4,23.529411764705884,4,-0.08820795842434218,3438345891.1012783,3447844850.0765514,9498958.975273132,"[1498.9701, 1489.8902, 1751.6733]"
DTLZ4,smsemoa,20,13,12,0,0.0,0,0.0027774012421985634,5.2801824525064225,8.326660755528202,3.0464783030217797,"[2.475, 1.8383, 2.1764]"
DTLZ4,nsga2,20,13,12,0,0.0,0,1.187562999563778e-16,5.2801824525064225,8.372685977889802,3.0925035253833792,"[2.475, 1.8383, 2.1764]"
DTLZ4,nsga3,15,18,17,0,0.0,0,-1.437865891803469e-16,5.2801824525064225,8.50066740326039,3.220484950753968,"[2.475, 1.8383, 2.1764]"
DTLZ4,moead,15,18,17,1,5.882352941176471,0,-0.005494454410169313,5.2801824525064225,8.147994045755613,2.8678115932491908,"[2.475, 1.8383, 2.1764]"
DTLZ7,smsemoa,20,23,22,0,0.0,0,3.4533825182701787e-06,10.859034940557232,14.816883947488465,3.9578490069312338,"[1.008, 1.01, 25.5586]"
DTLZ7,nsga2,20,23,22,2,9.090909090909092,0,-0.007500473844725239,10.859034940557232,14.916264197140281,4.0572292565830494,"[1.008, 1.01, 25.5586]"
DTLZ7,nsga3,15,33,32,3,9.375,0,-0.004087499595399636,10.823183098852667,16.84595507522758,6.022771976374912,"[1.008, 1.01, 25.5586]"
DTLZ7,moead,15,33,32,7,21.875,4,-0.05523605669451341,10.823183098852667,11.66216342315713,0.8389803243044636,"[1.008, 1.01, 25.5586]"
MMF1,smsemoa,20,3,2,0,0.0,0,0.006241551693620536,7.098169503884318,7.212073914628111,0.11390441074379343,"[1.0062, 7.688]"
MMF1,nsga2,20,3,2,0,0.0,0,0.00570438854207995,7.098169503884318,7.254600078936958,0.15643057505264046,"[1.0062, 7.688]"
MMF1,nsga3,20,3,2,0,0.0,0,0.006120960495600585,7.098169503884318,7.257605000623016,0.1594354967386984,"[1.0062, 7.688]"
MMF1,moead,20,3,2,1,50.0,0,-0.005171508233124784,7.098169503884318,7.148941898120891,0.050772394236573426,"[1.0062, 7.688]"
MMF11_L,smsemoa,20,3,2,0,0.0,0,0.003479629339301306,11.760404382664463,12.045159351398093,0.2847549687336297,"[1.1107, 15.8012]"
MMF11_L,nsga2,20,3,2,0,0.0,0,0.0240285318769407,11.760404382664463,12.519773959383924,0.759369576719461,"[1.1107, 15.8012]"
MMF11_L,nsga3,20,3,2,0,0.0,0,0.03959019642170688,11.760404382664463,12.925308815299857,1.1649044326353941,"[1.1107, 15.8012]"
MMF11_L,moead,20,3,2,1,50.0,1,-0.05255858132429215,11.760404382664463,11.303488030394684,-0.4569163522697792,"[1.1107, 15.8012]"
MMF16_20,smsemoa,20,21,20,3,15.0,0,-0.0009155118405913968,19.144097366925543,21.78312700980262,2.6390296428770768,"[2.997, 3.0191, 3.0003]"
MMF16_20,nsga2,20,21,20,7,35.0,5,-0.046182598663264816,19.144097366925543,20.72693996508838,1.5828425981628378,"[2.997, 3.0191, 3.0003]"
MMF16_20,nsga3,15,30,29,4,13.793103448275861,0,-0.008338328009251968,18.65906856945969,21.51581859232436,2.85675002286467,"[2.997, 3.0191, 3.0003]"
MMF16_20,moead,15,29,28,6,21.428571428571427,3,-0.12565493972806693,18.65906856945969,16.303463051844442,-2.355605517615249,"[2.997, 3.0191, 3.0003]"
MMF4,smsemoa,20,3,2,0,0.0,0,0.006443389825130505,1.874780363170881,1.9081269062605246,0.03334654308964358,"[1.0074, 2.6596]"
MMF4,nsga2,20,3,2,0,0.0,0,0.01421317914814733,1.874780363170881,1.9307854496310526,0.05600508646017155,"[1.0074, 2.6596]"
MMF4,nsga3,20,3,2,0,0.0,0,0.015440244632551255,1.874780363170881,1.9337863567164681,0.05900599354558711,"[1.0074, 2.6596]"
MMF4,moead,20,3,2,1,50.0,1,-0.049805279357100614,1.874780363170881,1.7951513679222253,-0.07962899524865574,"[1.0074, 2.6596]"
WFG1,smsemoa,20,23,22,0,0.0,0,0.00047165929198263645,1.2308671898922696,5.220037085288077,3.989169895395807,"[3.0146, 5.0317]"
WFG1,nsga2,20,23,22,3,13.636363636363637,0,-0.004584610368281504,1.2308671898922696,5.2125800862029115,3.9817128963106416,"[3.0146, 5.0317]"
WFG1,nsga3,20,23,22,4,18.181818181818183,0,-0.007515131610715462,1.2308671898922696,4.753208718620717,3.5223415287284467,"[3.0146, 5.0317]"
WFG1,moead,20,31,30,5,16.666666666666668,0,-0.0015685568557667437,1.2308671898922696,1.572495715931296,0.3416285260390264,"[3.0146, 5.0317]"
WFG2,smsemoa,20,23,22,0,0.0,0,0.001531820205195314,5.123555984994498,6.206879946645598,1.0833239616511001,"[2.5194, 4.7252]"
WFG2,nsga2,20,23,22,0,0.0,0,0.0016507447267287898,5.123555984994498,6.528414029252529,1.404858044258031,"[2.5194, 4.7252]"
WFG2,nsga3,20,23,22,0,0.0,0,0.0019153776080362468,5.123555984994498,6.419716978140946,1.2961609931464482,"[2.5194, 4.7252]"
WFG2,moead,20,27,26,6,23.076923076923077,4,-0.04891535947300043,5.123555984994498,4.933944672576349,-0.18961131241814932,"[2.5194, 4.7252]"
WFG4,smsemoa,20,23,22,0,0.0,0,0.003033208323638702,2.268266117220255,3.45505924682917,1.186793129608915,"[2.3905, 4.4687]"
WFG4,nsga2,20,23,22,1,4.545454545454546,0,-0.0039032277743177857,2.268266117220255,3.207755301129738,0.9394891839094832,"[2.3905, 4.4687]"
WFG4,nsga3,20,23,22,1,4.545454545454546,0,-0.0001372661243235776,2.268266117220255,3.0311077462384484,0.7628416290181934,"[2.3905, 4.4687]"
WFG4,moead,20,27,26,10,38.46153846153846,4,-0.11704506743205738,2.268266117220255,2.0594323200530256,-0.20883379716722938,"[2.3905, 4.4687]"
WFG5,smsemoa,20,23,22,0,0.0,0,0.004400757010524387,2.892609060767087,4.485295091240008,1.5926860304729211,"[2.677, 4.6096]"
WFG5,nsga2,20,23,22,0,0.0,0,0.003573630028025902,2.892609060767087,4.392924194791471,1.5003151340243837,"[2.677, 4.6096]"
WFG5,nsga3,20,23,22,0,0.0,0,0.0015258815908732388,2.892609060767087,4.186913840259855,1.294304779492768,"[2.677, 4.6096]"
WFG5,moead,20,26,25,5,20.0,2,-0.09965699262122074,2.892609060767087,2.9057623234912726,0.013153262724185488,"[2.677, 4.6096]"
WFG9,smsemoa,20,23,22,0,0.0,0,0.0041305298018469855,4.062469641979443,6.012936073622706,1.950466431643263,"[2.9288, 4.958]"
WFG9,nsga2,20,23,22,4,18.181818181818183,0,-0.004913673683690355,4.062469641979443,6.194783454033135,2.1323138120536917,"[2.9288, 4.958]"
WFG9,nsga3,20,23,22,1,4.545454545454546,0,-0.00036434005844445305,4.062469641979443,6.282466976887406,2.219997334907963,"[2.9288, 4.958]"
WFG9,moead,20,25,24,10,41.666666666666664,4,-0.03155038103072134,4.062469641979443,3.930921974933456,-0.1315476670459872,"[2.9288, 4.958]"
ZDT1,smsemoa,20,31,30,0,0.0,0,0.0010165141782882167,3.0341305903734708,4.887788775022748,1.853658184649277,"[1.0096, 6.1183]"
ZDT1,nsga2,20,31,30,0,0.0,0,0.0009692548704163049,3.0341305903734708,5.120416460991114,2.0862858706176435,"[1.0096, 6.1183]"
ZDT1,nsga3,20,31,30,0,0.0,0,0.000467225860851087,3.0341305903734708,4.729511275221177,1.6953806848477062,"[1.0096, 6.1183]"
ZDT1,moead,20,38,37,5,13.513513513513514,1,-0.01861914611334119,3.0341305903734708,3.28175146705772,0.24762087668424915,"[1.0096, 6.1183]"
ZDT3,smsemoa,20,31,30,0,0.0,0,0.0009609551982510669,3.076457834990397,5.1169002037697515,2.0404423687793547,"[1.0073, 6.0089]"
ZDT3,nsga2,20,31,30,0,0.0,0,0.0006068916108248926,3.076457834990397,5.154433188113993,2.077975353123596,"[1.0073, 6.0089]"
ZDT3,nsga3,20,31,30,0,0.0,0,0.00026085784500725246,3.076457834990397,4.949066802587392,1.8726089675969955,"[1.0073, 6.0089]"
ZDT3,moead,20,38,37,2,5.405405405405405,1,-0.012318392287303066,3.076457834990397,3.554839214999487,0.47838138000909014,"[1.0073, 6.0089]"
ZDT4,smsemoa,20,11,10,0,0.0,0,8.076687375671568e-05,145.17493233462636,199.77736073102253,54.602428396396164,"[1.0092, 245.4052]"
ZDT4,nsga2,20,11,10,0,0.0,0,4.3716329986058585e-05,145.17493233462636,202.97097074909655,57.79603841447019,"[1.0092, 245.4052]"
ZDT4,nsga3,20,11,10,0,0.0,0,0.0,145.17493233462636,199.30806442803492,54.13313209340856,"[1.0092, 245.4052]"
ZDT4,moead,20,14,13,1,7.6923076923076925,1,-0.015658186935376614,145.17493233462636,167.90373591197394,22.728803577347577,"[1.0092, 245.4052]"
ZDT6,smsemoa,20,11,10,0,0.0,0,0.0008197951531548353,0.8304286440306405,2.114696531691424,1.2842678876607836,"[1.01, 9.3169]"
ZDT6,nsga2,20,11,10,0,0.0,0,0.005135130660997965,0.8304286440306405,2.211317533199374,1.3808888891687336,"[1.01, 9.3169]"
ZDT6,nsga3,20,11,10,0,0.0,0,0.00855597390839124,0.8304286440306405,2.1406535169762932,1.3102248729456527,"[1.01, 9.3169]"
ZDT6,moead,20,14,13,3,23.076923076923077,2,-0.03329579279687573,0.8304286440306405,1.0491820573028905,0.21875341327224995,"[1.01, 9.3169]"
