problema,D,N,init,maxfe,n_ger,fe_ult_ger,sum_dfe,slots_esperados,deficit_slots,ch_seeding,ch_logadas,ch_fantasma,ch_total,ch_manifesto,U10_deficit_eq_ch,U10_seed_eq_Nmais1,U10_ch_total,fe_fantasma,slots_fantasma,opt_rows,opt_esp,U10_opt_ok,U10_fe_fecha
BBOB_F1,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F17,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F22,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F37,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F49,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F5,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
BBOB_F55,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
DTLZ1,7,20,76,216,8,216,140,140,0,21,0,0,21,21,True,True,True,0,0,140,140,True,True
DTLZ2,12,20,131,371,13,371,240,240,0,21,0,0,21,21,True,True,True,0,0,240,240,True,True
DTLZ3,12,20,131,371,13,371,240,240,0,21,0,0,21,21,True,True,True,0,0,240,240,True,True
DTLZ4,12,20,131,371,13,371,240,240,0,21,0,0,21,21,True,True,True,0,0,240,240,True,True
DTLZ7,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
MMF1,2,20,21,61,3,55,34,40,6,21,6,0,27,27,True,True,True,6,6,40,40,True,True
MMF11_L,2,20,21,61,3,55,34,40,6,21,6,0,27,27,True,True,True,6,6,40,40,True,True
MMF16_20,20,20,219,619,21,619,400,400,0,21,0,0,21,21,True,True,True,0,0,400,400,True,True
MMF4,2,20,21,61,3,57,36,40,4,21,4,1,26,26,True,True,True,4,5,40,40,True,True
WFG1,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
WFG2,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
WFG4,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
WFG5,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
WFG9,22,20,241,681,23,681,440,440,0,21,0,0,21,21,True,True,True,0,0,440,440,True,True
ZDT1,30,20,329,929,31,929,600,600,0,21,0,0,21,21,True,True,True,0,0,600,600,True,True
ZDT3,30,20,329,929,31,929,600,600,0,21,0,0,21,21,True,True,True,0,0,600,600,True,True
ZDT4,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
ZDT6,10,20,109,309,11,309,200,200,0,21,0,0,21,21,True,True,True,0,0,200,200,True,True
