label,veredito,detalhe
BBOB_F1,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F17,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F22,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F37,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F49,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F5,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
BBOB_F55,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
DTLZ1,OK,"140/140 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
DTLZ2,OK,"240/240 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
DTLZ3,OK,"240/240 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
DTLZ4,OK,"240/240 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
DTLZ7,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
MMF1,OK,"40/40 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
MMF11_L,OK,"40/40 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
MMF16_20,OK,"400/400 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
MMF4,OK,"40/40 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
WFG1,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
WFG2,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
WFG4,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
WFG5,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
WFG9,OK,"440/440 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
ZDT1,OK,"600/600 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
ZDT3,OK,"600/600 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
ZDT4,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
ZDT6,OK,"200/200 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
q10_DTLZ2,OK,"2000/2000 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
q10_MMF16_20,OK,"2000/2000 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
q10_WFG9,OK,"2000/2000 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
q10_ZDT1,OK,"2000/2000 bit-idênticos (frac=1.000000, max|ΔX|=0, 0 com id ÓRFÃO na ①)"
q10_ZDT4,RUIM,"0/2000 bit-idênticos (frac=0.000000, max|ΔX|=9.99983, 0 com id ÓRFÃO na ①)"
