exp,prob,D,M,q,G,A01_FE,fe,maxfe,A01_feidx,A01_parada,A02_init,A02_hash,A03_fits,A03_ntreino,A06_ftm,A06_mono,A04_cad,n_blocos,A04_2000,A04_man,A07_cache,A07_clamp,A07_nger,A08_pop,npop,A08_sur,A10_K10,A17_min,A17_sub1000,A24_seeds,A24_distintas,A18_zs,pred_nula,nfoot,status
main,BBOB_F1,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
main,BBOB_F17,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
main,BBOB_F22,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,497,1,200,200,1,1,2,ok
main,BBOB_F37,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,764,1,200,200,1,1,2,ok
main,BBOB_F49,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
main,BBOB_F5,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
main,BBOB_F55,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,111,2,200,200,1,1,2,ok
main,DTLZ1,7,3,1,140,1,216,216,1,1,1,1,1,140,140,1,1,71,1,1,1,1,1,1,20510,1,140,1000,0,140,140,1,1,2,ok
main,DTLZ2,12,3,1,240,1,371,371,1,1,1,1,1,240,240,1,1,121,1,1,1,1,1,1,60360,1,240,1000,0,240,240,1,1,2,ok
main,DTLZ3,12,3,1,240,1,371,371,1,1,1,1,1,240,240,1,1,121,1,1,1,1,1,1,60360,1,240,1000,0,240,240,1,1,2,ok
main,DTLZ4,12,3,1,240,1,371,371,1,1,1,1,1,240,240,1,1,121,1,1,1,1,1,1,60360,1,240,1000,0,240,240,1,1,2,ok
main,DTLZ7,22,3,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,MMF1,2,2,1,40,1,61,61,1,1,1,1,1,40,40,1,1,21,1,1,1,1,1,1,1660,1,40,338,1,40,40,1,1,2,ok
main,MMF11_L,2,2,1,40,1,61,61,1,1,1,1,1,40,40,1,1,21,1,1,1,1,1,1,1660,1,40,1000,0,40,40,1,1,2,ok
main,MMF16_20,20,3,1,400,1,619,619,1,1,1,1,1,400,400,1,1,201,1,1,1,1,1,1,167800,1,400,1000,0,400,400,1,1,2,ok
main,MMF4,2,2,1,40,1,61,61,1,1,1,1,1,40,40,1,1,21,1,1,1,1,1,1,1660,1,40,1000,0,40,40,1,1,2,ok
main,WFG1,22,2,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,WFG2,22,2,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,WFG4,22,2,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,WFG5,22,2,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,WFG9,22,2,1,440,1,681,681,1,1,1,1,1,440,440,1,1,221,1,1,1,1,1,1,203060,1,440,1000,0,440,440,1,1,2,ok
main,ZDT1,30,2,1,600,1,929,929,1,1,1,1,1,600,600,1,1,301,1,1,1,1,1,1,377700,1,600,1000,0,600,600,1,1,2,ok
main,ZDT3,30,2,1,600,1,929,929,1,1,1,1,1,600,600,1,1,301,1,1,1,1,1,1,377700,1,600,1000,0,600,600,1,1,2,ok
main,ZDT4,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
main,ZDT6,10,2,1,200,1,309,309,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,41900,1,200,1000,0,200,200,1,1,2,ok
batch,DTLZ2,12,3,10,200,1,2131,2131,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,227200,1,200,1000,0,200,200,1,1,2,ok
batch,MMF16_20,20,3,10,200,1,2219,2219,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,244800,1,200,1000,0,200,200,1,1,2,ok
batch,WFG9,22,2,10,200,1,2241,2241,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,249200,1,200,1000,0,200,200,1,1,2,ok
batch,ZDT1,30,2,10,200,1,2329,2329,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,266800,1,200,1000,0,200,200,1,1,2,ok
batch,ZDT4,10,2,10,200,1,2109,2109,1,1,1,1,1,200,200,1,1,101,1,1,1,1,1,1,222800,1,200,1000,0,200,200,1,1,2,ok
