problema,n_blocos,rho_prev_med,rho_cur_med,viol_prev,viol_cur,ez_fracpos_med,true_fracpos_med,blocos_ez_zero,blocos_true_zero,conf_med
BBOB_F1,100,0.5382174021510919,0.5334793293212989,0.0,0.0,0.0005,0.0,0.31,0.89,1.0
BBOB_F17,100,0.3340401721559653,0.3148812151451264,0.0,0.0,0.0015,0.0005,0.16,0.48,1.0
BBOB_F22,100,0.5877500514350753,0.5938160747909964,0.0,0.0,0.02525,0.0225,0.21,0.31,1.0
BBOB_F37,100,0.7631192563399759,0.7631132736548992,0.0,0.0,0.58275,0.562,0.0,0.0,1.0
BBOB_F49,100,0.2826704807387054,0.2805005377034338,0.0,0.0,0.49775,0.4885,0.0,0.0,1.0
BBOB_F5,100,0.5995891253155425,0.568814183897974,0.0,0.0,0.0005,0.0,0.24,0.91,1.0
BBOB_F55,100,0.011497720752123542,0.011546915212127746,0.0,0.0,0.34099999999999997,0.0185,0.1,0.16,1.0
DTLZ1,70,0.009893163343325757,0.009893163343325757,0.0,0.0,0.08125,0.008,0.0,0.0,1.0
DTLZ2,120,0.18803398781426156,0.18480648809647707,0.0,0.0,0.027,0.0035,0.0,0.31666666666666665,1.0
DTLZ3,120,-0.003795768314912059,-0.003795768314912059,0.0,0.0,0.018,0.002,0.0,0.0,1.0
DTLZ4,120,0.3445551669006483,0.3447443446503834,0.0,0.0,0.021249999999999998,0.0,0.016666666666666666,0.6083333333333333,1.0
DTLZ7,220,0.5355378667441406,0.5314467218649956,0.0,0.0,0.0,0.0,0.8318181818181818,0.9454545454545454,1.0
MMF1,20,0.1353922536118452,0.13357925233366208,0.0,0.0,0.65125,0.378,0.0,0.0,0.9998361766338348
MMF11_L,21,0.41384374164082144,0.3935844249640579,0.0,0.0,0.256,0.069,0.0,0.14285714285714285,1.0
MMF16_20,200,0.03599050353950384,0.03603051806672429,0.0,0.0,0.03575,0.0025,0.0,0.115,1.0
MMF4,20,0.1217694519845571,0.10439710229603646,0.0,0.0,0.35175,0.09075,0.0,0.0,0.9999794661998749
WFG1,220,-0.0034736456228143626,-0.0034736456228143626,0.0,0.0,0.02425,0.0,0.00909090909090909,0.8363636363636363,1.0
WFG2,220,0.04889151317618798,0.048613361987049984,0.0,0.0,0.0445,0.076,0.0,0.0,1.0
WFG4,220,0.12258400124317029,0.12255382675660206,0.0,0.0,0.122,0.0325,0.0,0.17272727272727273,1.0
WFG5,220,-0.004077934739876106,-0.004527684229677673,0.0,0.0,0.029249999999999998,0.01175,0.0,0.07727272727272727,1.0
WFG9,220,0.043700893060037285,0.039326584160846764,0.0,0.0,0.046,0.0085,0.0,0.07727272727272727,1.0
ZDT1,300,0.7278187911561891,0.6739034514161244,0.0,0.0,0.0,0.0,0.7566666666666667,0.97,1.0
ZDT3,300,0.11711962354091579,0.13453047015827974,0.0,0.0,0.0,0.0,0.5366666666666666,0.91,1.0
ZDT4,101,0.11038054922258328,0.09767181695834914,0.0,0.0,0.0045,0.0,0.1485148514851485,0.8217821782178217,1.0
ZDT6,100,0.2720336103389013,0.29327010957405275,0.0,0.0,0.0,0.0,0.7,0.91,1.0
