problema,igd_plus,hv,igd,gd,n_nd,piso_melhor,piso_alg,razao_vs_piso,bate_piso,dentro_ruido,rank_igdplus,n_algs,traj_n,traj_violacoes,traj_max_subida,traj_ini,traj_fim,traj_fe_ini,traj_fe_fim,traj_ganho,maquina,wall_s
BBOB_F1,0.0384134741056703,0.9610959085410742,0.0805898618964578,0.02290647243497,62,0.1359531134257377,nsga2,0.28254942559041185,True,True,6,17,20,0,0.0,1.6651151931674129,0.03841347410567031,0,308,43.34716481479661,v6,1044.8088
BBOB_F17,0.0195475148710183,1.12858174011569,0.1734640955098278,0.0315747678275531,15,0.0206141256299147,nsga2,0.948258258533723,True,True,3,17,20,0,0.0,2.4167899424756034,0.01954751487101839,0,308,123.6366851961726,v6,1788.4302
BBOB_F22,0.0518361967717164,0.984722169700322,0.137046558126343,0.0175712895837538,18,0.1591300073706684,smsemoa,0.3257474666671265,True,True,3,17,20,0,0.0,6.550407018400444,0.05183619677171644,0,308,126.36743099128299,v6,1170.9984
BBOB_F37,0.1388659997532861,0.7183587662888555,0.1683885877750034,0.1234064052588011,15,0.2539185871646663,smsemoa,0.5468918258561017,True,True,2,17,20,0,0.0,1.182738987190214,0.13886599975328617,0,308,8.5171243449909,v6,1553.9396
BBOB_F49,0.0925413777450444,0.9389798683029014,0.2035199635262773,0.0683652196098593,16,0.2070601036537373,nsga2,0.44693002713743246,True,True,2,17,20,0,-0.00033481557561708397,1.3383037553621309,0.09254137774504449,0,308,14.46167960724786,v6,1816.4583
BBOB_F5,0.1075095972153078,0.7127144359944106,0.1410683710773507,0.0539759534928291,35,0.1192824482234564,smsemoa,0.9013027383031738,True,True,10,17,20,0,0.0,0.9165469299595926,0.10750959721530781,0,308,8.525256848688944,v6,1244.1348
BBOB_F55,0.4517345459656069,0.5550179336466244,0.4529758068588623,0.2765383538904115,22,0.6061479210199184,nsga2,0.7452546322447299,True,True,7,16,20,0,0.0,1.388541999942182,0.4517345459656069,0,308,3.073800780443078,v6,1656.1431
DTLZ1,54.67301493709471,0.0,54.673969893155714,177.52867035717497,34,45.34570273153767,nsga2,1.2056934095999785,False,True,3,17,20,0,0.0,541.7753550899159,54.67301493709471,0,215,9.909374043360659,v6,710.7661
DTLZ2,0.1349671331982961,0.4836517067489796,0.1749451233048972,0.1526518957117833,61,0.1700820491933293,smsemoa,0.7935413163142296,True,True,6,16,20,0,-0.0005246495502677084,1.6297304711986438,0.13496713319829617,0,370,12.07501732147051,v6,1347.3818
DTLZ3,187.57772767667743,0.0,187.578024943908,272.6152016626341,19,129.76799112603217,smsemoa,1.4454853315445084,False,True,2,16,20,0,0.0,914.1600619307801,187.57772767667745,0,370,4.873500032511815,v6,2262.1675
DTLZ4,0.116479171704431,0.5351522534034192,0.1812254922295946,0.0783343949247261,46,0.2823977915542932,nsga3,0.41246488176603524,True,True,1,15,20,0,0.0,1.2302654075242083,0.11647917170443109,0,370,10.5621064223056,v6,3730.9077
DTLZ7,0.0431727082012305,0.5201405265461153,0.0735250322093853,0.0243939311285528,97,1.1247085866087754,nsga3,0.03838568382535869,True,True,2,15,20,0,0.0,2.9506393479468724,0.04317270820123059,0,680,68.34501403511136,v6,7658.648
MMF1,0.0411215723373266,0.7835426983403075,0.0668825974811304,0.0436783779206459,16,0.0570132770384747,nsga3,0.7212630894655682,True,True,4,17,20,0,0.0,2.8112970162129414,0.04112157233732663,0,60,68.36550395377483,v6,100.1526
MMF11_L,0.0187438608930259,1.01011227393056,0.063422936991797,0.0019480003276937,23,0.0231565498976292,nsga3,0.8094409994532443,True,True,6,17,20,0,0.0,0.5728206234612008,0.01874386089302592,0,60,30.56043932092623,v6,86.0175
MMF16_20,0.0290650915416285,0.7278657811101983,0.0644703927719309,0.0182064069026189,179,0.0316158421272363,smsemoa,0.9193204920703222,True,True,6,15,20,0,-0.00048651241550072555,0.8559201840763245,0.029065091541628594,0,618,29.448391134444886,v6,7360.1115
MMF4,0.0260254335445913,0.4828271534225741,0.0326253064123313,0.0250119661701712,22,0.0377119334276083,nsga3,0.6901113567817899,True,True,6,17,20,0,0.0,0.3675238638476179,0.026025433544591386,0,60,14.121719172051865,v6,88.9951
WFG1,0.9541047111322448,0.0,0.9866544236734356,0.4755365609722341,29,0.4953917959793528,smsemoa,1.9259598541515017,False,False,14,14,20,0,0.0,1.1163446066331106,0.9541047111322447,0,680,1.1700441194848878,v6,13047.0624
WFG2,0.1806986450655352,0.5026898583673827,0.1888851283090134,0.1429991397830962,16,0.1227556938180429,nsga2,1.4720184412250517,False,True,10,16,20,0,0.0,0.6595702461706784,0.1806986450655352,0,680,3.6501117422959513,v6,15342.2887
WFG4,0.0688252629993581,0.2851842112117082,0.0696619358199587,0.0790960183914239,47,0.044424346453198,smsemoa,1.5492690043705422,False,True,4,16,20,0,-0.0009944588713052538,0.32820668172874007,0.06882526299935818,0,680,4.768694915583551,v6,20219.5687
WFG5,0.0767030162215842,0.3014905712129168,0.080892788409296,0.068810287804075,40,0.0930752077028518,nsga2,0.8240971802766554,True,True,7,16,20,0,-8.079284945911036e-05,0.5435150445367514,0.07670301622158424,0,680,7.0859670363758935,v6,15090.469
