problema,n,viol,primeiro,ultimo,razao
BBOB_F1,20,0,1.6651151931674129,0.21337187727727286,0.12814241210026614
BBOB_F17,20,0,2.4167899424756034,0.0169204487831311,0.007001207877337857
BBOB_F22,20,0,6.550407018400444,0.3939757683544823,0.060145234830108
BBOB_F37,20,0,1.182738987190214,0.3033641959030862,0.2564929364709423
BBOB_F49,20,0,1.3383037553621309,0.162843998687037,0.1216794005356229
BBOB_F5,20,0,0.9165469299595926,0.1859655589315876,0.20289802175190982
BBOB_F55,20,0,1.388541999942182,0.5271076846291465,0.37961234492805757
DTLZ1,20,0,541.7753550899159,81.2096098224797,0.14989535618319466
DTLZ2,20,0,1.6297304711986438,0.2208024716231953,0.13548404200898212
DTLZ3,20,0,914.1600619307801,278.8299214290226,0.30501214507239705
DTLZ4,20,0,1.2302654075242083,0.27988907538121455,0.22750300355470823
DTLZ7,20,0,2.9506393479468724,1.5632026117992457,0.5297843712709114
MMF1,20,0,2.8112970162129414,0.06041792338115821,0.021491120658089106
MMF11_L,20,0,0.5728206234612008,0.04409122948793195,0.07697214046085826
MMF16_20,20,0,0.8559201840763245,0.03632974060366045,0.04244524346959533
MMF4,20,0,0.3675238638476179,0.03955745793162631,0.10763235213490123
WFG1,20,0,1.1163446066331106,0.49039665511002595,0.43928787956351545
WFG2,20,0,0.6595702461706784,0.1514954122993829,0.22968806306672013
WFG4,20,0,0.32820668172874007,0.06511147728644355,0.19838559332030178
WFG5,20,0,0.5435150445367514,0.09743326906914429,0.1792650820773298
WFG9,20,0,0.6928485995065304,0.14255115083449027,0.20574646601872312
ZDT1,20,0,3.825360846748847,0.6580361195506702,0.1720193586730338
ZDT3,20,0,2.5208579962367232,0.31883310575314555,0.12647801114902835
ZDT4,20,0,160.0026906116995,56.58151700418569,0.35362853454445853
ZDT6,20,0,8.952705826241381,7.227790529503339,0.8073302831327125
