problema,D,M,maxfe,maxfe_esp,fe_final,n_linhas1,n_init,init_esp,fe_dense,sid_dense,doe_ok,doe_dmax,n_geracoes,n_gen_events,n_tim,N,K_refs,gmax,status,termino,cp_init,cache_hits,guards,n_online3,n_lote,arit_ok,arc_final,arc_ok,n_infill_unico,rr_exato,tr_ok,ntrein_ok_round,ntrein_ok_floor,rr_code_ok,rr_paper_ok,refs6,refs_in_pop,refs_lt_arq,pop_size_modal,pop_grupos,lote_eq_online3,classe_L_ok,Lbom_min,Lruim_max,infill_acc,infill_tpr,mu_null,sigma_null,predscore_null,n_sonda_blocos,sonda_S,sonda_k,cad_ok,n_final_probe,sonda_gens_max,ult_gen,blocos_2000,n_blocos_man,t_ok1,t_ok2,ftm_quedas,ftm_min,ftm_max,stalls,ramo_counts,guard_randperm,wall_s,t_fit,t_busca,t_aval,t_sonda,gate_json
BBOB_F1,10,2,309,309,309,309,109,109,True,True,True,2.375113989927513e-07,201,200,200,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",200,200,True,309,True,200,200,200,83,17,200,0,200,200,200,109,201,200,1.0,0.5007796287536621,0.4994106590747833,0.72,0.5,1.0,1.0,1.0,101,2000,2,True,0,200,200,101,101,1.0,1.0,6,108,306,0,"{""4"": 200}",0,387.04283,352.711296916008,5.77969500166364,0.13741999999999985,9.692544999999997,"{""size"":{""4"":200},""min"":{""4"":0.024460759},""max"":{""4"":0.5948371291},""median"":{""4"":0.1716347635}}"
BBOB_F17,10,2,309,309,309,309,109,109,True,True,True,2.3787903291605517e-07,201,200,200,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",200,200,True,309,True,200,200,200,57,6,200,0,200,200,200,109,201,200,1.0,0.5000103116035461,0.499790757894516,0.835,1.0,1.0,1.0,1.0,101,2000,2,True,0,200,200,101,101,1.0,1.0,6,108,306,0,"{""4"": 200}",0,382.549279,348.3142808675766,5.646187022561207,0.20588599999999987,9.689839999999995,"{""size"":{""4"":200},""min"":{""4"":0.0276634581},""max"":{""4"":0.6142585874},""median"":{""4"":0.1529363692}}"
BBOB_F22,10,2,309,309,309,309,109,109,True,True,True,2.345476923792944e-07,205,204,204,50,6,3000,ok,normal,True,3,"{""cache_hit"": 3, ""stall_0fe"": 2}",202,202,True,311,True,200,204,204,72,15,204,0,204,204,204,148,205,204,1.0,0.5000482797622681,0.4998796284198761,0.806930693069307,0.8,1.0,1.0,1.0,103,2000,2,True,0,204,204,103,103,1.0,1.0,8,108,306,2,"{""4"": 202, ""1"": 2}",0,381.322468,346.8352766633034,6.7791740053799,0.17502000000000006,9.475670000000003,"{""size"":{""4"":202},""min"":{""4"":0.0244674776},""max"":{""4"":0.6019760966},""median"":{""4"":0.1601071358}}"
BBOB_F37,10,2,309,309,309,309,109,109,True,True,True,2.3685163252906705e-07,202,201,201,50,6,3000,ok,normal,True,2,"{""cache_hit"": 2}",201,201,True,310,True,200,201,201,83,6,201,0,201,201,201,109,202,201,1.0,0.500127911567688,0.49982839822769165,0.8109452736318408,0.6666666666666666,1.0,1.0,1.0,102,2000,2,False,1,201,201,102,102,1.0,0.9950248756218906,15,108,306,0,"{""4"": 201}",0,380.547434,346.71231067180634,5.569592998363078,0.20053799999999983,9.762842999999995,"{""size"":{""4"":201},""min"":{""4"":0.023285877},""max"":{""4"":0.5856431723},""median"":{""4"":0.1559024751}}"
BBOB_F49,10,2,309,309,309,309,109,109,True,True,True,2.365150315597475e-07,201,200,200,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",200,200,True,309,True,200,200,200,69,8,200,0,200,200,200,109,201,200,1.0,0.5001876950263977,0.4994424879550934,0.83,1.0,1.0,1.0,1.0,101,2000,2,True,0,200,200,101,101,1.0,1.0,10,108,307,0,"{""4"": 200}",0,384.33733,349.8450325727463,5.7552469852380455,0.6546069999999998,9.625041999999999,"{""size"":{""4"":200},""min"":{""4"":0.0046256701},""max"":{""4"":0.6050223708},""median"":{""4"":0.1805088669}}"
BBOB_F5,10,2,309,309,309,309,109,109,True,True,True,2.3727650955152058e-07,201,200,200,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",200,200,True,309,True,200,200,200,61,9,200,0,200,200,200,109,201,200,1.0,0.5003077983856201,0.4997415542602539,0.795,1.0,1.0,1.0,1.0,101,2000,2,True,0,200,200,101,101,1.0,1.0,10,108,307,0,"{""4"": 200}",0,386.176481,351.6653382778168,5.7441839936655015,0.15531199999999995,9.667211999999997,"{""size"":{""4"":200},""min"":{""4"":0.0254767761},""max"":{""4"":0.6985052228},""median"":{""4"":0.1694767773}}"
BBOB_F55,10,2,309,309,309,309,109,109,True,True,True,2.3578255614609134e-07,201,200,200,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",200,200,True,309,True,200,200,200,81,14,200,0,200,200,200,109,201,200,1.0,0.5006151795387268,0.49965763092041016,0.85,1.0,1.0,1.0,1.0,101,2000,2,True,0,200,200,101,101,1.0,1.0,8,108,307,0,"{""4"": 200}",0,382.861954,347.8054602742195,5.619355002650991,1.1733830000000003,9.543887999999999,"{""size"":{""4"":200},""min"":{""4"":0.0133708343},""max"":{""4"":0.5745309591},""median"":{""4"":0.1383232176}}"
DTLZ1,7,3,216,216,216,216,76,76,True,True,True,2.968073053999376e-08,141,140,140,50,6,3000,ok,normal,True,1,"{""cache_hit"": 1}",140,140,True,216,True,140,140,140,57,9,140,0,140,140,140,76,141,140,1.0,0.5000088810920715,0.4999809265136719,0.6214285714285714,0.6551724137931034,1.0,1.0,1.0,71,2000,2,True,0,140,140,71,71,1.0,1.0,6,75,214,0,"{""4"": 140}",0,219.848599,191.95356971025467,4.537406999617815,0.10629,7.514951,"{""size"":{""4"":140},""min"":{""4"":0.0143143665},""max"":{""4"":0.756520927},""median"":{""4"":0.3533440828}}"
DTLZ2,12,3,371,371,371,371,131,131,True,True,True,2.976508484131557e-08,271,270,270,50,6,3000,ok,normal,True,1,"{""stall_0fe"": 36, ""cache_hit"": 1}",240,240,True,371,True,240,270,270,98,14,270,0,270,270,270,257,271,270,1.0,0.5000028610229492,0.49999672174453735,0.65,0.8571428571428571,1.0,1.0,1.0,136,2000,2,True,0,270,270,136,136,1.0,1.0,10,130,368,36,"{""4"": 223, ""1"": 47}",0,654.01407,583.0666207075119,34.80627420381643,0.16864699999999982,12.64802200000001,"{""size"":{""1"":17,""4"":223},""min"":{""1"":0.901114881,""4"":0.1410715729},""max"":{""1"":0.9657031894,""4"":0.9200085998},""median"":{""1"":0.9266729951,""4"":0.5680640936}}"
DTLZ3,12,3,371,371,371,371,131,131,True,True,True,2.9797159739608503e-08,244,243,243,50,6,3000,ok,normal,True,3,"{""cache_hit"": 3, ""stall_0fe"": 1}",242,242,True,373,True,240,243,243,86,15,243,0,243,243,243,340,244,243,1.0,0.5000051259994507,0.49999290704727173,0.5785123966942148,0.6875,1.0,1.0,1.0,123,2000,2,False,1,243,243,123,123,1.0,0.9958847736625515,7,130,369,1,"{""4"": 242, ""1"": 1}",0,562.25298,521.0230736732483,7.498196988366544,0.175877,11.558683999999996,"{""size"":{""4"":242},""min"":{""4"":0.00147552},""max"":{""4"":0.883112669},""median"":{""4"":0.2676579952}}"
