problema,n_gen,b2_eq_ntreino,inc_ok,n_grupos2,dup2,t1,fit_pos,t4_sum,t5,razao_t4_t5,fs_ok,ftm_lt_nt,ftm_ge_nac,ftm_eq_nt_menos1
BBOB_F1,200,200,200,201,0,200,200,368.6,387.04,0.9524,200,200,200,156
BBOB_F17,200,200,200,201,0,200,200,364.04,382.55,0.9516,200,200,200,154
BBOB_F22,204,204,204,205,164,204,204,363.36,381.32,0.9529,204,204,204,79
BBOB_F37,201,201,201,202,63,201,201,362.17,380.55,0.9517,201,201,201,105
BBOB_F49,200,200,200,201,0,200,200,365.94,384.34,0.9521,200,200,200,151
BBOB_F5,200,200,200,201,0,200,200,367.51,386.18,0.9517,200,200,200,157
BBOB_F55,200,200,200,201,0,200,200,364.05,382.86,0.9509,200,200,200,151
DTLZ1,140,140,140,141,0,140,140,204.68,219.85,0.931,140,140,140,111
DTLZ2,270,270,270,271,0,270,270,631.18,654.01,0.9651,270,270,270,215
DTLZ3,243,243,243,244,109,243,243,540.67,562.25,0.9616,243,243,243,115
DTLZ4,338,338,338,339,0,338,338,1013.13,1045.11,0.9694,338,338,338,241
DTLZ7,423,423,423,424,77,423,423,1714.03,1746.92,0.9812,423,423,423,264
MMF1,45,45,45,46,25,45,45,43.58,53.96,0.8076,45,45,45,17
MMF11_L,42,42,42,43,74,42,42,44.76,53.3,0.8398,42,42,42,1
MMF16_20,90,90,90,91,0,90,90,284.45,302.12,0.9415,90,90,90,68
MMF4,50,50,50,51,135,50,50,42.27,50.82,0.8317,50,50,50,2
WFG1,185,185,185,186,0,185,185,837.56,861.33,0.9724,185,185,185,135
WFG2,443,443,443,444,320,443,443,1719.29,1753.58,0.9804,443,443,443,88
WFG4,274,274,274,275,48,274,274,1162.25,1185.5,0.9804,274,274,274,162
WFG5,370,370,370,371,0,370,370,1459.88,1489.15,0.9803,370,370,370,278
WFG9,442,442,442,443,58,442,442,1878.1,1913.16,0.9817,442,442,442,304
ZDT1,557,557,557,558,0,557,557,3284.95,3327.13,0.9873,557,557,557,440
ZDT3,547,547,547,548,94,547,547,3118.18,3168.09,0.9842,547,547,547,355
ZDT4,201,201,201,202,44,201,201,375.39,394.71,0.9511,201,201,201,120
ZDT6,203,203,203,204,0,203,203,383.97,402.87,0.9531,203,203,203,161
