problema,blocos,auc_calc,auc_1o,auc_ult,auc_med,auc_q1,auc_q3,frac_auc_gt05,acc_med,base_med,fracbom_1o,fracbom_ult,L_med_1o,L_med_ult,auc_q1blocos,auc_q4blocos,delta_auc
BBOB_F1,101.0,101.0,0.606346183381969,0.9627127127127127,0.9002938857429575,0.8404165368697433,0.9493209255533199,1.0,0.9935,0.006,0.0,0.0,0.1252487152814865,0.03419708088040352,0.8062480774414779,0.9543931174950085,0.14814504005353069
BBOB_F17,101.0,101.0,0.7244307782414525,0.6207644800534134,0.7007283045018894,0.6238741730651718,0.8337029642144064,0.9900990099009901,0.988,0.012,0.012,0.0,0.11564144864678383,0.034239038825035095,0.7651774584860879,0.8454885994656648,0.08031114097957692
BBOB_F22,103.0,100.0,0.8882939608419892,0.9769884942471235,0.9275525525525525,0.876742176883664,0.9593451583077467,0.9611650485436893,0.9985,0.0015,0.008,0.0,0.09133679419755936,0.0697944164276123,0.8586017236681661,0.9530765382691345,0.0944748146009684
BBOB_F37,102.0,102.0,0.6696549282173437,0.7094594594594594,0.7812643552311173,0.7333855291835347,0.8330917859646052,0.9607843137254902,0.996,0.00375,0.006,0.0,0.11331987008452415,0.026063935831189156,0.7618821623029757,0.7095438690562134,-0.05233829324676231
BBOB_F49,101.0,101.0,0.7612395572654042,0.8773366834170854,0.8355272622644224,0.7776863659216601,0.8771645569620253,0.9900990099009901,0.993,0.007,0.0055,0.0005,0.09989068657159805,0.02149710524827242,0.7421438877069114,0.865767445866106,0.12362355815919457
BBOB_F5,101.0,62.0,0.7270131724093181,0.3501750875437719,0.7588133854037943,0.6817305586572836,0.8281440810694569,0.5841584158415841,0.9925,0.0075,0.0065,0.001,0.12364590540528297,0.015695233829319477,0.7025617863406917,0.6718828882994131,-0.030678898041278546
BBOB_F55,101.0,101.0,0.5810136554621849,0.8617234468937875,0.729316682959067,0.6722554498807073,0.7874345068480559,1.0,0.989,0.0105,0.0,0.0,0.10552706941962242,0.02896412368863821,0.6243052978155696,0.8054033314198152,0.1810980336042456
DTLZ1,71.0,71.0,0.5222019770161117,0.546567300101576,0.5369735908372948,0.5169820967618748,0.5529753988167337,0.9154929577464789,0.8125,0.111,0.087,0.126,0.32600320875644684,0.15520914644002914,0.5350243805023416,0.5482479145653925,0.013223534063050879
DTLZ2,136.0,136.0,0.5461203150842374,0.6267894942317128,0.5772697167600966,0.5572601423253459,0.6025370523282686,1.0,0.593,0.29725,0.429,0.101,0.46631787717342377,0.2563101202249527,0.5556789596342797,0.6348821008511781,0.07920314121689842
DTLZ3,123.0,123.0,0.5955419477530345,0.6698085357624831,0.6754511520866661,0.507521387118345,0.766247144634699,0.8211382113821138,0.9185,0.037,0.156,0.029,0.26448479294776917,0.09013969078660011,0.5217673403138774,0.7814787599596666,0.25971141964578925
DTLZ4,171.0,170.0,0.9510368943355296,0.4998924808257473,0.48477498286949894,0.4529962009891764,0.5220440782024931,0.3742690058479532,0.951,0.0035,0.4835,0.064,0.4704964756965637,0.051629578694701195,0.5302543869324277,0.5142602211267708,-0.015994165805656824
DTLZ7,213.0,24.0,0.7344298818074441,0.3696848424212106,0.7588824745010883,0.6929714857428715,0.8076232620503555,0.107981220657277,0.9975,0.0,0.0515,0.0055,0.0913911908864975,0.004201829666271806,0.7709861319853794,0.648490912122728,-0.12249521986265133
MMF1,24.0,24.0,0.4867307398932113,0.5068099936147219,0.510185507614636,0.4865745452489186,0.5234245149068835,0.6666666666666666,0.5882499999999999,0.308,0.3465,0.328,0.4500218629837036,0.47713908553123474,0.4896997405185583,0.5013718525925753,0.011672112074017027
MMF11_L,22.0,22.0,0.6193147087148319,0.6654050041982877,0.652065334848778,0.4741249232288334,0.7267482235989318,0.7272727272727273,0.582,0.473,0.2055,0.36,0.3969808667898178,0.45090270042419434,0.6751357406432485,0.501335637231703,-0.1738001034115455
MMF16_20,47.0,46.0,0.6987317627114192,0.6784648715164912,0.6501284642242116,0.6376299079374809,0.6711801884660397,0.9787234042553191,0.706,0.253,0.4325,0.1085,0.43011799454689026,0.11803977191448212,0.6427354752899258,0.668519601737123,0.025784126447197186
MMF4,26.0,26.0,0.5458246642660796,0.4508507391838596,0.5157361315744774,0.4645327283300511,0.5368756358943688,0.6153846153846154,0.5387500000000001,0.4035,0.2975,0.0,0.43625374138355255,0.3033742308616638,0.4908582633187855,0.5161851299037862,0.025326866585000662
WFG1,94.0,93.0,0.8485345609889734,0.911725664620424,0.8770181171032705,0.8669697229608028,0.8860894683649553,0.9893617021276596,0.802,0.4235,0.329,0.0795,0.2751883268356323,0.010694934986531734,0.8724378104759561,0.8663846706875453,-0.006053139788410822
