problema,ger,log,f32,certo,delta,bracket,nadir_f1_bate_f32,nadir_aponta_sids,tie_dependentes,dominador_e_coord,colisao_linha_f32
DTLZ3,18,9,10,10,-1,False,True,[],[],[],"[[340, 351]]"
DTLZ4,1,15,7,15,8,True,False,"[35, 93, 116, 56, 33, 23, 25, 3]","[35, 93, 116, 56, 33, 23, 25, 3]","[(23, [1, 2]), (35, [1, 2]), (25, [1]), (25, [1]), (58, [2]), (25, [1, 2]), (58, [1, 2]), (35, [1, 2])]",[]
DTLZ4,2,12,11,12,1,True,False,[135],[135],"[(140, [1])]",[]
DTLZ4,3,12,10,15,2,True,False,"[152, 152, 8]","[152, 148, 152, 141, 8]","[(154, [2]), (152, [2]), (154, [2]), (158, [2]), (154, [2])]",[]
DTLZ4,4,12,8,13,4,True,False,"[152, 162, 152]","[152, 162, 152, 168, 170]","[(154, [2]), (154, [1, 2]), (154, [2]), (158, [2]), (158, [2])]",[]
DTLZ4,5,9,8,12,1,True,False,[176],"[176, 181, 168, 185]","[(154, [1, 2]), (182, [1]), (186, [2]), (186, [2])]",[]
DTLZ4,6,9,7,12,2,True,False,[196],"[193, 191, 196, 168, 199]","[(196, [1]), (195, [2]), (182, [1]), (201, [2]), (201, [2])]",[]
DTLZ4,7,12,9,13,3,True,False,"[202, 205]","[202, 205, 168, 213]","[(206, [1]), (154, [2]), (214, [2]), (214, [1, 2])]",[]
DTLZ4,8,13,12,15,1,True,False,[205],"[205, 168, 227]","[(154, [2]), (225, [2]), (225, [2])]",[]
DTLZ4,9,13,10,15,3,True,False,"[195, 205, 195]","[195, 205, 195, 168, 241]","[(238, [2]), (238, [2]), (238, [2]), (240, [2]), (240, [2])]",[]
DTLZ4,10,11,8,13,3,True,False,"[250, 246, 250]","[250, 246, 250, 168, 256]","[(238, [2]), (238, [2]), (238, [2]), (254, [2]), (254, [1, 2])]",[]
DTLZ4,16,11,10,12,1,True,True,[],"[299, 323]","[(303, [2]), (336, [2])]",[]
DTLZ4,17,12,11,13,1,True,True,[],"[342, 323]","[(303, [1, 2]), (349, [2])]",[]
DTLZ7,9,9,8,12,1,True,True,[],"[333, 310, 343, 320]","[(337, [0, 1]), (336, [0]), (339, [0, 1]), (345, [0])]",[]
DTLZ7,16,12,11,14,1,True,True,[],"[426, 429, 425]","[(431, [1]), (433, [0, 1]), (411, [0, 1])]",[]
DTLZ7,17,11,10,15,1,True,True,[],"[440, 447, 429, 447, 425]","[(445, [1]), (451, [0]), (448, [0, 1]), (451, [0]), (411, [0, 1])]",[]
DTLZ7,18,12,11,14,1,True,True,[],"[429, 445, 469]","[(463, [0, 1]), (461, [0]), (411, [0, 1])]",[]
DTLZ7,19,12,11,14,1,True,True,[],"[474, 471, 482]","[(477, [0, 1]), (461, [0]), (481, [0, 1])]",[]
DTLZ7,27,12,11,15,1,True,False,[572],"[572, 582, 571, 588]","[(480, [0]), (578, [0, 1]), (533, [0, 1]), (587, [0, 1])]",[]
DTLZ7,30,12,13,15,-1,False,True,[],"[617, 631]","[(622, [0, 1]), (630, [1])]","[[621, 625]]"
MMF11_L,3,7,8,8,-1,False,True,[],[],[],"[[2, 38]]"
ZDT1,5,11,10,13,1,True,False,[381],"[381, 389, 397]","[(307, [0]), (388, [0]), (396, [0])]",[]
ZDT1,6,11,10,14,1,True,False,[399],"[399, 407, 397, 412]","[(400, [0]), (406, [0]), (411, [0]), (411, [0])]",[]
ZDT1,7,11,10,14,1,True,False,[414],"[414, 420, 424, 425]","[(400, [0]), (406, [0]), (425, [0]), (412, [0])]",[]
ZDT1,8,11,10,14,1,True,False,[427],"[427, 436, 424, 425]","[(400, [0]), (406, [0]), (425, [0]), (412, [0])]",[]
ZDT1,9,11,10,14,1,True,False,[444],"[444, 436, 424, 458]","[(445, [0]), (406, [0]), (458, [0]), (412, [0])]",[]
ZDT1,10,11,10,14,1,True,False,[460],"[460, 436, 424, 458]","[(445, [0]), (406, [0]), (458, [0]), (412, [0])]",[]
ZDT1,34,7,8,11,-1,False,True,[],"[828, 704, 849]","[(670, [0]), (849, [0]), (693, [0])]","[[819, 837]]"
ZDT3,34,10,11,14,-1,False,True,[],"[771, 746, 842]","[(834, [0]), (842, [0]), (810, [0])]","[[811, 829]]"
ZDT6,3,11,10,11,1,True,False,[130],[130],"[(129, [0])]",[]
