problema,ger,sidA,sidB,coordX_identicas_f32,obj_identicos_f32,X_identico_inteiro,F_identico_inteiro
ZDT1,5,381,307,"[0, 2, 8, 13, 16, 17, 20, 22, 23, 24, 25, 26, 27]",[0],False,False
ZDT1,6,399,307,"[0, 13, 16, 20, 22, 25, 27]",[0],False,False
ZDT1,7,414,307,"[0, 3, 5, 8, 13, 16, 17, 20, 22, 24, 25, 26, 27]",[0],False,False
ZDT1,8,427,307,"[0, 3, 5, 8, 13, 16, 17, 20, 22, 24, 25, 26, 27]",[0],False,False
ZDT1,9,444,307,"[0, 2, 3, 4, 5, 8, 9, 13, 15, 16, 20, 22, 24, 25, 26, 27]",[0],False,False
ZDT1,10,460,307,"[0, 2, 3, 4, 5, 8, 9, 13, 15, 16, 17, 20, 22, 23, 24, 25, 26, 27]",[0],False,False
ZDT1,34,819,837,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]","[0, 1]",False,True
ZDT3,34,811,829,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29]","[0, 1]",False,True
DTLZ7,30,621,625,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[0, 1, 2]",True,True
MMF11_L,3,2,38,"[0, 1]","[0, 1]",True,True
DTLZ3,18,340,351,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0, 1, 2]",True,True
