alg,celula,M,D,N_RV,n_ger_arquivadas_K,keys_densas,n_ger_manifesto,n_ger1,n_ger2,n_ger3,n_pop_mediana_g>=2,n_pop_max_g>=2,frac_g>=2_com_NRV,lhs_ok_g1,lhs_dim_g1,lhs_ok_g2,lhs_dim_g2,lhs_ok_g3,lhs_dim_g3,inter_g1g2,frac_g2_em_g1,frac_pais_retidos_g3_40,FE_A_antes,FE_A_final,FE_A_ok,FE_B_antes,FE_B_final,FE_B_ok,n_eventos_decision,fbest_g1_bate_mu_g1
b5m,BBOB_F1,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,0,0.0,0.23578947368421055,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F17,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,0,0.0,0.034210526315789476,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F22,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,0,0.0,0.06947368421052631,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F37,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,1,0.08333333333333333,0.15842105263157893,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F49,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,1,0.1,0.07947368421052632,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F5,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,0,0.0,0.2889473684210526,40000,40050,True,40050,40100,False,801,False
b5m,BBOB_F55,2,10,50,801,True,801,50,50,50,50.0,50,1.0,10,10,0,10,0,10,1,0.05555555555555555,0.08736842105263161,40000,40050,True,40050,40100,False,801,False
b5m,DTLZ1,3,7,105,381,True,381,105,105,105,105.0,105,1.0,7,7,0,7,0,7,0,0.0,0.3706766917293233,40279,40385,False,40385,40491,False,381,True
b5m,DTLZ2,3,12,105,381,True,381,105,105,105,105.0,105,1.0,12,12,0,12,0,12,3,0.07317073170731707,0.5857142857142857,40279,40385,False,40385,40491,False,381,False
b5m,DTLZ3,3,12,105,381,True,381,105,105,105,105.0,105,1.0,12,12,12,12,12,12,105,1.0,1.0,40279,40385,False,40385,40491,False,381,True
b5m,DTLZ4,3,12,105,381,True,381,105,105,105,105.0,105,1.0,12,12,0,12,0,12,1,0.025,0.05463659147869673,40279,40385,False,40385,40491,False,381,False
