alg,celula,M,D,N_RV,n_ger_arquivadas_K,keys_densas,n_ger_manifesto,n_ger1,n_ger2,n_ger3,n_pop_mediana_g>=2,n_pop_max_g>=2,frac_g>=2_com_NRV,lhs_ok_g1,lhs_dim_g1,lhs_ok_g2,lhs_dim_g2,lhs_ok_g3,lhs_dim_g3,inter_g1g2,frac_g2_em_g1,frac_pais_retidos_g3_40,FE_A_antes,FE_A_final,FE_A_ok,FE_B_antes,FE_B_final,FE_B_ok,n_eventos_decision
treed_media,swap_big-lhs_DTLZ2,3,12,105,1000,True,1000,76,81,87,105.0,105,0.988988988988989,0,12,0,12,0,12,54,0.6666666666666666,0.8842832398512177,105781,105887,False,105887,105993,False,0
treed_media,swap_big-lhs_MMF16_20,3,20,105,1000,True,1000,71,74,84,105.0,105,0.96996996996997,0,20,0,20,0,20,52,0.7027027027027027,0.899235135077447,105697,105803,False,105803,105909,False,0
treed_media,swap_big-lhs_WFG9,2,22,50,1000,True,1000,35,34,36,46.0,48,0.0,0,22,0,22,0,22,25,0.7352941176470589,0.9224036693351467,45384,45430,False,45430,45476,False,0
treed_media,swap_big-lhs_ZDT1,2,30,50,1000,True,1000,41,42,43,50.0,50,0.9269269269269269,0,30,0,30,0,30,35,0.8333333333333334,0.9018764693069294,49886,49936,False,49936,49986,False,0
treed_media,swap_big-lhs_ZDT4,2,10,50,1000,True,1000,36,36,35,36.0,45,0.0,0,10,0,10,0,10,24,0.6666666666666666,0.8752419673609673,37340,37376,False,37376,37412,False,0
treed_media,swap_big-mvns_DTLZ2,3,12,105,1000,True,1000,78,80,86,102.0,104,0.0,0,12,0,12,0,12,52,0.65,0.9211904298458706,102119,102221,False,102221,102323,False,0
treed_media,swap_big-mvns_MMF16_20,3,20,105,1000,True,1000,69,74,82,101.0,103,0.0,0,20,0,20,0,20,54,0.7297297297297297,0.9083032010973499,101647,101749,False,101749,101851,False,0
treed_media,swap_big-mvns_WFG9,2,22,50,1000,True,1000,36,37,38,47.0,48,0.0,0,22,0,22,0,22,27,0.7297297297297297,0.9471578342722605,46844,46892,False,46892,46940,False,0
treed_media,swap_big-mvns_ZDT1,2,30,50,1000,True,1000,40,43,43,48.0,48,0.0,0,30,0,30,0,30,30,0.6976744186046512,0.9025974445471613,47872,47920,False,47920,47968,False,0
treed_media,swap_big-mvns_ZDT4,2,10,50,1000,True,1000,36,36,40,36.0,46,0.0,0,10,0,10,0,10,24,0.6666666666666666,0.9018309256688001,37580,37618,False,37618,37656,False,0
