alg,tier,dist,problema,igd_plus,hv
c311,big,lhs,DTLZ2,0.1738949906720046,0.37998077639872846
c311,big,lhs,MMF16_20,0.007557079855307071,0.785187867179221
c311,big,lhs,WFG9,0.12532885266740024,0.20259620416771146
c311,big,lhs,ZDT1,1.6368310031755808,0.0
c311,big,lhs,ZDT4,44.295186937957276,0.0
treed_media,big,lhs,DTLZ2,0.1738949906720046,0.37998077639872846
treed_media,big,lhs,MMF16_20,0.007557079855307071,0.785187867179221
treed_media,big,lhs,WFG9,0.12532885266740024,0.20259620416771146
treed_media,big,lhs,ZDT1,1.6368310031755808,0.0
treed_media,big,lhs,ZDT4,44.295186937957276,0.0
c311,big,mvns,DTLZ2,0.19188619223746595,0.34520258556577404
c311,big,mvns,WFG9,0.14335658531070294,0.19652860216705215
c311,big,mvns,ZDT1,0.8512256172199212,0.016877419576608224
c311,big,mvns,ZDT4,45.51466063840079,0.0
treed_media,big,mvns,DTLZ2,0.19188619223746595,0.34520258556577404
treed_media,big,mvns,MMF16_20,0.00803137135219163,0.7880527202979067
treed_media,big,mvns,WFG9,0.14335658531070294,0.19652860216705215
treed_media,big,mvns,ZDT1,0.8512256172199212,0.016877419576608224
treed_media,big,mvns,ZDT4,45.51466063840079,0.0
b5m,medium,lhs,DTLZ2,0.30629440849929035,0.12222870508691011
b5m,medium,lhs,MMF16_20,0.0279673218909566,0.7158881043668531
b5m,medium,lhs,WFG9,0.184433786563433,0.13053250099065747
b5m,medium,lhs,ZDT1,1.7391326680113817,0.0
b5m,medium,lhs,ZDT4,36.384983926101,0.0
b5r,medium,lhs,DTLZ2,0.30629440849929035,0.12222870508691011
b5r,medium,lhs,MMF16_20,0.0279673218909566,0.7158881043668531
b5r,medium,lhs,WFG9,0.184433786563433,0.13053250099065747
b5r,medium,lhs,ZDT1,1.7391326680113817,0.0
b5r,medium,lhs,ZDT4,36.384983926101,0.0
c311,medium,lhs,DTLZ2,0.30629440849929035,0.12222870508691011
c311,medium,lhs,MMF16_20,0.0279673218909566,0.7158881043668531
c311,medium,lhs,WFG9,0.184433786563433,0.13053250099065747
c311,medium,lhs,ZDT1,1.7391326680113817,0.0
c311,medium,lhs,ZDT4,36.384983926101,0.0
e103,medium,lhs,DTLZ2,0.30629440849929035,0.12222870508691011
e103,medium,lhs,MMF16_20,0.0279673218909566,0.7158881043668531
e103,medium,lhs,WFG9,0.184433786563433,0.13053250099065747
e103,medium,lhs,ZDT1,1.7391326680113817,0.0
e103,medium,lhs,ZDT4,36.384983926101,0.0
moead_media,medium,lhs,DTLZ2,0.30629440849929035,0.12222870508691011
moead_media,medium,lhs,MMF16_20,0.0279673218909566,0.7158881043668531
moead_media,medium,lhs,WFG9,0.184433786563433,0.13053250099065747
moead_media,medium,lhs,ZDT1,1.7391326680113817,0.0
moead_media,medium,lhs,ZDT4,36.384983926101,0.0
b5m,medium,mvns,DTLZ2,0.3503483729551524,0.14357785006207505
b5m,medium,mvns,MMF16_20,0.028946233176537835,0.7310972634013295
b5m,medium,mvns,WFG9,0.17733311516515338,0.1517774521297575
b5m,medium,mvns,ZDT1,0.8020462495052066,0.033322253578532364
b5m,medium,mvns,ZDT4,55.05241586105082,0.0
b5r,medium,mvns,DTLZ2,0.3503483729551524,0.14357785006207505
b5r,medium,mvns,MMF16_20,0.028946233176537835,0.7310972634013295
b5r,medium,mvns,WFG9,0.17733311516515338,0.1517774521297575
b5r,medium,mvns,ZDT1,0.8020462495052066,0.033322253578532364
