alg,tier,dist,problema,igd_plus,hv
b5r,medium,mvns,ZDT4,55.05241586105082,0.0
c311,medium,mvns,DTLZ2,0.3503483729551524,0.14357785006207505
c311,medium,mvns,MMF16_20,0.028946233176537835,0.7310972634013295
c311,medium,mvns,WFG9,0.17733311516515338,0.1517774521297575
c311,medium,mvns,ZDT1,0.8020462495052066,0.033322253578532364
c311,medium,mvns,ZDT4,55.05241586105082,0.0
e103,medium,mvns,DTLZ2,0.3503483729551524,0.14357785006207505
e103,medium,mvns,MMF16_20,0.028946233176537835,0.7310972634013295
e103,medium,mvns,WFG9,0.17733311516515338,0.1517774521297575
e103,medium,mvns,ZDT1,0.8020462495052066,0.033322253578532364
e103,medium,mvns,ZDT4,55.05241586105082,0.0
moead_media,medium,mvns,DTLZ2,0.3503483729551524,0.14357785006207505
moead_media,medium,mvns,MMF16_20,0.028946233176537835,0.7310972634013295
moead_media,medium,mvns,WFG9,0.17733311516515338,0.1517774521297575
moead_media,medium,mvns,ZDT1,0.8020462495052066,0.033322253578532364
moead_media,medium,mvns,ZDT4,55.05241586105082,0.0
b5m,small,lhs,DTLZ2,0.43823498936540817,0.055088833801757726
b5m,small,lhs,MMF16_20,0.05278457747014157,0.6429137963202539
b5m,small,lhs,WFG9,0.23334643557595364,0.10872034361301738
b5m,small,lhs,ZDT1,1.9840097985661822,0.0
b5m,small,lhs,ZDT4,76.27288000105129,0.0
b5r,small,lhs,DTLZ2,0.43823498936540817,0.055088833801757726
b5r,small,lhs,MMF16_20,0.05278457747014157,0.6429137963202539
b5r,small,lhs,WFG9,0.23334643557595364,0.10872034361301738
b5r,small,lhs,ZDT1,1.9840097985661822,0.0
b5r,small,lhs,ZDT4,76.27288000105129,0.0
c311,small,lhs,DTLZ2,0.43823498936540817,0.055088833801757726
c311,small,lhs,MMF16_20,0.05278457747014157,0.6429137963202539
c311,small,lhs,WFG9,0.23334643557595364,0.10872034361301738
c311,small,lhs,ZDT1,1.9840097985661822,0.0
c311,small,lhs,ZDT4,76.27288000105129,0.0
e103,small,lhs,DTLZ2,0.43823498936540817,0.055088833801757726
e103,small,lhs,MMF16_20,0.05278457747014157,0.6429137963202539
e103,small,lhs,WFG9,0.23334643557595364,0.10872034361301738
e103,small,lhs,ZDT1,1.9840097985661822,0.0
e103,small,lhs,ZDT4,76.27288000105129,0.0
moead_media,small,lhs,DTLZ2,0.43823498936540817,0.055088833801757726
moead_media,small,lhs,MMF16_20,0.05278457747014157,0.6429137963202539
moead_media,small,lhs,WFG9,0.23334643557595364,0.10872034361301738
moead_media,small,lhs,ZDT1,1.9840097985661822,0.0
moead_media,small,lhs,ZDT4,76.27288000105129,0.0
b5m,small,mvns,DTLZ2,0.3485157318681744,0.09520246679796686
b5m,small,mvns,MMF16_20,0.05556964920868195,0.6488038607088035
b5m,small,mvns,WFG9,0.21089944808818695,0.13110428600450982
b5m,small,mvns,ZDT1,1.0563288256978143,0.0
b5m,small,mvns,ZDT4,85.7324210159935,0.0
b5r,small,mvns,DTLZ2,0.3485157318681744,0.09520246679796686
b5r,small,mvns,MMF16_20,0.05556964920868195,0.6488038607088035
b5r,small,mvns,WFG9,0.21089944808818695,0.13110428600450982
b5r,small,mvns,ZDT1,1.0563288256978143,0.0
b5r,small,mvns,ZDT4,85.7324210159935,0.0
c311,small,mvns,DTLZ2,0.3485157318681744,0.09520246679796686
c311,small,mvns,MMF16_20,0.05556964920868195,0.6488038607088035
c311,small,mvns,WFG9,0.21089944808818695,0.13110428600450982
c311,small,mvns,ZDT1,1.0563288256978143,0.0
c311,small,mvns,ZDT4,85.7324210159935,0.0
e103,small,mvns,DTLZ2,0.3485157318681744,0.09520246679796686
e103,small,mvns,MMF16_20,0.05556964920868195,0.6488038607088035
e103,small,mvns,WFG9,0.21089944808818695,0.13110428600450982
e103,small,mvns,ZDT1,1.0563288256978143,0.0
e103,small,mvns,ZDT4,85.7324210159935,0.0
moead_media,small,mvns,DTLZ2,0.3485157318681744,0.09520246679796686
moead_media,small,mvns,MMF16_20,0.05556964920868195,0.6488038607088035
moead_media,small,mvns,WFG9,0.21089944808818695,0.13110428600450982
moead_media,small,mvns,ZDT1,1.0563288256978143,0.0
moead_media,small,mvns,ZDT4,85.7324210159935,0.0
