alg,tier,dist,problema,n_final,n_nd_pos_real,fantasia,n_x_distintos,igd_plus_c7,hv_c7
b5m,small,lhs,DTLZ2,105,83,0.7905,104,0.05689,0.666023
b5m,small,lhs,MMF16_20,105,45,0.4286,105,0.070164,0.597644
b5m,small,lhs,WFG9,50,19,0.38,46,0.323241,0.030569
b5m,small,lhs,ZDT1,50,13,0.26,50,1.136404,0.0
b5m,small,lhs,ZDT4,50,13,0.26,26,46.726657,0.0
b5r,small,lhs,DTLZ2,83,71,0.8554,83,0.047529,0.681905
b5r,small,lhs,MMF16_20,74,56,0.7568,74,0.114382,0.477771
b5r,small,lhs,WFG9,45,15,0.3333,45,0.381448,0.025384
b5r,small,lhs,ZDT1,47,18,0.383,47,0.31493,0.355013
b5r,small,lhs,ZDT4,12,4,0.3333,12,127.250292,0.0
c311,small,lhs,DTLZ2,94,93,0.9894,94,0.040806,0.701899
c311,small,lhs,MMF16_20,93,92,0.9892,93,0.026452,0.735905
c311,small,lhs,WFG9,50,2,0.04,50,0.497037,0.0
c311,small,lhs,ZDT1,50,50,1.0,50,0.033353,0.821311
c311,small,lhs,ZDT4,50,49,0.98,50,184.674479,0.0
e103,small,lhs,DTLZ2,100,81,0.81,100,0.07575,0.586741
e103,small,lhs,MMF16_20,100,100,1.0,100,0.506022,0.036873
e103,small,lhs,WFG9,100,19,0.19,100,0.284262,0.048525
e103,small,lhs,ZDT1,100,95,0.95,100,0.005206,0.865015
e103,small,lhs,ZDT4,100,7,0.07,95,71.040391,0.0
moead_media,small,lhs,DTLZ2,105,99,0.9429,9,0.890397,0.008609
moead_media,small,lhs,MMF16_20,105,65,0.619,104,0.300844,0.223206
moead_media,small,lhs,WFG9,50,1,0.02,50,0.527066,0.0
moead_media,small,lhs,ZDT1,50,23,0.46,50,0.19782,0.53988
moead_media,small,lhs,ZDT4,50,17,0.34,50,210.627354,0.0
b5m,small,mvns,DTLZ2,105,38,0.3619,105,0.256724,0.142777
b5m,small,mvns,MMF16_20,105,52,0.4952,102,0.138087,0.419329
b5m,small,mvns,WFG9,50,19,0.38,48,0.215858,0.18073
b5m,small,mvns,ZDT1,50,46,0.92,10,1.571503,0.0
b5m,small,mvns,ZDT4,50,1,0.02,17,230.331977,0.0
b5r,small,mvns,DTLZ2,78,59,0.7564,78,0.184126,0.354657
b5r,small,mvns,MMF16_20,86,44,0.5116,86,0.229863,0.35864
b5r,small,mvns,WFG9,46,17,0.3696,46,0.331744,0.034952
b5r,small,mvns,ZDT1,47,7,0.1489,47,0.286679,0.409335
b5r,small,mvns,ZDT4,8,4,0.5,8,149.833166,0.0
c311,small,mvns,DTLZ2,74,61,0.8243,74,0.048845,0.677105
c311,small,mvns,MMF16_20,79,65,0.8228,79,0.047162,0.660873
c311,small,mvns,WFG9,50,1,0.02,50,0.388131,0.077434
c311,small,mvns,ZDT1,50,50,1.0,50,0.006216,0.863647
c311,small,mvns,ZDT4,50,5,0.1,50,201.281292,0.0
e103,small,mvns,DTLZ2,100,52,0.52,100,0.46505,0.002423
e103,small,mvns,MMF16_20,100,51,0.51,100,0.22979,0.182315
e103,small,mvns,WFG9,100,13,0.13,100,0.187512,0.133017
e103,small,mvns,ZDT1,100,96,0.96,100,0.003236,0.869432
e103,small,mvns,ZDT4,100,1,0.01,99,133.706824,0.0
moead_media,small,mvns,DTLZ2,105,102,0.9714,15,0.685561,0.008609
moead_media,small,mvns,MMF16_20,105,52,0.4952,105,0.081822,0.557838
moead_media,small,mvns,WFG9,50,11,0.22,50,0.323729,0.027003
moead_media,small,mvns,ZDT1,50,20,0.4,50,0.195772,0.556753
moead_media,small,mvns,ZDT4,50,1,0.02,50,204.213248,0.0
b5m,medium,lhs,DTLZ2,105,66,0.6286,105,0.065223,0.615283
b5m,medium,lhs,MMF16_20,105,40,0.381,51,0.955447,0.0
b5m,medium,lhs,WFG9,50,20,0.4,48,0.217268,0.125889
b5m,medium,lhs,ZDT1,50,22,0.44,46,1.274892,0.0
b5m,medium,lhs,ZDT4,50,2,0.04,19,194.105399,0.0
b5r,medium,lhs,DTLZ2,100,90,0.9,100,0.034121,0.716343
b5r,medium,lhs,MMF16_20,88,58,0.6591,88,0.066307,0.637817
b5r,medium,lhs,WFG9,44,12,0.2727,44,0.264083,0.055613
b5r,medium,lhs,ZDT1,48,7,0.1458,48,0.329351,0.267859
b5r,medium,lhs,ZDT4,8,2,0.25,8,147.998886,0.0
c311,medium,lhs,DTLZ2,104,102,0.9808,104,0.025489,0.737335
c311,medium,lhs,MMF16_20,105,74,0.7048,105,0.058236,0.628073
c311,medium,lhs,WFG9,36,7,0.1944,36,0.462181,0.005321
c311,medium,lhs,ZDT1,50,50,1.0,50,0.138214,0.696809
c311,medium,lhs,ZDT4,50,17,0.34,50,170.625756,0.0
e103,medium,lhs,DTLZ2,100,70,0.7,100,0.070252,0.59787
e103,medium,lhs,MMF16_20,100,100,1.0,100,0.507182,0.033188
