exp,alg,problema,bloco,modelo_flag,fe_treino_max,obj,wape,corr,cobertura95,n_validas,n_nan
main,b3,MMF16_20,24,GP-DACE,333,2,0.119321,0.949187,0.8145,2000,0
main,b3,MMF16_20,26,GP-DACE,343,0,0.256724,0.897869,0.948,2000,0
main,b3,MMF16_20,26,GP-DACE,343,1,0.160241,0.957966,0.9165,2000,0
main,b3,MMF16_20,26,GP-DACE,343,2,0.114007,0.953223,0.836,2000,0
main,b3,MMF16_20,28,GP-DACE,353,0,0.259266,0.893899,0.9355,2000,0
main,b3,MMF16_20,28,GP-DACE,353,1,0.159127,0.957777,0.8945,2000,0
main,b3,MMF16_20,28,GP-DACE,353,2,0.112839,0.954725,0.833,2000,0
main,b3,MMF16_20,30,GP-DACE,363,0,0.261519,0.891803,0.9265,2000,0
main,b3,MMF16_20,30,GP-DACE,363,1,0.158097,0.958669,0.898,2000,0
main,b3,MMF16_20,30,GP-DACE,363,2,0.115771,0.952441,0.819,2000,0
main,b3,MMF16_20,32,GP-DACE,373,0,0.255897,0.896574,0.9435,2000,0
main,b3,MMF16_20,32,GP-DACE,373,1,0.160158,0.956143,0.8725,2000,0
main,b3,MMF16_20,32,GP-DACE,373,2,0.114081,0.95397,0.8445,2000,0
main,b3,MMF16_20,34,GP-DACE,383,0,0.286676,0.881898,0.9525,2000,0
main,b3,MMF16_20,34,GP-DACE,383,1,0.153135,0.959326,0.885,2000,0
main,b3,MMF16_20,34,GP-DACE,383,2,0.115278,0.954083,0.84,2000,0
main,b3,MMF16_20,36,GP-DACE,393,0,0.28598,0.881043,0.956,2000,0
main,b3,MMF16_20,36,GP-DACE,393,1,0.154545,0.958479,0.8885,2000,0
main,b3,MMF16_20,36,GP-DACE,393,2,0.11383,0.954423,0.849,2000,0
main,b3,MMF16_20,38,GP-DACE,403,0,0.288589,0.885283,0.959,2000,0
main,b3,MMF16_20,38,GP-DACE,403,1,0.158316,0.958448,0.901,2000,0
main,b3,MMF16_20,38,GP-DACE,403,2,0.113207,0.953985,0.8365,2000,0
main,b3,MMF16_20,40,GP-DACE,413,0,0.290239,0.87934,0.9445,2000,0
main,b3,MMF16_20,40,GP-DACE,413,1,0.16076,0.957345,0.9005,2000,0
main,b3,MMF16_20,40,GP-DACE,413,2,0.08097,0.97581,0.9145,2000,0
main,b3,MMF16_20,42,GP-DACE,423,0,0.256798,0.896218,0.9365,2000,0
main,b3,MMF16_20,42,GP-DACE,423,1,0.148822,0.962523,0.898,2000,0
main,b3,MMF16_20,42,GP-DACE,423,2,0.022197,0.997543,0.9755,2000,0
main,b3,MMF16_20,44,GP-DACE,433,0,0.256789,0.894467,0.9355,2000,0
main,b3,MMF16_20,44,GP-DACE,433,1,0.144575,0.965002,0.914,2000,0
main,b3,MMF16_20,44,GP-DACE,433,2,0.013778,0.998914,0.9785,2000,0
main,b3,MMF16_20,46,GP-DACE,443,0,0.255653,0.895888,0.9345,2000,0
main,b3,MMF16_20,46,GP-DACE,443,1,0.104366,0.98209,0.9735,2000,0
main,b3,MMF16_20,46,GP-DACE,443,2,0.01118,0.998774,0.9665,2000,0
main,b3,MMF16_20,48,GP-DACE,453,0,0.259177,0.894883,0.941,2000,0
main,b3,MMF16_20,48,GP-DACE,453,1,0.077402,0.98868,0.9665,2000,0
main,b3,MMF16_20,48,GP-DACE,453,2,0.005272,0.999826,0.9975,2000,0
main,b3,MMF16_20,50,GP-DACE,463,0,0.257702,0.895575,0.937,2000,0
main,b3,MMF16_20,50,GP-DACE,463,1,0.053774,0.993729,0.975,2000,0
main,b3,MMF16_20,50,GP-DACE,463,2,0.006282,0.999599,0.9695,2000,0
main,b3,MMF16_20,52,GP-DACE,473,0,0.256537,0.896385,0.936,2000,0
main,b3,MMF16_20,52,GP-DACE,473,1,0.042313,0.995906,0.974,2000,0
main,b3,MMF16_20,52,GP-DACE,473,2,0.003542,0.999906,0.998,2000,0
main,b3,MMF16_20,54,GP-DACE,483,0,0.259985,0.897089,0.9125,2000,0
main,b3,MMF16_20,54,GP-DACE,483,1,0.034726,0.997019,0.9615,2000,0
main,b3,MMF16_20,54,GP-DACE,483,2,0.003748,0.99988,0.979,2000,0
main,b3,MMF16_20,56,GP-DACE,493,0,0.266726,0.890445,0.92,2000,0
main,b3,MMF16_20,56,GP-DACE,493,1,0.024326,0.998473,0.976,2000,0
main,b3,MMF16_20,56,GP-DACE,493,2,0.002757,0.999942,0.996,2000,0
main,b3,MMF16_20,58,GP-DACE,503,0,0.264431,0.889696,0.9115,2000,0
main,b3,MMF16_20,58,GP-DACE,503,1,0.020275,0.998583,0.987,2000,0
main,b3,MMF16_20,58,GP-DACE,503,2,0.002816,0.999932,0.9945,2000,0
main,b3,MMF16_20,60,GP-DACE,513,0,0.265635,0.891141,0.9135,2000,0
main,b3,MMF16_20,60,GP-DACE,513,1,0.016511,0.999249,0.989,2000,0
main,b3,MMF16_20,60,GP-DACE,513,2,0.002322,0.999948,0.9975,2000,0
main,b3,MMF16_20,62,GP-DACE,523,0,0.266931,0.888876,0.903,2000,0
main,b3,MMF16_20,62,GP-DACE,523,1,0.015596,0.999301,0.987,2000,0
main,b3,MMF16_20,62,GP-DACE,523,2,0.002249,0.999951,0.998,2000,0
main,b3,MMF16_20,64,GP-DACE,533,0,0.264254,0.887816,0.9195,2000,0
main,b3,MMF16_20,64,GP-DACE,533,1,0.013372,0.999468,0.99,2000,0
main,b3,MMF16_20,64,GP-DACE,533,2,0.001989,0.999955,0.9975,2000,0
main,b3,MMF16_20,66,GP-DACE,543,0,0.263827,0.886904,0.925,2000,0
main,b3,MMF16_20,66,GP-DACE,543,1,0.0127,0.999538,0.9935,2000,0
main,b3,MMF16_20,66,GP-DACE,543,2,0.002046,0.999956,0.9975,2000,0
