config,score,recomendacao,n_classe3,chars_relatorio
e7,10,ACEITAR,0,81251
nsga2,10,ACEITAR,0,53934
nsga3,10,ACEITAR,0,52254
smsemoa,10,ACEITAR,0,55046
b3,9.6,ACEITAR,0,56162
c122,9.5,ACEITAR + CAVEAT (caveat de ,1,67535
c141,9.5,ACEITAR,0,65141
c217,9.5,ACEITAR,0,74342
c238,9.5,ACEITAR (com 2 caveats de LE,0,55613
c262,9.5,ACEITAR,0,67742
c311,9.5,ACEITAR,0,100419
e81,9.5,ACEITAR,1,82769
treed_media,9.5,ACEITAR,0,60666
b1,9.4,ACEITAR + caveat,0,80282
e103,9.3,ACEITAR + CAVEAT,1,56040
b4,9.0,ACEITAR + CAVEAT,1,48881
b5r,9.0,ACEITAR + CAVEAT,1,57869
c149,9.0,ACEITAR + CAVEAT,1,63774
e74,9.0,ACEITAR COM CAVEAT,0,62571
moead,9.0,ACEITAR,1,59186
moead_media,9.0,ACEITAR + CAVEAT,1,58595
sobol_batch,9.0,ACEITAR + CAVEAT,2,57842
c154,8.5,ACEITAR + CAVEAT,1,61079
b5m,8.0,ACEITAR + CAVEAT,2,59011
