dist,problema,D,igd7_c311,fantasia_c311,n_c311,igd7_treed,fantasia_treed,n_treed
lhs,DTLZ2,12,0.02547,0.962,105,0.13539,0.581,105
lhs,MMF16_20,20,0.02512,0.952,105,0.03923,0.752,105
lhs,WFG9,22,0.23244,0.98,50,0.34088,0.348,46
lhs,ZDT1,30,0.21744,0.56,50,2.35277,0.22,50
lhs,ZDT4,10,67.3927,0.08,50,62.24888,0.194,36
mvns,DTLZ2,12,0.03015,0.905,105,0.38424,0.363,102
mvns,MMF16_20,20,,,,0.0515,0.676,102
mvns,WFG9,22,0.3884,0.02,50,0.29153,0.234,47
mvns,ZDT1,30,0.0445,0.653,49,1.93146,0.208,48
mvns,ZDT4,10,75.41556,0.14,50,107.51132,0.216,37
