problema,D,M,n_ger,C1_ok,C1_tot,C1_mismatch,C1_n_mismatch,C2_pares,C2_iguais,C2_ch,C2_identidade,C3_sum_ger,C3_sum_fit,C3_sum_busca,C3_sum_sonda,C3_man_total,C3_man_fit,C3_man_busca,C3_man_sonda,C3_man_aval,C3_man_desp,C3_fit_bate,C3_busca_bate,C3_sonda_bate,C3_ger_menos_fb,C3_sobra_total,C3_sobra_pct,C4_dec,C4_rec,C4_hs,C4_fecha,C4_iters_com_warn,C5_n_ger_pop,C5_igual_ng_mais1,C5_passos_1,C5_passos_0,C5_passos_outros,C5_esperado_0,C5_g0,C5_glast,C6_sinal_corr,C6_mu_medio,C6_f_medio,C6_sigma_med,C6_sigma_ini,C6_sigma_fim
BBOB_F1,10,2,201,201,201,[],0,200,0,0,True,3671.142333984375,45.90130615234375,3623.71435546875,9.263423919677734,3703.4872,45.9013,3623.7145,9.2634,0.0203,3707.9704,1.3403419404021512e-07,3.9884833654432696e-08,2.5821704486074607e-06,1.5267064571380615,23.081442095947295,0.6232353684372743,34,34,0,True,25,202,True,200,1,0,1,109,309,"[0.99929, 0.99907]","[28.1774, 22.6783]","[28.1989, 22.7284]","[0.028052, 0.02809]","[5.49641, 5.635854]","[0.0139, 0.014107]"
BBOB_F17,10,2,201,201,201,[],0,200,0,0,True,449.1570739746094,69.37386322021484,378.317138671875,10.070609092712402,482.4198,69.3739,378.3171,10.0706,0.0585,486.7637,5.30167471662489e-07,1.0222079577641639e-07,9.028967888389494e-07,1.4660699367523193,23.192116932678232,4.80745544288983,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.99874, 0.34509]","[9700863.899, 20.0989]","[9663765.293, 24.8279]","[539749.5625, 44.361599]","[1636392.0, 80.901176]","[514865.0, 36.884281]"
BBOB_F22,10,2,201,201,201,[],0,200,0,0,True,1100.644287109375,51.9068717956543,1047.2442626953125,9.622486114501953,1133.8832,51.9069,1047.2442,9.6225,0.0421,1138.3501,5.433640942415456e-07,5.986694641834534e-08,1.4430239591969218e-06,1.4932358264923096,23.616426776123035,2.0827918410047026,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.6998, 0.99098]","[2084.5986, 886.8244]","[5633.502, 886.6199]","[7774.701172, 18.769836]","[70121.9375, 100.329018]","[2351.682617, 6.171539]"
BBOB_F37,10,2,201,201,201,[],0,200,0,0,True,467.8704528808594,58.200897216796875,408.09979248046875,9.940505027770996,502.7396,58.2009,408.0998,9.9405,0.053,507.2549,4.7820619993710324e-08,1.8425716616616955e-08,5.057865294482232e-07,1.5697555541992188,24.928642091369625,4.958559479175626,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.98344, 0.80037]","[1211.1895, 227.8365]","[1210.6771, 290.1879]","[56.318789, 221.038651]","[101.77066, 457.477875]","[15.31623, 56.825706]"
BBOB_F49,10,2,201,201,201,[],0,200,0,0,True,550.595947265625,79.41718292236328,469.3891296386719,10.550666809082031,585.9509,79.4172,469.3891,10.5507,0.44,590.5177,2.1503700347997755e-07,6.31430765863494e-08,3.1458498459443916e-06,1.7895658016204834,24.804285925293016,4.233167988186897,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.75839, 0.83576]","[243.262, 73.4162]","[267.2562, 75.9083]","[219.007401, 7.901438]","[393.441132, 5.87737]","[135.390213, 7.680931]"
BBOB_F5,10,2,201,201,201,[],0,200,0,0,True,3928.98779296875,52.223697662353516,3875.21875,10.04543685913086,3963.6061,52.2237,3875.2186,10.0454,0.0278,3968.0797,4.476217666065648e-08,3.8707493778198754e-08,3.6692546696599365e-06,1.5455119609832764,24.57287017211911,0.6199624673127613,43,45,2,True,34,202,True,200,1,0,1,109,309,"[0.99892, 0.99956]","[25.113, 723.6711]","[25.1658, 723.3547]","[0.025818, 0.533395]","[5.995531, 109.913826]","[0.021098, 0.412771]"
BBOB_F55,10,2,201,201,201,[],0,200,0,0,True,1357.7669677734375,90.37043762207031,1265.34716796875,9.921843528747559,1392.7342,90.3704,1265.3472,9.9218,0.799,1397.265,4.163096579066238e-07,2.5314198292600647e-08,4.387182523262627e-06,2.0493178367614746,25.045388697815042,1.7982891996057138,0,0,0,True,0,202,True,200,1,0,1,109,309,"[0.99809, 0.99051]","[37.6913, 35.4861]","[37.5347, 35.6255]","[0.253407, 0.630413]","[4.126366, 2.765207]","[0.045714, 0.099122]"
DTLZ1,7,3,141,141,141,[],0,140,0,0,True,316.9772644042969,42.1781120300293,273.6401672363281,8.640829086303711,341.9068,42.1781,273.6402,8.6408,0.0155,345.991,2.852198011831692e-07,1.1973267037517474e-07,3.366158655501478e-06,1.1589727401733398,16.28870650939939,4.764077962005842,0,0,0,True,0,142,True,140,1,0,1,76,216,"[0.73113, 0.65639, 0.63108]","[37.1569, 18.2507, 79.7802]","[44.5076, 18.4315, 82.6671]","[40.368658, 30.456037, 54.094383]","[37.238205, 35.165718, 63.309483]","[55.521626, 31.051632, 65.736633]"
DTLZ2,12,3,241,241,241,[],0,240,0,0,True,13420.0654296875,170.04449462890625,13247.333984375,19.26850128173828,13471.4084,170.0445,13247.3334,19.2685,0.0296,13477.543,3.1586400908690835e-08,4.41126514164339e-08,6.651987864821699e-08,2.6874845027923584,32.074469030761975,0.2380929155912308,0,0,0,True,0,242,True,240,1,0,1,131,371,"[0.99115, 0.99636, 0.9969]","[0.395, 0.39, 0.6046]","[0.3963, 0.3877, 0.5994]","[0.023475, 0.023599, 0.015547]","[0.09539, 0.070826, 0.084851]","[0.002651, 0.002762, 0.000953]"
DTLZ3,12,3,241,241,241,[],0,240,0,0,True,1408.3094482421875,215.93504333496094,1189.9742431640625,21.297359466552734,1463.4158,215.935,1189.9743,21.2974,0.0335,1468.9675,2.006852105273636e-07,4.776232359368173e-08,1.9032110616924895e-06,2.400097370147705,33.808992291259756,2.3102792993802415,0,0,0,True,0,242,True,240,1,0,1,131,371,"[0.56752, 0.89842, 0.37631]","[16.256, 40.7629, 477.92]","[2.9437, 30.3315, 519.9931]","[74.015293, 95.479309, 233.907349]","[155.972778, 166.522797, 210.139542]","[97.369102, 132.986908, 198.410202]"
