problema,n,a_min,a_max,frac_neg,n_neg,iters_com_dup,mult_max,restarts_dup
BBOB_F1,201,-2.8458438715450822,8.413583824155165,0.6318407960199005,127,0,1,0
BBOB_F17,201,19.475593171446512,22.232560094362782,0.0,0,2,2,2
BBOB_F22,201,13.07634439620039,18.368053376528554,0.0,0,0,1,0
BBOB_F37,201,8.904592742781546,13.887060854619094,0.0,0,0,1,0
BBOB_F49,201,5.274109021628253,9.817531755044978,0.0,0,0,1,0
BBOB_F5,201,-0.05261205623546239,11.089248909599245,0.009950248756218905,2,0,1,0
BBOB_F55,201,-0.14096403014711711,4.730773185272613,0.009950248756218905,2,0,1,0
DTLZ1,141,-48.74205214930669,6.940559873232032,0.20567375886524822,29,15,3,19
DTLZ2,241,-7.504558816435065,-3.405780414777032,1.0,241,0,1,0
DTLZ3,241,-49.32317653794374,10.94391187382303,0.16182572614107885,39,1,2,1
DTLZ4,241,-5.926392866773218,-0.11034618444481303,1.0,241,0,1,0
MMF1,41,-2.062912374629243,-0.1904618932155877,1.0,41,5,3,7
MMF11_L,41,-3.5569241506081,-1.2089905676762185,1.0,41,17,4,32
MMF4,41,-4.871847264152835,-1.864246720250791,1.0,41,8,3,13
WFG2,441,-6.330158014016404,-1.276765048680018,1.0,441,0,1,0
WFG4,441,-4.62188187821543,-2.4354256817779385,1.0,441,0,1,0
WFG5,441,-3.7846054012432524,-1.3695837407354587,1.0,441,0,1,0
WFG9,441,-1.5669668511425856,1.6452262753045872,0.9183673469387755,405,0,1,0
ZDT1,640,-13.702989102715364,-3.3566854096370213,1.0,640,478,9,1706
ZDT4,201,-53.57941060586246,-1.6611083672687035,1.0,201,0,1,0
ZDT6,202,-48.01962652910859,-2.0648358967640275,1.0,202,7,4,11
