problema,D,M,n_ger,n_init,F1_n,F1_ok_bit,F1_delta_max,F1_len10,F2_pos_last,F2_pos_tot,F2_sem_marca,F2_x_maxabs,F2_n,F3_ger,F3_pares,F3_viol_sigma,F3_viol_id,F3_viol_rnd,F4_nch,F4_nch_ok,F4_ch,F4_ch_ok,F4_ch_dist0,F4_fe_final,F4_fe_cresc,F5_sigma_min,F5_sigma_med,F5_sigma_zero,F5_sigma_1ametade,F5_sigma_2ametade,F5_cob_infill,F5_err_med,F5_err_rel_med,F6_ok,F6_n,F6_esp_n,F6_g0,F6_g1,F6_glast,F6_off1,F3b_pares_1e-07,F3b_viol_1e-07,F3b_pares_1e-09,F3b_viol_1e-09,F3b_pares_1e-12,F3b_viol_1e-12
BBOB_F1,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,15,0,11,11,200,200,0,0,0,309,1,0.013899627141654491,0.02806660532951355,0,0.05690181627869606,0.02137843891978264,0.9975,0.0029582977294921875,0.00011693714288966685,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F17,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,5,0,1,5,200,200,0,0,0,309,1,13.828588485717773,63537.58695220947,0,131269.99320220947,63525.69565200806,0.9925,171.75586032867432,0.07924090422158356,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F22,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,0,0,0,0,200,200,0,0,0,309,1,2.3996753692626953,591.2375679016113,0,616.2406806945801,553.9580821990967,0.96,96.67361450195312,0.06479618366542778,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F37,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,0,0,0,0,200,200,0,0,0,309,1,8.778599739074707,88.93978881835938,0,111.65131378173828,75.14488983154297,0.99,34.878692626953125,0.04974862295804475,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F49,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,11,0,9,10,200,200,0,0,0,309,1,3.0202131271362305,12.710679054260254,0,26.016817092895508,12.47961139678955,0.9475,10.388614654541016,0.07970277774532519,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F5,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,7,0,3,6,200,200,0,0,0,309,1,0.011555139906704426,0.2663499265909195,0,0.49076804518699646,0.21258588880300522,0.9825,0.01529693603515625,7.710030974088586e-05,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
BBOB_F55,10,2,201,109,201,201,0.0,201,200,200,1,0.0,200,201,377,0,170,250,200,200,0,0,0,309,1,0.02272019162774086,0.37359078228473663,0,0.46210846304893494,0.3171553611755371,0.8425,0.24000930786132812,0.006737010873550119,202,202,202,109,109,309,True,-1,-1,-1,-1,-1,-1
DTLZ1,7,3,141,76,141,141,0.0,141,140,140,1,0.0,140,141,99,0,47,85,140,140,0,0,0,216,1,6.097512722015381,38.81390190124512,0,39.52851867675781,38.43399429321289,0.9214285714285714,18.600688934326172,0.4640298246825751,142,142,142,76,76,216,True,-1,-1,-1,-1,-1,-1
DTLZ2,12,3,241,131,241,241,0.0,241,240,240,1,0.0,240,241,0,0,0,0,240,240,0,0,0,371,1,0.0007916808826848865,0.02030069474130869,0,0.030500429682433605,0.013608898036181927,0.9763888888888889,0.006385309621691735,0.014666782493921383,242,242,242,131,131,371,True,-1,-1,-1,-1,-1,-1
DTLZ3,12,3,241,131,241,241,0.0,241,240,240,1,0.0,240,241,15,0,8,14,240,240,0,0,0,371,1,13.97753620147705,109.05404281616211,0,121.06754302978516,96.72303009033203,0.9666666666666667,26.511821746826186,0.6440628807953895,242,242,242,131,131,371,True,-1,-1,-1,-1,-1,-1
